date,user_id,location,tweet
2017-05-06,1273497086,,My husband just voted in the French presidential election. #vote…  https://www.instagram.com/p/BTwthJph35d4I-jaOBf8aA2UqUENoIFBEjl7yk0/ …
2017-05-03,64914137,"Portland, OR",NEW DATA RELEASED: OBAMA ADMIN “Accidentally Collected Info” On Americans During Election  http://dlvr.it/P3Pj8s  pic.twitter.com/CpksFFOevi
2017-05-03,17551900,"Portland, Oregon",Don't forget to vote in the May special election! My ballot was just…  https://www.instagram.com/p/BTpgNA7BDdaythf39cTxKNQiZ1TX_35nr1adBU0/ …
2017-05-03,64914137,"Portland, OR","WATCH SEAN SPICER Slam Hillary With Great Sports Analogy On Election Loss: “Look, I’m a Patriots fan…” [Video]  http://dlvr.it/P3M3gx  pic.twitter.com/XQSskjdlwU"
2017-05-02,64914137,"Portland, OR",HILLARY GIVES HILARIOUS Reason For Losing Election: “I Was On The Way To Winning” [VIDEO]  http://dlvr.it/P2sDLX  pic.twitter.com/krZqnqvL0S
2017-05-02,20753665,"Portland, OR","Seems like Trump has never been a fan of democracy, maybe because democracy would have meant he lost the election. http://wapo.st/2pQF97C "
2017-04-09,1925302153,"Sandy, OR",Election week is next week and if you haven't heard I'm running for ASB President! Look for the…  https://www.instagram.com/p/BSrtif0lfyW/ 
2017-04-01,64914137,"Portland, OR",WATCH DELUSIONAL DEMOCRAT CHAIR RANT: “Donald Trump Didn’t Win The Election!”…”Republicans Don’t Give A Sh*t About…  http://dlvr.it/Nn3bzH  pic.twitter.com/sLc4WrMNtO
2017-03-30,64914137,"Portland, OR",BOMBSHELL: COMEY Wanted To Expose Russian Meddling Months Before Election…OBAMA Regime Barred Him From Telling…  http://dlvr.it/Nm7y5P  pic.twitter.com/uMvEIDBq1j
2017-03-21,64914137,"Portland, OR",PROFESSOR Who Called Election Of President Trump An “Act of Terrorism” Is Chosen For “Professor Of The Year” [VIDEO]  http://dlvr.it/Nh9KVH  pic.twitter.com/Lj4cxpHXRw
2017-03-07,64914137,"Portland, OR",SLEEZY DEMOCRAT SENATOR Caught Fabricating Story About FBI Having Proof Trump Colluded With Russians In Election…  http://dlvr.it/NZ40C6  pic.twitter.com/6iCg1U2Eiu
2017-02-23,28792753,"Portland, OR",Petition before #SCOTUS 3/17 conference to determine if cyberattacks nullify election of #DeathEaters:  http://shannonfisher.com/wordpress1/wp-content/uploads/2017/02/SCOTUS-Writ-of-Mandamus.pdf …
2017-02-22,64914137,"Portland, OR",WOW! DOCUMENT Shows Teachers How To Teach History After Trump Election…”And Not Get Fired”  http://dlvr.it/NS6Jd4  pic.twitter.com/FLoPrfEQ48
2017-02-16,64914137,"Portland, OR","OOPS! Media Forgot Ted Kennedy Asked Russia To Intervene In Election, Help Defeat Ronald Reagan  http://dlvr.it/NPCgvK  pic.twitter.com/gBRCtlTuiT"
2017-02-16,64914137,"Portland, OR",COLLEGE STUDENT’S UNDERCOVER VIDEO GETS HIM SUSPENDED! Professor Calls Election Of Trump ‘AN ACT OF TERRORISM’…  http://dlvr.it/NP5b56  pic.twitter.com/Py1wKcJbyP
2017-02-09,64914137,"Portland, OR",Hillary Supporter MARK CUBAN Makes Most Ignorant Statement About Trump Since Election When He Claimed Stock Market…  http://dlvr.it/NKts56  pic.twitter.com/vgbv1RIXlN
2017-01-25,192310906,"Portland, Oregon",The last time I was at the #DougFir was election night. Tonight was a much happier and peaceful…  https://www.instagram.com/p/BPuDc4cgVQG/ 
2017-01-18,20809663,"ÜT:45.432388, -122.572227",even though I didn't win the election I promised to still keep taking care of this city. so here…  https://www.instagram.com/p/BPaoiAEj0FQ/ 
2017-01-15,1450400215,Indianapolis,"There are 1,387 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BPT4iV1A1ji/ "
2017-01-14,17251825,"Portland, Oregon",Thought about knocking on the door at this house to let them know the election is over. #pdx @…  https://www.instagram.com/p/BPQrYLtgIw2/ 
2017-01-13,64914137,"Portland, OR",OOPS! UKRAINE Caught Colluding With Democrats To Help Hillary Win Election…President Poroshenko Scrambling To…  http://dlvr.it/N62dLv  pic.twitter.com/3e8yhGB1Gb
2017-01-11,411863624,"Portland, OR","The latest from straw & spindle: The 2016 Election, The Divine Feminine & Community, by Molly Claire Benjamin.    http://www.strawandspindle.com/blog/the-2016-election-the-divine-feminine-community/2017/1/9 …"
2017-01-10,64914137,"Portland, OR",BARBRA STREISAND AND CHRIS MATTHEWS ON TRUMP ELECTION: “Little girls were heartbroken”…They were??? [Video]  http://dlvr.it/N4jP3V  pic.twitter.com/SakfEeB7sO
2017-01-07,64914137,"Portland, OR","DELUSIONAL DEMOCRATS Get A Reality Check: “No, Russia Didn’t Hack Our Election” [Video]  http://dlvr.it/N3TG40  pic.twitter.com/UBwceHYYbJ"
