date,user_id,location,tweet
2017-04-06,710832920924041218,"Arkansas, USA",Election ballots are out! Don't forget to vote Brittany Jenkins for SGA Sophomore Prez! <Emoji: Electric light bulb>…  https://www.instagram.com/p/BSjRJZvgVh2/ 
2017-04-06,710832920924041218,"Arkansas, USA",Guess what day it is! Today is the day that the Lord has made! (It's also election day!) Make…  https://www.instagram.com/p/BSjEqEEAyp-/ 
2017-04-05,15988585,"OklahomaCity, OK",A wise man once said...never try to predict the outcome of an election or baseball game. I…  https://www.instagram.com/p/BShNESiD3n3/ 
2017-03-09,382924739,,The new chair of Precinct 195 and secretary of HD 87 fills out some post election paperwork. I…  https://www.instagram.com/p/BRcOq7jg4AB/ 
2017-03-09,104729708,"Oklahoma, USA",SB146 [Engross] Elections; procedures for payment of election costs. Effective date. http://bitly.com/UyBukw 
2017-04-06,710832920924041218,"Arkansas, USA",Election ballots are out! Don't forget to vote Brittany Jenkins for SGA Sophomore Prez! <Emoji: Electric light bulb>…  https://www.instagram.com/p/BSjRJZvgVh2/ 
2017-04-06,710832920924041218,"Arkansas, USA",Guess what day it is! Today is the day that the Lord has made! (It's also election day!) Make…  https://www.instagram.com/p/BSjEqEEAyp-/ 
2017-04-05,15988585,"OklahomaCity, OK",A wise man once said...never try to predict the outcome of an election or baseball game. I…  https://www.instagram.com/p/BShNESiD3n3/ 
2017-03-09,382924739,,The new chair of Precinct 195 and secretary of HD 87 fills out some post election paperwork. I…  https://www.instagram.com/p/BRcOq7jg4AB/ 
2017-03-09,104729708,"Oklahoma, USA",SB146 [Engross] Elections; procedures for payment of election costs. Effective date. http://bitly.com/UyBukw 
2017-03-06,351404530,"OklahomaCity, OK","I was blessed to assist at the three ""Rites of Election"" yesterday afternoon/evening at Our…  https://www.instagram.com/p/BRS_Js5BBR-/ "
2017-02-14,1900484124,OklahomaCity,Happy Valentine Election Day! Love your country and get out and vote in your local election…  https://www.instagram.com/p/BQgH2qXgPxw/ 
2017-02-07,99557678,"OklahomaCity, OK","Bernie should've been the Democratic nominee, but he wasn't an option for the general election. I agree with this. https://twitter.com/LOLGOP/status/829052639065276416 …"
2017-02-02,104729708,"Oklahoma, USA",HB1616 [NEW] Elections; authorizing Secretary of the State Election Board to create pilot program for certain ele... http://bitly.com/VTMTzw 
2017-02-01,104729708,"Oklahoma, USA",SB597 [NEW] School employee organizations; requiring election to certify existing organization. Effective date. E... http://bitly.com/XIKTZn 
2017-01-31,104729708,"Oklahoma, USA",HB1762 [NEW] Elections; creating the Election Reform Act of 2017; effective date.  http://bitly.com/XKh9LH 
2017-01-29,104729708,"Oklahoma, USA",HB1761 [NEW] Elections; creating the Election Spending Reform Act; effective date. http://bitly.com/VWhWe9 
2017-01-29,104729708,"Oklahoma, USA",HB1753 [NEW] Elections; creating the Election Guidelines Act; effective date.  http://bitly.com/XMk7PQ 
2017-01-27,104729708,"Oklahoma, USA",SB348 [NEW] Voter registration; providing for voter registration on election days. Effective date. http://bitly.com/VHpMs2 
2017-01-25,104729708,"Oklahoma, USA",HB2220 [NEW] Elections; creating the Election Reform Act; effective date.  http://bitly.com/VVrMwE 
2017-01-23,104729708,"Oklahoma, USA",SB517 [NEW] Local government funding; authorizing county election for severance tax; providng procedure and appor...  http://bitly.com/VLGRB8 
2017-01-23,104729708,"Oklahoma, USA",SB449 [NEW] Counties and county officers; modifying election years. Emergency. http://bitly.com/XEMUpu 
2017-01-17,104729708,"Oklahoma, USA",SB200 [NEW] School district elections; changing date of election for certain levy. Effective date. http://bitly.com/WCOJjH 
