date,user_id,location,tweet
2016-11-06,18450375,"KansasCity, MO-USA",These guys are getting stuffed with cheese and wrapped in bacon for an election watch party…  https://www.instagram.com/p/BMe3L9EhvS-/ 
2016-11-05,82903025,,This election season is no time to waffle... or is it? #vote #pumpkinspice @ Signs of Life  https://www.instagram.com/p/BMcA6rWh8ne/ 
2016-11-04,15595054,"Olathe, KS",Fingers crossed. #democracy #mycivilright @ Johnson County Election…  https://www.instagram.com/p/BMZ9E-uDuxEk7frCNwL1LEgeSus5MqB0xg63J80/ …
2016-11-04,23440812,KC...DC..NY...NC,@Dani1022 @Sergiconstance #fbf Eight years ago Election 2008 @sergiconstance @dani1022 @djredmoney...@kbfromchicago as the…  https://www.instagram.com/p/BMZDWkRDcDI/ 
2016-11-04,17618459,"Olathe, KS",Heaven help us all! @ Johnson County Election Office  https://www.instagram.com/p/BMZCrWbhu86/ 
2016-11-04,116090947,,"I'm at Johnson County Election Office in Olathe, KS  https://www.swarmapp.com/c/4hKixlh9ZWk "
2016-11-03,719625064312934400,"Liberty, MO",Holy smokes!! We're only 5 days away from the 2016 election and I need your help now more than…  https://www.instagram.com/p/BMXSSDeAlAS/ 
2016-11-02,1107791238,"Shawnee, KS","DONE. <Emoji: Flag of United States> @ Johnson County Election Office, Mission, Ks.  https://www.instagram.com/p/BMUt1b1hbRfWwq3le2puh3Goicl0fOiwLXHc580/ …"
2016-11-02,72944056,,My sticker and the coin that decided it all! @ Johnson County Election Office  https://www.instagram.com/p/BMUe_cBB2ed/ 
2016-10-29,465241232,Kansas,The country is all good now! Right! @ Johnson County Election Office  https://www.instagram.com/p/BMKGRLXgP0b/ 
2016-10-27,491466176,"KansasCity, MO",@JermaineReed @KCRTA @DaveKC Congrats to @davekc on his election as @kcrta chair and @jermainereed on…  https://www.instagram.com/p/BMFfge4hGKR/ 
2016-10-26,39528842,"KansasCity, MO","I'm at Clay County Election Board in Liberty, MO  https://www.swarmapp.com/c/dK3ZF6nS1vl  pic.twitter.com/sqljAK2jC3"
2016-10-26,20216767,"Shawnee, KS",Just voted...Every vote will count in this election. Early…  https://www.instagram.com/p/BMCAyO_DPAR5qYHz8AEPUaM1CehxVJtX26SXUs0/ …
2016-10-25,54119729,"KansasCity, Mo",It is done. <Emoji: Heavy check mark><Emoji: Flag of United States>#getoutandvote2016 @ Wyandotte County Election Office  https://www.instagram.com/p/BL_2c0AlTiqgrY__TfftEBtMetWUuU0DUhEGos0/ …
2016-10-25,129531852,"KansasCity, KS/Challis, ID","Got my early vote in! (@ Wyandotte County Election Office in Kansas City, KS)  https://www.swarmapp.com/c/8vq7olgyLw8  pic.twitter.com/jkvbuMceoc"
2016-10-25,309298145,PrairieVillageKansas,"Trump!!! (@ Johnson County Election Office in Olathe, KS) https://www.swarmapp.com/c/8SZTGOC1xdc "
