date,user_id,location,tweet
2017-05-07,28524002,"Venice, Ca",#sunday #morning #french #election #venice #lincoln #love #life @ ECLECTiK  https://www.instagram.com/p/BTzKMiRBkoC/ 
2017-05-06,18540252,"iPhone:34.039913, -118.253342",#avoté<Emoji: Flag of France> #macronpresident #french #france #election #neverlepen emmanuelmacron #enmarche…  https://www.instagram.com/p/BTwqEFFDEDv/ 
2017-05-05,342930174,"GranadaHills, CA91344",French real estate tipped to bounce back following presidential election  http://dlvr.it/P48Bjf  #Granada Hills
2017-05-05,342886089,"GranadaHills, CA91344",French real estate tipped to bounce back following presidential election  http://dlvr.it/P48BWw 
2017-05-04,18569373,90278,RT @cnnbrk Former President Obama endorses Macron in French election: “He appeals to people's hopes and not…  http://tl.gd/nnnqb5 
2017-05-03,342930174,"GranadaHills, CA91344",Boost for real estate investment expected as election nears  http://dlvr.it/P3NNhc  #Granada Hills
2017-05-03,342886089,"GranadaHills, CA91344",Boost for real estate investment expected as election nears  http://dlvr.it/P3NNfL 
2017-04-28,29369552,LOSANGELES,The final count for the City of Compton election is up and out! Here is the FINAL COUNT from…  https://www.instagram.com/p/BTcKS71hxLm/ 
2017-04-23,18569373,90278,RT @realDonaldTrump ...popular vote. ABC News/Washington Post Poll (wrong big on election) said almost all …  http://tl.gd/nnmkf3 
2017-04-23,18569373,90278,RT @realDonaldTrump Very interesting election currently taking place in France.Yah ain't politics neato. Fool
2017-04-22,23716080,eagle®o©k,"BONJOUR, FRANCE PRESIDENTIAL ELECTION <Emoji: Flag of France> #frenchelections #frenchconsulate #securityoperations @…  https://www.instagram.com/p/BTNBoRSgZH9/ "
2017-04-22,218797816,LosAngeles,Proud to have #voted in the #French #Election! @ Lycee International De Los Angeles - Los Feliz  https://www.instagram.com/p/BTMq8aUDDAk/ 
2017-04-21,226456467,"SanPedro, LosAngeles",GENERAL MUNICIPAL ELECTION!!!!#markyourmark #electionday#cityofsanpedro #ilovesanpedro<Emoji: Heavy red heart>…  https://www.instagram.com/p/BTJtZPSDoc-/ 
2017-04-19,198115610,London&Southampton,General election you say? Country needs fresh leadership? I've got some previous experience…  https://www.instagram.com/p/BTEUP7CD4KL/ 
2017-04-19,342886089,"GranadaHills, CA91344",Effect of the 2017 General Election on the Real Estate Environment in Kenya  http://dlvr.it/NwnmzH 
2017-04-19,342930174,"GranadaHills, CA91344",Effect of the 2017 General Election on the Real Estate Environment in Kenya  http://dlvr.it/NwnmlX  #Granada Hills
2017-04-17,18569373,90278,RT @realDonaldTrump The Fake Media (not Real Media) has gotten even worse since the election. Every story i…  http://tl.gd/nnltgg 
2017-04-16,18569373,90278,"RT @realDonaldTrump The recent Kansas election (Congress) was a really big media event, until the Republica…  http://tl.gd/nnlsau "
2017-04-14,1666189700,LosAngeles,@TuckerCarlson I bet the Mayor of Lansing loses election bcuz he supports illegal immigration
2017-04-11,25089812,"LosAngeles, CAandUT",Why Donald John Trump was Election 45th President of the United States of America.The American…  https://www.instagram.com/p/BSwpRijlRND/ 
2017-04-10,759846345955954688,,"SAUGUS FRESHMEN, you know what's going on this Friday !! It's class election time and I am…  https://www.instagram.com/p/BSuO7KQgzBy/ "
2017-04-08,29369552,LOSANGELES,Election season for the city of Compton is among us. Are you registered to vote? Who will you…  https://www.instagram.com/p/BSfXy1NhjqM/ 
2017-04-08,29369552,LOSANGELES,Election season for the city of Compton is among us. Are you registered to vote? Who will you…  https://www.instagram.com/p/BSfXmtmBTtl/ 
2017-04-08,29369552,LOSANGELES,Election season for the city of Compton is among us. Are you registered to vote? Who will you…  https://www.instagram.com/p/BSfXO7MhT13/ 
2017-04-06,226456467,"SanPedro, LosAngeles",@AjaLBrown @ajalbrown for Re- Election Our Mayor Let's Go Work Together Vote for Her  #ajabrownformayor…  https://www.instagram.com/p/BSkTUuJjjyc/ 
2017-04-05,29369552,LOSANGELES,Election season for the city of Compton is among us. Are you registered to vote? Who will you…  https://www.instagram.com/p/BSfXmtmBTtl/ 
2017-04-04,29369552,LOSANGELES,Election season for the city of Compton is among us. Are you registered to vote? Who will you…  https://www.instagram.com/p/BSfXmtmBTtl/ 
2017-04-04,29369552,LOSANGELES,Election season for the city of Compton is among us. Are you registered to vote? Who will you…  https://www.instagram.com/p/BSfXy1NhjqM/ 
2017-04-04,29369552,LOSANGELES,Election season for the city of Compton is among us. Are you registered to vote? Who will you…  https://www.instagram.com/p/BSfXO7MhT13/ 
2017-04-04,2445855570,"LosAngeles, CA",At #wendycarrillo 's election party with eastsidemediatv @ Pizza Beer Wings http://ln.is/www.instagram.com/p/16Umr …
2017-04-04,113107109,"└Α, CA","Happy Election Day! Downtown, Koreatown, East LA we have a congressional seat up. Go out and get…  https://www.instagram.com/p/BSe6YKph-AD/ "
2017-04-04,95285217,LosAngeles,Civic duty accomplished! Special election. I'll probably be one of about 340 people voting. It…  https://www.instagram.com/p/BSeQVAAjlw0/ 
2017-04-04,30555601,LosAngeles,Los Angeles East-Siders! Friendly reminder that their is an election today to vote for our US…  https://www.instagram.com/p/BSeM6XLl6dw/ 
2017-04-04,217181602,LosAngeles,"Election Day lunch @ Highland Park, Los Angeles  https://www.instagram.com/p/BSeHtOMhkuF/ "
2017-04-04,296013705,"LosAngeles, CA",Moosh dragged me out and refused to pee until after I voted in the #CA34 congressional election.…  https://www.instagram.com/p/BSeE0cvlATj/ 
2017-04-01,55218049,LosAngeles,"Yes, there's another election in L.A. this Tuesday. Here's why it matters  http://lat.ms/2oIuVBE "
2017-03-28,55218049,LosAngeles,"White House stopped Sally Yates from testifying about Russian meddling in the presidential election, lawyer says…  https://twitter.com/i/web/status/846849418913615872 …"
2017-03-27,29403447,Cali,Valley Gateway Council PTSA officers election meeting at Fair Elementary! #candlesbyari…  https://www.instagram.com/p/BSKqTsJFolp/ 
2017-03-23,55218049,LosAngeles,"Rick Perry blasts election of first gay Texas A&M student body president as ""quest for 'diversity'""…  https://twitter.com/i/web/status/845063897757487104 …"
2017-03-22,113466949,"Dallas, TX","It’ll be the presidential election all over again! It’s not over until the fat, ugly, racist, small penised man sings https://twitter.com/ChuckWendig/status/844639885009014790 …"
2017-03-22,215878261,"SantaMonica, CA","@SenMazieHirono speaks out on voting rights #ShelbyCounty and corporations flooding election with $, #CitizensUnited. #Gorsuchhearing"
2017-03-21,215878261,"SantaMonica, CA","If a successful president of 8 years was denied, a traitor who stole our election damn well doesn't deserve his nominee!"
2017-03-20,55218049,LosAngeles,5 takeaways from a historic hearing into Russian meddling in the U.S. election  http://toplocalnow.com/us/los-angeles/at/14 …
2017-03-20,55218049,LosAngeles,Comey stands by U.S. intelligence assessment that Putin wanted Trump to win election http://lat.ms/2nKzagg 
