date,user_id,location,tweet
2016-11-05,24314794,here,Early voting! Nice and quick. Bonus speed for wife in a wheelchair. (@ Pulaski County Election Commission) https://www.swarmapp.com/c/9I3TUsUqx7p 
2016-11-05,16479801,"LittleRock, AR(it'snotbad)",Exercised my body...then exercised my rights. #vote @ Pulaski County Election Commission  https://www.instagram.com/p/BMb59buArKA/ 
2016-11-01,2374274395,"Conway, AR","2016 Election ~ Well, I'm glad this ludicrous spectacle will soon be over. There was quite the…  https://www.instagram.com/p/BMR4k6ohT5m/ "
2016-11-01,36691914,"LittleRock, AR",Mom and dad votes!!!! @ Pulaski County Election Commission  https://www.instagram.com/p/BMRme2IjiWC/ 
2016-11-01,36691914,"LittleRock, AR",Saint Mark out to Vote! #meetpastoratthepolls @ Pulaski County Election Commission  https://www.instagram.com/p/BMRmFgZDc5q/ 
2016-10-29,1242231048,"LittleRock, AR",Happy Saturday<Emoji: Flag of United States>America!  #saturdaygoals #america #rockthevote2016 @ Pulaski County Election…  https://www.instagram.com/p/BMJ8OGnDVSE/ 
2016-10-26,515677513,"LittleRock, AR",Consistency @ Pulaski County Election Commission  https://www.instagram.com/p/BMCDZOSD0CU/ 
2016-10-24,34631841,"FortWorth, TX",I early #voted @ Pulaski County Election Commission  https://www.instagram.com/p/BL9V8vlAIZknSFLNGD4bNtEqErDVKbp0oswSoY0/ …
2016-10-15,19018920,bethatbetharnold.com,A sign I saw in Hillcrest this afternoon. A sign of the times. #signs #election #election2016…  https://www.instagram.com/p/BLmpyAxDJa7/ 
2016-08-03,68983932,districtofwakanda|nyc|rva,I swear Trump doesn't want to win this election.
2016-07-08,189920437,ArkansasoriginallyfromLA ☀,"I'm at @Cinemark Towne Centre Cinema for The Purge: Election Year in Conway, AR https://www.swarmapp.com/c/9wvfifYgzCv "
2016-07-04,85645848,Around,"I'm at @Cinemark Towne Centre Cinema for The Purge: Election Year in Conway, AR  https://www.swarmapp.com/c/4sjVQctVHKk "
2016-06-10,16479801,"LittleRock, AR(it'snotbad)",@DFGrille Election year marketing done right. Very good @dfgrille; it made me smile. #burgers4prez @ Del…  https://www.instagram.com/p/BGfhfOYh7tU/ 
2016-04-11,509037702,"LittleRock, Arkansas",One week 'til Election Day! #littlerockcentralhigh #tigers #seniorclasspresident #vote…  https://www.instagram.com/p/BEFWLIPs5xA/ 
