date,user_id,location,tweet
2017-05-01,17753294,"Litchfield, NH",PUBLIC HEARING NOTICE - Ratification of Town Meeting / Election Votes http://litchfieldnh.gov/news/2017/5/1/public-hearing-notice-ratification-of-town-meeting-election-votes …
2017-05-01,418365264,"Fitchburg, MA",FRENCH ELECTION WEEK: LE PEN CLOSING GAP WITH MACRON IN MANY POLLS @ Fitchburg State University  https://www.instagram.com/p/BTjra96gtVn/ 
2017-04-22,418365264,"Fitchburg, MA",OVERSEAS RESIDENTS KICK OFF FRENCH ELECTION AS LE PEN SURGES @ Fitchburg State University  https://www.instagram.com/p/BTNRJEYgtSW/ 
2017-04-14,418365264,"Fitchburg, MA",FRENCH JUDGES SEEK LEGAL ACTION AGAINST LE PEN ONE WEEK BEFORE ELECTION @ Fitchburg State…  https://www.instagram.com/p/BS3snBkgi2d/ 
2017-03-21,104728715,"NewHampshire, USA",SB197 [Engross] Making an appropriation to the department of justice to enforce election and lobbying laws. http://bitly.com/ZdRzzm 
2017-03-13,17753294,"Litchfield, NH","Town and School Election is being postponed until March 21, 2017 http://litchfieldnh.gov/news/2017/3/13/town-and-school-election-is-being-postponed-until-march-21-2017 …"
2017-03-06,84981836,"Massachusetts, USA","LendIt: Election years can disrupt fintech, too: A recurring theme…  http://dlvr.it/NYdPwf   http://MyRealtorPaul.com   http://MyRealtorPaul.com  pic.twitter.com/YUOioBk2gh"
2017-02-22,32994754,"NewYork, NY","#tbt Trump's second-to-last rally before the election in Manchester, NH on 11/7/16. What a…  https://www.instagram.com/p/BQ2HDGMBw-1/ "
2017-02-22,104728715,"NewHampshire, USA",HB390 [Engross] Relative to parties on certain election forms and ballots and relative to the voter registration ... http://bitly.com/VYEGu5 
2017-02-09,325265042,"Cleveland, Oh",#tbt to NH election day with the amazing karenkasich <Emoji: Heavy red heart><Emoji: Blue heart>…  https://www.instagram.com/p/BQSoBjPBciCoSDEwfLuXQnbEMTGSK3OB0A3bDc0/ …
2017-01-30,104728715,"NewHampshire, USA",SB197 [NEW] Making an appropriation to the department of justice to enforce election and lobbying laws. http://bitly.com/ZdRzzm 
2017-01-25,104728715,"NewHampshire, USA",HB616 [NEW] Relative to persons executing election affidavits. http://bitly.com/YkvrTI 
2017-01-18,104728715,"NewHampshire, USA",SB47 [NEW] Relative to enforcement of election laws. http://bitly.com/XZHJjY 
2017-01-12,104728715,"NewHampshire, USA",HB390 [NEW] Relative to parties on certain election forms and ballots and relative to the voter registration form... http://bitly.com/VYEGu5 
2016-12-31,104728715,"NewHampshire, USA",HB272 [NEW] Relative to the election of county commissioners in Carroll county.  http://bitly.com/XEmPH1 
2016-12-31,104728715,"NewHampshire, USA",HB165 [NEW] Relative to disqualification of election officers.  http://bitly.com/Uz4fgY 
2016-12-23,1467990211,"Lowell, Massachusetts","@realDonaldTrump After @realdonaldtrump won the election last month, President-elect Donald Trump had all the…  https://www.instagram.com/p/BOXaG-Shlol/ "
2016-12-22,84981836,"Massachusetts, USA",Real estate professionals lost confidence in housing before election  http://dlvr.it/MxgpcM   http://MyRealtorPaul.com   http://MyRealtorPaul.com  pic.twitter.com/gRhIuBKuBb
2016-12-09,84981836,"Massachusetts, USA",Trump’s election pushes up consumer optimism: President-elect…  http://dlvr.it/MrbD0m   http://MyRealtorPaul.com   http://MyRealtorPaul.com  pic.twitter.com/axGKnLn0Rj
2016-11-30,84981836,"Massachusetts, USA",A check on the CFPB's unprecedented power: Since the election of…  http://dlvr.it/MnBrkR   http://MyRealtorPaul.com   http://MyRealtorPaul.com  pic.twitter.com/IetM4tvE4T
2016-11-30,84981836,"Massachusetts, USA",Fed survey shows presidential election yet to effect economy: The…  http://dlvr.it/Mn5jwq   http://MyRealtorPaul.com   http://MyRealtorPaul.com  pic.twitter.com/Au3cMuH5Pd
