date,user_id,location,tweet
2017-05-07,50800845,USA,Paris main mosque says election gives hope to Muslims to implement Sharia Law much easier now!
2017-05-06,50800845,USA,Oh look FAKE NEWS!RT @qpolitico: Euro to fall 5 percent if far-right's Nazi Putin-supporter Marine Le Pen wins the French election.
2017-05-06,50800845,USA,French election will not change the outcome of this country being over run by Islamic rule.It has already begun!
2017-05-05,800738020617916416,,I believe in the 2018 election the voters will remember who did something and the ones who did nothing and more republicans will win!
2017-04-29,26433027,SomewhereinMidwest,Just voted for South Korea's 19th presidential election! 투표 완료! @…  https://www.instagram.com/p/BTe6brDDRJ-pQUpGrM0LeJSfMvHFbwb0vus-4U0/ …
2017-04-18,55540658,Chicago,A young Democrat with no legislative experience could upset Georgia's special election today in a major party win…  https://twitter.com/i/web/status/854374747932700672 …
2017-04-12,47815479,Chicago,"@EmpireFOX Taraji and Taye watching my ""election results"" on @empirefox. #NewsAnchor #Cameo #Chicago…  https://www.instagram.com/p/BSzyCAjhlAD/ "
2017-04-10,78801163,UnitedStates,"""I'm afraid the election is going to be rigged.  I have got to be honest""  ---Donald J. Trump"
2017-04-08,55540658,Chicago,"After Trump's election, more women considering political bids: ""We have the opportunity to change the narrative""… http://toplocalnow.com/us/chicago/at/noon …"
2017-04-06,378217971,"Milwaukee, WI",Think I'd stop trying to be a Clinton because the election is over? Chelsea said she hopes I…  https://www.instagram.com/p/BSkB9QdgEve/ 
2017-04-06,55540658,Chicago,House intel committee chief Devin Nunes says he will step aside from probe into Russian meddling in the election.…  http://toplocalnow.com/us/chicago/at/8 
2017-04-05,55540658,Chicago,"Razor-thin election result for Bolingbrook mayor, an outspoken Trump supporter, could signal GOP challenges in 2018…  https://twitter.com/i/web/status/849768237818675202 …"
2017-04-05,55540658,Chicago,Election Results for April 4th local races  http://bit.ly/2oHg7E5 
2017-04-04,2243981347,,Today I got out and voted in my local election. It's critical to…  https://www.instagram.com/p/BSe9NblgKcX9tXFPY_LwfVbH9bWmX5aD5TLB6U0/ …
2017-04-04,15555469,"Schaumburg, IL","For much of the US, today is an Election Day for local elections. If your area is #voting, then…  https://www.instagram.com/p/BSehdeKFhRq/ "
2017-04-04,121820535,"OakPark, IL","We voted! Follow Wednesday Journal on Facebook and Twitter for Election Night coverage,…  https://www.instagram.com/p/BSecb_1BQjb/ "
2017-04-04,1337120988,"OakPark, IL",Rain or shine. Just do it. #govote #ivoted #election #oakpark #chicago @ Dole Library  https://www.instagram.com/p/BSd9_oMAAv8/ 
2017-04-03,99138746,,"The local election in Schiller Park has become a proverbial ""witches cauldron"". Clearly, the…  https://www.instagram.com/p/BSb2UeYAxgd/ "
2017-04-02,56265569,"willcounty, illinois","Bolingbrook's mayoral election is drawing a lot of attention state-wide, nation-wide.  Incumbent supported #trump https://twitter.com/JBPritzker/status/848205698357972994 …"
2017-04-01,55540658,Chicago,"April Fools' Day in Russia: Call the embassy and press 3 for ""election interference""  http://trib.in/2nJ3Qiy "
2017-04-01,55540658,Chicago,Julian Assange's asylum could be at stake in Ecuador's presidential election tomorrow http://trib.in/2omwPvJ 
2017-03-31,56265569,"willcounty, illinois",New York Times reporter is covering Mayor's election in Bolingbrook follow her reporting @juliebosman https://mobile.nytimes.com/2017/03/31/us/trump-local-elections.html?_r=0&referer= https://t.co/FdL5PH1hn9 …
2017-03-25,7706412,"Seattle, WA",Is this where Obama accepted his election victory? @ Millennium Park  https://www.instagram.com/p/BSFIY48A6BH/ 
2017-03-22,99138746,,"This is a Chicago Tribune article from November of 1985, when it was election season in Schiller…  https://www.instagram.com/p/BR82iS_AjfZ/ "
2017-03-22,99138746,,"This is a Sun-Times article from November of 1985, when it was election season in Schiller Park…  https://www.instagram.com/p/BR81ouRgxta/ "
2017-03-16,55540658,Chicago,No indication of Trump Tower wiretapping before or after election: Senate Intelligence committee…  http://toplocalnow.com/us/chicago/at/13 …
2017-03-15,55540658,Chicago,Dutch Prime Minister Mark Rutte claims dominating election victory over anti-Islam lawmaker Geert Wilders…  http://toplocalnow.com/us/chicago/at/21 …
2017-03-15,1102239079,"Chicago, IL","Today is Dutch election day, so hereis my hand drawing that portraysthe #wealthy's rejection…  https://www.instagram.com/p/BRpuwurD9_L/ "
2017-03-14,55540658,Chicago,Wisconsin election commission chairman blames Bernie Sanders' campaign after 17-year-olds vote illegally in primary. http://trib.in/2moLKkg 
2017-03-14,55540658,Chicago,U.S. applications for New Zealand citizenship jumped 70 percent in the 12 weeks following the election of Trump…  http://toplocalnow.com/us/chicago/at/8 
2017-03-12,758909638586699776,"Chicago, IL",Today I got the chance to meet a congressman and my opponent in the 2018 Election.  Hes smaller…  https://www.instagram.com/p/BRjyLS1gqJy/ 
2017-03-10,55540658,Chicago,Chicago's police union president forced into a runoff election after failing to garner more than 50% of vote…  https://twitter.com/i/web/status/840409100102074368 …
2017-03-10,55540658,Chicago,Fact Check: Trump keeps claiming he created U.S. jobs since Election Day. Not so.  http://toplocalnow.com/us/chicago/at/13 …
2017-03-07,91368927,"Chicago, IL&Atlanta, GA","Today is Election Day in St. Louis. For all of my friends and family in the 19th ward downtown,…  https://www.instagram.com/p/BRWBbPjAaEY/ "
2017-03-06,99138746,,Schiller Park Voters Need Answers Before Election Day royfmc…  https://www.instagram.com/p/BRVADTGADJ4/ 
2017-03-04,609462982,"CovingtonviaFloydCounty, KY","Before, during, and after the election.  https://twitter.com/erikaheidewald/status/837781285053423616 …"
2017-03-04,28985647,,@smerconish why aren't you talking about Obama tapping Trumps phone during election?
2017-03-04,55540658,Chicago,"Citing no evidence, Trump says Obama had Trump phones wiretapped during the election.  http://chicago.suntimes.com/news/trump-alleges-obama-had-trump-phones-wiretapped-during-race/amp/ …"
2017-03-02,55540658,Chicago,Top GOP lawmakers call on Attorney General Jeff Sessions to recuse himself from Russia election investigation  http://toplocalnow.com/us/chicago/at/8 
2017-03-01,55540658,Chicago,"If you missed any local primary election results, check out our election center.  http://trib.in/2lW7q87 "
2017-02-28,107091643,"Chicago, IL",Happy Election Day! Bella and I knocked three precincts for Linda Chapa LaVia's campaign for…  https://www.instagram.com/p/BREobyKjN9r/ 
2017-02-28,55540658,Chicago,It's Election Day in one Chicago ward and a handful of suburbs. Today's Morning Spin http://trib.in/2lRz1ak 
2017-02-27,4113402196,"Southside, Chicago","For everyone that has reached out since the election, I need…  https://www.instagram.com/p/BRCagDtj668KU2Fq3aulfQoAxrsSXLrARj5aRA0/ …"
2017-02-27,55540658,Chicago,Senator Dick Durbin calls for independent probes into Russian interference in U.S. election  http://toplocalnow.com/us/chicago/at/14 …
2017-02-27,384540148,"., .",seeing this movie on election night with one of my best friends was something that was really…  https://www.instagram.com/p/BRBt-jDDpmm/ 
2017-02-27,55540658,Chicago,"What happened at the Oscars contained the strangest plot twist since the recent election, writes Michael Phillips…  http://toplocalnow.com/us/chicago/at/6 "
2017-02-26,55540658,Chicago,White House spokesperson: Premature to say whether special prosecutor should look into election meddling by Russia. http://trib.in/2mzF0A3 
2017-02-22,15148489,"LoganSquare, Chicago","Since the Election, the Inauguration, and the Women's March on Washington we've had many…  https://www.instagram.com/p/BQ0zOgqF7_r/ "
2017-02-16,436985179,"Evanston, IL","With the #Evanston mayoral #election coming upon us fast (Feb 28), the best time to educate…  https://www.instagram.com/p/BQlrBH-jCva/ "
