date,user_id,location,tweet
2016-11-03,21163949,"Honolulu, HI","Early voting today, and this is how this election feels. Come join…  https://www.instagram.com/p/BMXmeWGjJpFPB3HxEv1fAbr85pshHa-0xk_VqM0/ …"
2016-11-01,92631320,hawaii,FBI releases docs from 2001 Rich investigation days before election - CNN  https://apple.news/AbWP_yF3DR7CnZQESLdSlJQ …
2016-10-29,24863957,"Honolulu, HI","Took part in early voting because quite frankly, I've had enough of this election…  https://www.instagram.com/p/BMK7B_dhFnH/ "
2016-10-29,33173260,"ÜT:21.300352, -157.845705",The 'Election Day' CT 70 Quickstrike is now available in the shop or via phone order during shop…  https://www.instagram.com/p/BMK7BlBDS-z/ 
2016-10-27,33173260,"ÜT:21.300352, -157.845705",@Converse New arrival:@converse CT 70 'Election Day' Quickstrike with an embroidered Americana peace sign…  https://www.instagram.com/p/BMF10JSDdmI/ 
2016-10-25,135563887,"Columbia, SouthCarolina","Definitely a Halloween of an election year <Emoji: Face with tears of joy><Emoji: Face with tears of joy><Emoji: Face with tears of joy> REBT <Emoji: Smiling face with sunglasses> @ Ramòn Emilio Balaguer Trujillo was here,…  https://www.instagram.com/p/BMAdq3GAfmD/ "
2016-10-13,1435695072,"Hilo, HI","I am registered to vote in the general election, next step actually vote when my ballot comes in…  https://www.instagram.com/p/BLftdNrhcJc/ "
2016-10-10,597079490,SunsetBeachNorthShoreOahu,I was just wondering if on this year's president election vote ballot there will have a 3rd…  https://www.instagram.com/p/BLaMcG_g-sA/ 
2016-10-06,21275774,Honolulu,filling out my ballot for the election. #HomerSimpson2016 if you…  https://www.instagram.com/p/BLPcGzhhugEdxao_qDJn4BHMjgs9ULCSzEBSJ40/ …
2016-10-02,77690544,"Honolulu, Hawaii","#HWLF #fundraiser ""Shame of Thrones: Election is Coming"" #gameofthrones #partypeople @ Hilton…  https://www.instagram.com/p/BLDhf_ljQ1M/ "
2016-09-29,220638477,Honoululu,Hands down the funniest election meme I've ever seen <Emoji: Loudly crying face> #werefucked @  http://Redefined.Media   https://www.instagram.com/p/BK9R8j8BjmE/ 
2016-08-14,39773927,Kapalama,Mahalo Nui Loa! Now on to the General Election! @ Kamehameha Schools Bus Terminal  https://www.instagram.com/p/BJGP959jpVP/ 
2016-08-13,21397043,"Honolulu, HI",It's Primary Day! Join us for all your election news! @ KITV4 Island Television  https://www.instagram.com/p/BJEyvsQD3MS/ 
2016-08-13,348888457,"Manchester, NH",@KITV4 Half hour left to vote in the 2016 Primary election. Watch @kitv4 for your Election 2016…  https://www.instagram.com/p/BJEu13HBL42/ 
2016-08-13,4775262842,"PearlCity, HI",Good morning everyone I'm working at the election today @ Wahiawa Middle School  https://www.instagram.com/p/BJDbYJAhY-E/ 
2016-07-18,52352346,"Honolulu, HI","#Purge #BreakfastClub (@ Consolidated Theatres Ward Stadium 16 for The Purge: Election Year in Honolulu, HI)  https://www.swarmapp.com/c/dxpH0aEpRcg "
2016-07-02,77149442,"Honolulu, HI","@RegalMovies I'm at Regal Cinemas Pearl Highlands 12 - @regalmovies for The Purge: Election Year in Pearl City, HI  https://www.swarmapp.com/c/lzGEfU13hVT "
2016-07-01,14724647,"Waiʻanae, Hawaiʻi",Register to #Vote at:  http://CedricGates.com For this years election. Follow @cedric4hawaii to keep up…  https://www.instagram.com/p/BHT3so3D4Fx/ 
2016-06-28,2990305724,"Hawaii, USA",Super stoked to volunteer. HI State Primary Election Day coming up.…  https://www.instagram.com/p/BHMPRiMjcfaMynHUGISVCIgRMidOuMIIWm6v8k0/ …
2016-06-26,23906990,"Honolulu, HI",Angry? Afraid? Confused? No matter what side of the election you find yourself on God has…  https://www.instagram.com/p/BHH4V0VDR2F/ 
2016-05-09,149918667,"Hawaii, USA",These while keeping track of the Philippines' National Election…  https://www.instagram.com/p/BFNrqktlAhUum6cTtvNhY9BJafJlz-77eFzlMU0/ …
2016-05-06,30690856,"DavaoCity, Philippines","This is the dirtiest elections I've witnessed. Last election, 2010, I really promised to myself…  https://www.instagram.com/p/BFFxLyDPrZ3/ "
2016-04-18,709551467540000768,,@Iifepost @mindsconsole1 I. Got my woman Taylor Swift.  I got Hillary and the Vice PRESIDENTS HOPEFUL .maybe we could win this election.
2016-04-12,104722449,"Hawaii, USA",HB1653 [Enroll] Elections; Voting; Elections by Mail; Absentee Voting; Postponed Elections and Election Results;... http://bitly.com/1bDncLD 
