date,user_id,location,tweet
2017-05-04,2284254936,"NewOrleans, Louisiana","""@molratty: Dems, six months after the election, still:  pic.twitter.com/KNBAUPEAiT"" pic.twitter.com/qQrOZ4vdhp"
2017-03-22,1325709312,,How I look at folks who don't vote! Election this Saturday! Go vote!…  https://www.instagram.com/p/BR9M0MrFSA5LfTTS3rSD1FA-QAxcYFcs72gYYM0/ …
2017-01-22,810593185802162176,"NewOrleans, LA",The Purge: Election Year - Official Trailer 2 (HD) @llGonZ_ @HillaryClinton @FLOTUS #ObamaWillRunAndWin <Emoji: Flag of Egypt><Emoji: Flag of United States><Emoji: Old key>™ https://www.youtube.com/watch?v=9rqIJcY9hMc&feature=share …
2017-01-21,810593185802162176,"NewOrleans, LA",@dollbaby_duo The Purge: Election Year - Official Trailer 2 (HD) @WhiteHouse @HillaryClinton @BarackObama @VP @Dollbaby_duo <Emoji: Flag of Egypt>™ https://www.youtube.com/watch?v=9rqIJcY9hMc&feature=share …
2017-01-20,21356246,NewOrleans504Hollygrove,"Check out the teaser for the 2016 presidential election inspired short film, AFTERMATH 2016. And…  https://www.instagram.com/p/BPf1LhDgKur/ "
2017-01-19,810593185802162176,"NewOrleans, LA",@dollbaby_duo The Purge: Election Year - Official Trailer 2 (HD) @HillaryClinton @Dollbaby_duo #JackTheRipper was #JohnWilksBooth https://www.youtube.com/watch?v=9rqIJcY9hMc&feature=share …
2017-01-19,810593185802162176,"NewOrleans, LA",@dollbaby_duo The Purge: Election Year - Official Trailer 2 (HD) @Dollbaby_duo @CallofDuty #F0TUS @HillaryClinton set US up. <Emoji: Flag of Egypt> https://www.youtube.com/watch?v=9rqIJcY9hMc&feature=share …
2017-01-19,810593185802162176,"NewOrleans, LA",@dollbaby_duo The Purge: Election Year - Official Trailer 2 (HD) @Dollbaby_duo @CallofDuty @Schwarzenegger @CurrenSy_Spitta <Emoji: Flag of United States>™ https://www.youtube.com/watch?v=9rqIJcY9hMc&feature=share …
2017-01-17,250307159,"NewOrleans, LA","Perspectives on the 2016 election, featuring James Carville and Kathleen Searles (among others)…  https://www.instagram.com/p/BPYsXlQgzuK/ "
2017-01-08,262916761,"Slidell, LA",Watching a courageous Meryl Streep use her platform to decry the American election outcome!  So proud they honored her! #classy
2016-12-12,1411257524,,"I haven't been posting to Twitter recently, so I thought I'd share my thoughts on the election turnout. I'm excited! pic.twitter.com/xAEEAjZWTE"
2016-12-10,268967351,"NewOrleans, Louisiana",#StateSenate #CriminalCourt #FireFighters #HomeOwners this election is just as important as the #PresidentialElection #Vote
2016-12-10,2798875070,MexicoCity,"Lousianians, Santa<Emoji: Father Christmas (medium skin tone)> says to vote in the run-off election to be on the good list. #geauxvote…  https://www.instagram.com/p/BN2XWDZBCHv/ "
2016-12-10,270409282,"NewOrleans, LA",never missing another election again. #AVotelessPeopleIsAHopelessPeople #WeAreHopeless…  https://www.instagram.com/p/BN2V9UbhD90/ 
2016-12-10,257058084,"LasVegas, NV",Polls are open. It's officially election day in Louisiana. @ Port of New Orleans  https://www.instagram.com/p/BN1rO-ZBsN8/ 
2016-11-29,401815502,,"YOU'LL EAT IT AND YOU'LL LIKE IT, @hollyjophoto's series in response to the election (& the…  https://www.instagram.com/p/BNaRFdqgQ5_/ "
2016-11-22,1283494638,,"Y'all. If you're upset about the election, please send Foster Campbell a donation. It's going to…  https://www.instagram.com/p/BNIi-OIAGeW/ "
2016-11-19,18587968,charlotte,"We Jews should always stand against otherness.""Jewish historians speak out on the election of Donald Trump"" http://www.jewishjournal.com/opinion/article/jewish_historians_speak_out_on_the_election_of_donald_trump#.WDEJfjMFE48.twitter …"
2016-11-17,30294013,NewOrleans&beyond,"I wrote this song ten years ago, when I was just a pup. And it came back to me election morning…  https://www.instagram.com/p/BM7vu74AapQ/ "
