date,user_id,location,tweet
2016-11-06,1269858156,"Providence, RI",#PVD #election #feels @ Brown University  https://www.instagram.com/p/BMeYw3oBob8/ 
2016-11-02,216827340,ProvidenceRI,A must watch... Leonardo DiCaprio’s climate-change documentary is streaming for free ahead of US election - http://www.theverge.com/2016/11/2/13503550/leonardo-dicaprio-watch-beyond-the-flood-climate-change-documentary …
2016-11-01,1937283350,"Saharanpur, UttarPradesh, India","CNN, USA today election survey, Hillary Clinton46% Trump 42%, margin is very narrow but hopes Hillary Clinton likely to win"
2016-10-29,930730026,19SnowStProvidenceRI,Are you ready for our Election Year from Hell Halloween Block Party!?!?! Your chance to win the…  https://www.instagram.com/p/BMJ4wenjHZO/ 
2016-10-28,283227847,"Brockton, MA",We are nearing the final stretch coming up towards the election. We voted early today! Get to…  https://www.instagram.com/p/BMHjh_UhaK_/ 
2016-10-28,3105514452,"Providence, RI","Stop in. Meet our new #librarian. Have a beer on us. Heck, we might even discuss the #election @…  https://www.instagram.com/p/BMHf4gPg3Rv/ "
2016-10-27,717089860268457985,"Massachusetts, USA",Go out and vote. This year's election matters than the any other year's election. If you love…  https://www.instagram.com/p/BMEzJk7Djeh/ 
2016-10-27,7741302,"Oxford, Massachusetts","Voting early, because I'm sick of this election thing!!!! (@ Oxford Town Hall in Oxford, MA) https://www.swarmapp.com/c/8E0ZOsSHQzU "
2016-10-21,545406164,"Providence, RhodeIsland","Oh, jeez...Now, the election is rigged. Whaa, Whaa, Whaa! This election year, vote ""SANE.""! And, choose an adult for President."
2016-10-20,216827340,ProvidenceRI,"@kelleyannepolls spews @realDonaldTrump  psycho babble... CNN anchor, Conway spar over rejecting election results  http://www.cnn.com/videos/politics/2016/10/20/kellyanne-conway-trump-rigged-election-cuomo-sot-newday.cnn …"
2016-10-17,930730026,19SnowStProvidenceRI,"Halloween 2016! ""Election Year From Hell"" Grand prize for best costume $2016 with your hosts…  https://www.instagram.com/p/BLqqHofDHH0/ "
2016-10-16,34302798,Connecticut,I am more scared when Donald Trump looses the presidential election.  He is not use to loosing...#teflondon
2016-10-14,19836685,RhodeIsland,President Dooley told me why we should all vote #Yeson4 this election. @universityofri #GoRhody…  https://www.instagram.com/p/BLjXp2wA9EE/ 
2016-09-29,1628834269,NPROVIDENCER.I.,There scared. Election Year. https://twitter.com/ChrisPalmer1216/status/781704440462073856 …
2016-09-28,717089860268457985,"Massachusetts, USA",Your voice and your vote matters in this election. @ Culturesconverge  https://www.instagram.com/p/BK5NU5XjjxV/ 
2016-09-20,2508343305,,@SGAwheaton @sgawheaton announcing election results! Voter turnout was great! 52% of #wheatonma2020 voted!…  https://www.instagram.com/p/BKmI417grBe/ 
2016-09-18,21979285,NewYorkCity,Election Fever in #America. #yachtclub #hillaryclinton #donaldtrump #SodapopPoll…  https://www.instagram.com/p/BKgszZXBLJ2/ 
2016-08-18,360821973,NYC,"It's not me, it you. #election #vote #notrump #nohillary #2016 #democrat #republican #<Emoji: Flag of United States>…  https://www.instagram.com/p/BJP_ZdLhULX/ "
2016-07-27,71083239,"Portsmouth, RI","""That's a bunch of malarkey,"" might be my favorite line this entire election season. @JoeBiden #DemsInPhilly #DemsinPHL #DemConvention"
2016-07-15,35109414,providence,Finnley is on the fence this election season. shann_carroll homesteadhomo @ Broadway-Armory…  https://www.instagram.com/p/BH5eW9jBy-W/ 
2016-07-13,22303659,"Johnston, RI","With Sydni (@ Showcase Providence Place & IMAX for The Purge: Election Year in Providence, RI)  https://www.swarmapp.com/c/cCywWKUQhim "
2016-07-03,898444938,WorcesterMA,Watching the Purge Election Year @kath_purge @UniversalHorror #ThePurgeElectionYear @HorrorSociety @Horror_World @WHMProductions #horror
2016-06-29,104738280,"RhodeIsland, USA",H7330 [Passed] Conduct Of Election/voting Equipment Suppliers http://bitly.com/1eD1ecs 
2016-06-29,104738280,"RhodeIsland, USA",S2415 [Passed] Conduct Of Election/voting Equipment Suppliers http://bitly.com/1qgP00R 
2016-06-18,104738280,"RhodeIsland, USA",S2415 [Enroll] Conduct Of Election/voting Equipment Suppliers  http://bitly.com/1qgP00R 
2016-06-18,104738280,"RhodeIsland, USA",H7330 [Enroll] Conduct Of Election/voting Equipment Suppliers http://bitly.com/1eD1ecs 
2016-06-16,104738280,"RhodeIsland, USA",S2415 [Engross] Conduct Of Election/voting Equipment Suppliers  http://bitly.com/1qgP00R 
2016-06-10,104738280,"RhodeIsland, USA",H8324 [NEW] Conduct Of Election And Voting Equipment And Supplies  http://bitly.com/1n4BB4H 
2016-06-09,280647451,Maryland|Massachusetts,That's why that South Park episode after the 2008 election was GOAT. It captured America perfectly when it comes to presidents.
2016-06-08,104738280,"RhodeIsland, USA",H7330 [Engross] Conduct Of Election/voting Equipment Suppliers http://bitly.com/1eD1ecs 
2016-06-08,2207460545,,@nhs_oa NHS students check your email for election results.<Emoji: Clapping hands sign><Emoji: Clapping hands sign>
2016-06-07,14485062,"Stoughton, MA",I voted for Bernie Sanders in the Democratic primary. I’ll be voting for Gary Johnson in the general election. #FeelTheBern #GaryJohnson2016
2016-05-16,44066699,CranstonRI,"@realDonaldTrump is a bully not a winner. #AmericaDeservesBetter  You can't win an election on insults, everyday is someone new #PettyNation"
2016-05-14,90263782,HopkintonMA,Signs seen in downtown Hopkinton this morning. Town Election is just two days away! @ Sunoco  https://www.instagram.com/p/BFZCSyUDIAw/ 
2016-04-26,23533765,RI,You bet your ass! #POTUS #president #election #usa #rainorshine @ Aspray Boat House  https://www.instagram.com/p/BEq6I9Wgqep/ 
2016-04-25,3138368967,,I'm never one to dabble in politics but the state of the U.S. president election right now is a…  https://www.instagram.com/p/BEoj-NzsIlN/ 
