date,user_id,location,tweet
2016-11-06,30003959,Tempe.AZ,This is my contribution to this years US Election. Title: Huge Looza!! / A$$ Clown - 'The…  https://www.instagram.com/p/BMe7iJmBQ6B/ 
2016-11-05,531638181,,"@frenchgroceryaz Taking a somewhat break from the election & enjoying a #delish glass of #Rosé (at @FrenchGroceryAz in Phoenix, AZ)  https://www.swarmapp.com/c/lDf76M3kESZ "
2016-11-05,18468369,"iPhone:33.546558, -112.061058",It's election week and this is one of my favorite photographs - one of many that we will feature…  https://www.instagram.com/p/BMcOqVwAZ4L/ 
2016-11-05,56117318,Phoenix,"LIVE NOW: Donald Trump drums up support in Wilmington, NC, as Election Day nears. http://www.cbs5az.com/category/301274/breaking-news-video-channel-6 …"
2016-11-05,501184009,"LosAngeles, CA",This election is all about the T-shirt game.  Super pumped to say #AdiosArpaio!  #election2016…  https://www.instagram.com/p/BMb_TQWgmZA/ 
2016-11-05,25220741,"Denver, Colorado",Early AM arrival in The Grand Canyon State for election coverage.…  https://www.instagram.com/p/BMb2sPBAUznqNjj353St02QQL7fwA3RFP6Bfio0/ …
2016-11-05,20961189,"iPhone:33.511608, -111.989105",A crazy finish to an insane election could be faithless Electors changing their vote  http://bigstory.ap.org/article/d3a1c10593c44da58bb611ef09101214/washington-state-elector-says-he-wont-vote-clinton … #Election2016 #fb
2016-11-05,56117318,Phoenix,A major Supreme Court decision expected today could play an impact on the election. LATEST  http://bit.ly/2eJhugk 
2016-11-04,218435721,"Sacramento, California",Think @RecorderPurcell will make it past this election? I sure hope not. https://twitter.com/AndreiCherny/status/794675151849721856 …
2016-11-04,343407175,"Phoenix, AZ, USA","I refuse to watch #Hardball or thathack, @HardballChris, any more!  It's going to be difficult to watch the @MSNBC election coverage https://twitter.com/GottaLaff/status/794640746510839808 …"
2016-11-03,3669798133,Wentzylvania,My thoughts on the 2016 presidential election. #2016presidentialelection #democrat #republican…  https://www.instagram.com/p/BMXQqUEAiVo/ 
2016-11-02,30952748,PHX/LA,I'm ready to rally with hillaryclinton! Let's do this! 6 more days til the election. We really…  https://www.instagram.com/p/BMUucpghlv-/ 
2016-11-01,117865627,,FBI  is a disgrace releasing more files to cause Hillary more harm during a election!  What is going on ! <Emoji: Cat face with wry smile>
2016-11-01,22927930,*phoenix*,Just mailed my vote in! #democracy #USA #election #election2016 did you catch that little dig?…  https://www.instagram.com/p/BMSTNP7AFv2/ 
2016-11-01,70142455,"Scottsdale, AZ",Big ups to Spirit Airlines. They have an offer out to fly free on Election Day. Whaaaaaat?!!…  https://www.instagram.com/p/BMR1O2kglM9/ 
2016-11-01,2319563012,USA,#remember to #perform your #civic #duty and #vote #clinton #trump #2016 #presidential #election…  https://www.instagram.com/p/BMRiue_hIgz/ 
2016-10-31,56117318,Phoenix,JUST IN: Bernie Sanders plans to visit Arizona for Hillary Clinton before Election Day. abc15 @abc15  http://toplocalnow.com/us/phoenix 
2016-10-31,56117318,Phoenix,"When do you need to mail your Arizona early ballot? By Tuesday, election officials say.  http://azc.cc/2dVoUAE "
2016-10-31,40637585,"Phoenix, AZ",So I figured a date before election/conviction wouldn't be so bad.#happyhalloween…  https://www.instagram.com/p/BMO41yEjnxT/ 
2016-10-31,2195436804,"Phoenix, AZ",Yooooooo! The 2016 Election is JUST AROUND THE CORNER!!! This race has been disappointing and…  https://www.instagram.com/p/BMOPrcAjmUr/ 
2016-10-30,14157981,"Phoenix, AZ",If you told me a year ago that HRC would campaign in Arizona--let alone 6 days before Election Day... Wow. #ImWithHer https://twitter.com/hillaryforaz/status/792503847277043713 …
2016-10-30,43603566,Askyamooma,Regardless who won the election niggas still gonna get treated like shit. Keep fooling yourselves
2016-10-29,56117318,Phoenix,The election gets even more dirty: Someone dumped a truckload of manure in front of an OH Dem county HQ…  https://twitter.com/i/web/status/792565188792815616 …
2016-10-29,245921205,"Scottsdale, AZ",Election Day 2016... talk about scary. <Emoji: Flag of United States><Emoji: Neutral face><Emoji: Japanese goblin>#purge #electionday #halloween #america #mask…  https://www.instagram.com/p/BMKn9S8gtXV/ 
2016-10-28,43603566,Askyamooma,People already voting ain't no changing of minds now. Election been decided long ago lol. Y'all will find out tho
2016-10-28,43603566,Askyamooma,Don't make sense mentioning me cause I don't gonna reply. I'm laughing cause y'all think there's a better and worse choice this election
2016-10-26,972130304,"Gilbert, AZ","Scariest election yet but we're doing our part. #vote2016 #soundoff @ Gilbert, Arizona  https://www.instagram.com/p/BMC9AgLj-no/ "
2016-10-26,43603566,Askyamooma,Me not voting for Hilary make Trump win then so be it. I ain't casting no votes at this here election son
2016-10-25,56117318,Phoenix,"An assistant U.S. Attorney has been tasked with monitoring Arizona's election, to ensure a ""free and fair election.…  https://twitter.com/i/web/status/790925581709901824 …"
2016-10-23,22698796,EAGERLYAWAITINGMYDEATH!! 💔,@victheslickg #Pat Robertson is blathering about how god tipped him off that Trump is gonna win the election.I guess we're safe now.
