date,user_id,location,tweet
2017-04-11,36171507,Wichita,Voting for the special election. More people here than I thought there would be. (@ Park City Senior Center) https://www.swarmapp.com/c/dTwcbcA2gP2 
2017-01-10,2361357000,,@KellyannePolls @realDonaldTrump @SpeakerRyan @Kellyannepolls Clearly Trump is illegitimate.. Election needs to be held again  http://www.cnn.com/2017/01/10/politics/donald-trump-intelligence-report-russia/index.html …
2016-12-09,165600417,,"@MSNBC @Morning_Joe @morningmika @msnbc FYI Manafort, Reince, Putin, Kobach ""rigged""election in WI, MI, PA. Too much  discrepancy between EC to PV."
2016-11-23,165600417,,@Reince Didn't lose the popular vote. Trump won w/less votes than Romney lost with . Trump/ @reince rigged the election @FactsVsOpinion
2016-11-14,2361357000,,@Jruboix He stole the election is Russia/ Comey. He won  election w/less votes then Romney won when he lost. He lost popular vote.
2016-11-09,2314420644,"Kansas, USA","My hammington doesn't care about the election, all he sees is a hammock and a warm sleeping…  https://www.instagram.com/p/BMmYcsojTAQ/ "
2016-11-08,41160892,"ÜT:37.664819, -97.54875","@AVIWichita Election night adult bevy. Oy vey.<Emoji: Confused face> (@ AVI Seabar & Chophouse - @aviwichita in Wichita, KS)  https://www.swarmapp.com/c/hHssnLbqez6 "
2016-11-08,21676788,betweenarock&asoftspot,"So excited I almost cried, my baby #voted in her first presidential election today!!!! I was…  https://www.instagram.com/p/BMkGS4ljSmX/ "
2016-11-08,980696845,,Election lunch at The Artichoke! #BLT#ElectionLunch #lunch #food #flowers #vote #Election2016…  https://www.instagram.com/p/BMkBammhAcR/ 
2016-11-08,2841722341,"Wichita, KS","Good morning, beautiful citizens! Today is election day and we have an incentive for you early…  https://www.instagram.com/p/BMjV4k0DSft/ "
2016-11-04,2841722341,"Wichita, KS","So, the election office was POPPIN' with many, many early voters. That's great for democracy,…  https://www.instagram.com/p/BMZmu5LDquz/ "
2016-10-31,2361357000,,Shame on @JoeNBC  for not mentioning #jamescomey 's inappropriate and possibly illegal actions by meddling in election.
2016-10-21,231301794,"Andover, Kansas",Pick up the Election issue of the Spotlight in the commons Monday. pic.twitter.com/jjR82B1guM
2016-10-14,711784904,,Taking down the election display because I prefer to pretend we aren't having one. Come see our…  https://www.instagram.com/p/BLjaZosjDhm/ 
