date,user_id,location,tweet
2016-11-26,159665152,"FallRiver, MA","@realDonaldTrump Well, you did say the election was rigged.  You are probably right."
2016-11-23,16085805,"USA, RhodeIsland","light malty flavor, slight hop bitterness,thin receding head... (#72 American Election Ale)  http://untp.beer/s/c386207502  #photo"
2016-11-23,480891788,,"In ""light"" of our election outcome last week zachtayls and I had some fun with some long…  https://www.instagram.com/p/BNKXhG_guI9/ "
2016-11-23,1546035500,@AppleofHiseyes,"I call Mrs Clinton to challenge the results of the election in #Wisconsin, #Pennsylvania & #Michigan. Let's see if d processes were fair!!!"
2016-11-17,16085805,"USA, RhodeIsland","Nice finish to a burger supper, too bad it wasn't available ... (#72 American Election Ale)  http://untp.beer/s/c383826519  #photo"
2016-11-15,38896046,LosAngeles,Me and movie star Harlan the night if the election. #election2016 #cantwatch #dog #dogactor…  https://www.instagram.com/p/BM1wZ0gjdPQ/ 
2016-11-13,53681752,NewEngland,"First official ""post-election"" ""non-politics"" assignment!  Not a bad way to ease back into…  https://www.instagram.com/p/BMwoXqkg4jI/ "
2016-11-11,130505109,theBronxZu,"Day after election, ""What Have We Done"" @ Rhode Island School of Design  https://www.instagram.com/p/BMswMUGhVfNNeNH1p8Zl5bLm1c1FjckTIbB4CE0/ …"
2016-11-10,25472304,"Providence, RI","Sobriety stuck through the election and a few awful trauma flash backs.... So here I am, in my…  https://www.instagram.com/p/BMpryZMAhMD/ "
2016-11-10,3089767577,"Norfolk, MA",Your Voice Matters. Post-election pep-talk.    http://www.norfolkcable.com/blog-add/2016/11/10/nctv-inside-your-voice-matters …
2016-11-10,2790048582,"RhodeIsland, USA",Indulging in my some of my favorite treats @northbakery to help me get out of my post-election…  https://www.instagram.com/p/BMpGvqGBZcx/ 
2016-11-09,1546035500,@AppleofHiseyes,@TheLastWord :The media 've lost d luster of its vibrancy. It's become a mere sounding cymbal of irregular rhythm.  This election proves it.
2016-11-09,1546035500,@AppleofHiseyes,"@TheLastWord :Lawrence, thanks 4 your analysis of d result of d election we just had. Quoting you, ""..respect is earned."" You spoke my mind!"
