date,user_id,location,tweet
2016-11-03,3612767423,VirginiabywayofBoston,"Can he fix the @USNavy too? ""@truthaboutmike: I wonder if it's too late for Theo to fix the election."""
2016-11-02,14194003,"Portsmouth, Virginia",We knew this election would result in summoning Satan. #politics #2016election…  https://www.instagram.com/p/BMUZOD5DAA1/ 
2016-11-02,274654303,"Chasingpowder, food, &wine!","#Starbucks special #election cup. Told me supposed 2 create unity. Yeah, think will take…  https://www.instagram.com/p/BMUSKvEgCay/ "
2016-11-02,23517712,"HamptonRoads, Virginia",ODU political scientist says betting markets may accurately predict election outcome  http://link.wtkr.com/2ezN8N5 
2016-11-02,1618283048,NYC,#GOTVforHRC regrann_app from hillaryclinton  -  One week to Election Day. Like this if it…  https://www.instagram.com/p/BMT51xKDt0W/ 
2016-11-01,711297346,"Chesapeake, VA",Grabbing breakfast before taking Nat to school..verdict is braces on Election day from Hatcher orthodontics... https://www.swarmapp.com/c/dFGnNmcjWOr 
2016-10-26,14810072,Bajor,"Election officers training class. (@ Meyera E. Oberndorf Central Library in Virginia Beach, VA)  https://www.swarmapp.com/c/5k15xS3jgI5 "
2016-10-17,2318100489,,November Election how hard going to be   in PR  & USA when you don't  have to many option.…  https://www.instagram.com/p/BLrCG5DFevw/ 
2016-09-26,27002621,"Hampton, VA","margaritas, debate bingo, fall weather & the first presidential debate of the election season.…  https://www.instagram.com/p/BK1yF35jpw-/ "
2016-09-12,50346721,everywhere,"Happening Today!!!! Get prepared for the upcoming election on November 8, 2016. Free information…  https://www.instagram.com/p/BKRIshPhlaK/ "
2016-09-07,50346721,everywhere,#WomenChangingWorld(WCW) <Emoji: Crown> Today marks the <Emoji: Keycap digit six><Emoji: Keycap digit zero> day countdown to the upcoming election 2016.…  https://www.instagram.com/p/BKEeYaLhVrU/ 
2016-08-31,19832820,Virginia,"Also called ""Let me walk my statement back so I can actually try to win the election! (cont)  http://tl.gd/nmrd2u "
2016-08-29,19832820,Virginia,You know Trump's staff can't handle the issues when they are to busy spreading gossip about Hillary's health! Can't win election that way.
2016-08-20,2177769328,"Suffolk, Va","HE HAD THE NERVE TO TELL ME YESTERDAY, HE GON BEAT ME IN A ELECTION…  https://www.instagram.com/p/BJV8Ytgg1yq9iu4ORNxs_MmYKDajeFRHU0Uv_s0/ …"
2016-08-15,19832820,Virginia,Trump's campaign in disarray yet his worshippers think he's gonna smoke Hillary in an election? (cont)  http://tl.gd/nmpgu2 
2016-07-30,194021570,,"This election has shown us exactly who we are as Americans, from the ungodly amount of…  https://www.instagram.com/p/BIf6x69Auqn/ "
2016-07-27,28281775,7FIVE7,@RouhiJaan hate election years
2016-07-25,2177769328,"Suffolk, Va",#MayorMonday Election Season Is  Here. He's the Youngest To Ever…  https://www.instagram.com/p/BISdNx-AstxuhJ9Xl0j5OKhNpzsDDfKnv-zv4A0/ …
2016-07-14,24057769,VirginiaBeach|International,"I'm at Cinema Cafe - Edinburgh for The Purge: Election Year in Chesapeake, VA  https://www.swarmapp.com/c/e4gVaax6b8c "
2016-07-11,30391614,YaMommaHouse,"@CobbTheatres I'm at CinéBistro at Peninsula Town Center - @cobbtheatres for The Purge: Election Year in Hampton, VA https://www.swarmapp.com/c/idmIUq8QEa7 "
2016-07-05,52307514,704,Election Year @ Virginia Beach Oceanfront  https://www.instagram.com/p/BHf35vzgogn/ 
2016-07-04,341711882,"Chesafreak, VA",#MovieLovers ★ The Purge: Election Year (at Cinema Cafe - Edinburgh) —  https://path.com/p/35yKNk 
2016-07-03,86215719,,"@AMCTheatres I'm at AMC Lynnhaven 18 - @amctheatres for The Purge: Election Year in Virginia Beach, VA  https://www.swarmapp.com/c/diGoW6zWwCH "
2016-07-01,37722118,HawaiitoVirginia,"@RegalMovies I'm at Regal Cinemas Strawbridge Marketplace 12 - @regalmovies for The Purge: Election Year in Virginia Beach, VA https://www.swarmapp.com/c/aTjbjq8mTUz "
2016-07-01,478172574,"LitchfieldPark, Az",@AMCTheatres Checking out the Purge this week (@ AMC Hampton Towne Centre 24 - @amctheatres for The Purge: Election Year) https://www.swarmapp.com/c/3ASGT7B4gYr 
2016-06-14,2485269581,"HamptonRoads, Suffolk, VA",#win #voice #vote #ballot #mayor #suffolk #va #Virginia #politic #politician #2016 #election…  https://www.instagram.com/p/BGoPrNdPzND/ 
2016-06-12,874541006,,Even Reagan lost an election #reaganbush84 #Reaganators @ Virginia…  https://www.instagram.com/p/BGkd5bHDE8pXXzb4b5VaNaZ1kLTlJUIRmtpYp00/ …
2016-05-03,15923007,"Norfolk, VA","On Election Day, Andy Protogyrou lambasts his opponents with a smile. Negative campaigning often…  https://www.instagram.com/p/BE9Rv6zmRW2/ "
2016-05-03,43786425,"Richmond, Va.",Election Day for #norfolkva #NFK This is Pretlow Library across from the Chesapeake Bay. @ Mary…  https://www.instagram.com/p/BE80SKUtuUz/ 
2016-05-03,164299771,"NorfolkVa, ","Election day (@ Bayview Elementary School in Norfolk, VA) https://www.swarmapp.com/c/17Ttk1t7wyA "
2016-05-01,40277962,"Hayesville, NC","I'm so tired of seeing trump on every channel, I've started watching Three Stooges reruns, just to make sure the election process in check.."
