date,user_id,location,tweet
2017-05-05,2474484943,UnitedStates,"'Nah Nah Nah Nah, Hey Hey Hey, Goodbye!' governor Ducey your re election is over bye bye bye bye  2018"
2017-05-03,104703006,"Arizona, USA",SB1328 [Passed] Election proclamation; board clerk http://bitly.com/YnzoqF 
2017-05-03,117865627,,Sounds like Comey is bias ! He let the Russian government interfere with our election. !  <Emoji: Cat face with wry smile>
2017-04-27,104703006,"Arizona, USA",SB1328 [Enroll] Election proclamation; board clerk http://bitly.com/YnzoqF 
2017-04-27,2474484943,UnitedStates,"#LetDoThis Nov2018 Election Year organized  empowered for students and teachers  #respectteachers enough is enough no more lies GOP Az"
2017-04-26,2474484943,UnitedStates,yes you passed #SB1042 lowering teaching professional standards but we will remember you on November 2018 election year shame on you GOP
2017-04-17,56117318,Phoenix,Arizona's 2018 election got a lot more interesting  http://toplocalnow.com/us/phoenix/at/13 …
2017-04-08,2474484943,UnitedStates,yes it disappointed <Emoji: Disappointed face> that GOP of Arizona don't join us and support public education but we will remember them when it's election year 2018
2017-04-07,2474484943,UnitedStates,It's time to motivated and organized #BeStrong #BeHeard Advocacy don't wait into election year 2018
2017-04-04,750834216,"PHX, AZ-USA","is #Trump's ""election"" just a conspiracy to make mainstream #GOP candidates more sane and therefore electable by comparison? hmmm..."
2017-03-30,56117318,Phoenix,The report also reveals about 168 votes in the Nov. 8 general election were accidentally counted twice http://azc.cc/2oeVOk9 
2017-03-28,56117318,Phoenix,Hillary Clinton Gives First Post-Election Speech  http://toplocalnow.com/us/phoenix/at/20 …
2017-03-28,56117318,Phoenix,Hillary Clinton Gives First Post-Election Speech http://toplocalnow.com/us/phoenix/at/17 …
2017-03-23,22698796,EAGERLYAWAITINGMYDEATH!! 💔,"@SunsetLuna03 mom,this is just a light hate!this care nurse owes me 4my election night win!and I can't even mooch any soda off of him now!!"
2017-03-22,104703006,"Arizona, USA",SB1147 [Engross] County election; motor fuel taxes http://bitly.com/XYaxt9 
2017-03-20,15919316,"Phoenix, AZ",iamderay sharing his perspectives on the 2016 presidential election and his involvement with the…  https://www.instagram.com/p/BR4d7m-jhaC/ 
2017-03-20,56117318,Phoenix,SOUND OFF: Do you think Donald J. Trump had illegal ties to Russia during the election? http://bit.ly/2nf2BcC 
2017-03-16,56117318,Phoenix,Leaders of Senate Intelligence committee say no indication of Trump tower wiretapping before or after election.…  http://toplocalnow.com/us/phoenix/at/10 …
2017-03-14,117865627,,"II think if anyone was upset about losing a election ,  it is Paul Ryan ! He hates president Obama because of it !<Emoji: Cat face with wry smile>"
2017-03-11,67923,"37.468019, -122.430062",Huge yin class. All yin classes have grown since the election. #meditation @ Inner Vision Yoga  http://ln.is/www.instagram.com/p/DvVCI …
2017-03-04,56117318,Phoenix,"In a tweet, Pres. Trump accuses former Pres. Obama of tapping Trump's phones in Trump Tower before election. Your…  http://toplocalnow.com/us/phoenix/at/9 "
2017-03-04,56117318,Phoenix,Trump Tweets Obama Tapped His Phone During Election http://toplocalnow.com/us/phoenix/at/8 
2017-02-28,850570616,"Phoenix, AZ",At the last #meetthecandidates night for the #cityofgoodyear election. 2 running for...  https://www.swarmapp.com/c/jdfbTwZ2XVv  pic.twitter.com/ao5VOA32cr
2017-02-24,104703006,"Arizona, USA",SB1328 [Engross] Election proclamation; board clerk http://bitly.com/YnzoqF 
2017-02-23,104703006,"Arizona, USA",SB1147 [Engross] County election; motor fuel taxes http://bitly.com/XYaxt9 
2017-02-23,104703006,"Arizona, USA",HB2339 [Engross] Presidential preference election; reimbursement http://bitly.com/VQ3JPK 
2017-02-22,104703006,"Arizona, USA",HB2484 [Engross] Primary election date http://bitly.com/XYilLv 
2017-02-22,104703006,"Arizona, USA",HB2495 [Engross] Consolidated election dates; tax authorization http://bitly.com/Y54lQ8 
2017-02-21,1023387578,"Mesa, AZ",So Glad my #Candidate @realDonaldTrump won the Election <Emoji: Thumbs up sign><Emoji: Smiling face with sunglasses> @pantyanimal
2017-02-16,56117318,Phoenix,"President Trump on whether anyone on Trump's campaign had dealings with Russia during election: ""Nobody that I know…  http://toplocalnow.com/us/phoenix "
2017-02-07,104703006,"Arizona, USA",HB2484 [NEW] Primary election date http://bitly.com/XYilLv 
2017-02-07,104703006,"Arizona, USA",HB2495 [NEW] Consolidated election dates; tax authorization http://bitly.com/Y54lQ8 
2017-01-31,104703006,"Arizona, USA",SB1446 [NEW] Motor fuel taxes; county election http://bitly.com/WsP8tR 
2017-01-27,104703006,"Arizona, USA",SB1388 [NEW] Early ballots; election day postmark http://bitly.com/WjWzDL 
2017-01-27,104703006,"Arizona, USA",SB1393 [NEW] Presidential preference election; independent voters http://bitly.com/YzsaQu 
2017-01-27,104703006,"Arizona, USA",SB1390 [NEW] Election procedures; workers; precincts; provisionals http://bitly.com/WrcO1Z 
2017-01-26,104703006,"Arizona, USA",SB1328 [NEW] Election proclamation; board clerk http://bitly.com/YnzoqF 
2017-01-25,56117318,Phoenix,"Since Election Day, Planned Parenthood has seen a 64% increase in AZ for IUD requests  http://bit.ly/2jgYBD1 "
2017-01-25,104703006,"Arizona, USA",SB1306 [NEW] Election results; statewide electronic format http://bitly.com/WgnTTb 
2017-01-25,104703006,"Arizona, USA",SB1305 [NEW] Election equipment certification; procedures manual http://bitly.com/Yk9nIF 
2017-01-25,43547001,"Phoenix, AZ",@POTUS @seanspicer the election is over.  @realDonaldTrump won. Move on already and stop talking about the election.
2017-01-25,104703006,"Arizona, USA",HB2350 [NEW] Presidential preference election; independent voters http://bitly.com/VNFkKI 
2017-01-23,104703006,"Arizona, USA",SB1193 [NEW] Election and ethics; commission; duties http://bitly.com/Y3czrZ 
2017-01-23,104703006,"Arizona, USA",HB2339 [NEW] Presidential preference election; reimbursement http://bitly.com/VQ3JPK 
2017-01-23,750834216,"PHX, AZ-USA","how many so called ""celebrities"" leaving now like they said? the same number that promised after #Obama's election?"
2017-01-20,40739362,"Surprise, Az",I've been very quiet about the whole election cycle & the outcome. Mostly because I didn't want…  https://www.instagram.com/p/BPgLnFHj4aM/ 
2017-01-19,56117318,Phoenix,Joe Arpaio outspent Paul Penzone by a huge margin and lost the election by nearly 13% http://www.azfamily.com/story/34296785/reports-show-arpaio-spent-126-million-in-re-election-bid …
2017-01-12,104703006,"Arizona, USA",HB2275 [NEW] County recorder; nonpartisan election  http://bitly.com/XKvh7J 
2017-01-12,104703006,"Arizona, USA",HB2276 [NEW] Election law; review; commission http://bitly.com/XLfghV 
2016-12-21,4696620396,"LasVegas, NV","All  hysterical women who are protesting Pres.-elect Donald Trump's election, Unless he insulted you personally  you need to stop!"
2016-12-14,56117318,Phoenix,"Donald Trump 'obviously' knew Russia was interfering with election, White House says abc15 http://bit.ly/2gMeWl2 "
2016-12-12,14229342,"Phoenix, Arizona",Email Points Out No Late Portability Election Waiver Possible of Form 706 Was Required to Be Filed   https://www.currentfederaltaxdevelopments.com/blog/2016/12/12/email-points-out-no-late-portability-election-waiver-possible-of-form-706-was-required-to-be-filed …
2016-12-12,56117318,Phoenix,"Montini: If Russians rigged the election, Trump should resign via azcentral http://azc.cc/2hfqD4o "
2016-12-11,56117318,Phoenix,Coming up on FNS -- Donald J. Trump describes what went through his mind on election night. @FoxNewsSunday  http://toplocalnow.com/us/phoenix 
2016-12-11,56117318,Phoenix,Sen. McCain joins Dems in calling for examination of report that Russia interfered with U.S. election to help Trump  http://apne.ws/2hAcjQX 
