date,user_id,location,tweet
2016-11-06,64465376,"Charlotte, NC","PENCE: Says election is not a choice between two people, but a choice between two futures WSOCTV @DaShawnWSOC9  http://toplocalnow.com/us/charlotte "
2016-11-06,3313133631,105E.5thstreet,"Who's coming to our Taco Tuesday Election Day party on Nov. 8th?? We're serving up $2 tacos,…  https://www.instagram.com/p/BMe3dI-juzX/ "
2016-11-05,64465376,"Charlotte, NC","In this year’s tight election, North Carolina has jumped to ‘super battleground’ status. http://www.charlotteobserver.com/news/politics-government/election/article112806783.html …"
2016-11-05,611349880,CLT,"If you have not voted PLEASE, PLEASE, PLEASE VOTE Tuesday, November 8th! This election is not…  https://www.instagram.com/p/BMcUSffAJpb/ "
2016-11-05,387364645,Anywhereyouneedustobe!,#SkyTv all the way from London to cover the election...my new #InternationalMedia contact…  https://www.instagram.com/p/BMcN41Chvb9/ 
2016-11-05,15338841,QueenCity!,Still in this line! But I'm holding strong to exercise my right to vote. This election is too important.  https://www.swarmapp.com/c/3a8htwLJHX1 
2016-11-04,15247846,NorthCarolina,"In the midst of a nasty election cycle, I am looking forward to…  https://www.instagram.com/p/BMZ_D0hDcsqFC9m2fJoyhLNk2COdwmIZf9vDfc0/ …"
2016-11-04,64465376,"Charlotte, NC","Melania Trump to combat bullying as First Lady, is this surprising after Trump's comments through out the election?…  https://twitter.com/i/web/status/794473331504320512 …"
2016-11-03,64465376,"Charlotte, NC","Happy birthday, Billy Graham. Charlotte-born evangelist turns 98 Monday with no election-year photo plans. charobs http://www.charlotteobserver.com/living/religion/article112264092.html …"
2016-11-02,2452134079,"Houston, TX","If only the #election could be decided by a game of Connect 4, I know hillaryclinton would be…  https://www.instagram.com/p/BMVdj7wBSLc/ "
2016-11-02,3313133631,105E.5thstreet,"We're throwing a Taco Tuesday ELECTION PARTY Nov. 8th!! Specials include $2 tacos, $2.50 PBR,…  https://www.instagram.com/p/BMUC-V1DDho/ "
2016-11-01,3075735206,109DoverStreetPinevilleNC,Great way to unwind after Election Day!  Click link in bio or 704.978.8328 for more info and to…  https://www.instagram.com/p/BMRVOcOAmB7/ 
2016-10-30,20547402,LosAngeles,"Ok , ok ... #JuJuOnThatBeat #Election #YouUgly #youuglyyouyodaddyson #Hillary <Emoji: Honeybee><Emoji: Dash symbol> @ Charlotte,…  https://www.instagram.com/p/BMMrqslh5yH/ "
2016-10-29,355314534,"Charlotte, NC",We voted early. Explaining the election process to my son today.…  https://www.instagram.com/p/BMKd-S1Aglb6DA86fZmPlw5OQfjisJLUv4eJrA0/ …
2016-10-29,188813953,"Charlotte, NC","You got Election anxiety? I got you covered. @ Charlotte, North Carolina  https://www.instagram.com/p/BMKe74Ygcee/ "
2016-10-28,64465376,"Charlotte, NC",WBTV News I'd definitely take a Zombie apocalypse over the election...wait does that count as a disaster?…  https://twitter.com/i/web/status/792152923358765056 …
2016-10-28,64465376,"Charlotte, NC",The battle for North Carolina: Can Trump/Clinton win the election without North Carolina? WCCB @WCCBCharlotte  http://toplocalnow.com/us/charlotte 
2016-10-27,64465376,"Charlotte, NC","FLOTUS: ""If Hillary doesn't win this election, that will be on us.""Encourages everyone to vote. ""Voters decide the…  https://twitter.com/i/web/status/791719090993958912 …"
2016-10-27,48262058,"Charlotte, NC",Thankful that we have the freedom to vote. This election season has…  https://www.instagram.com/p/BMEqUz6A9ClMpFwmVddDnJdDb4t7HA1hMUDdBQ0/ …
2016-10-27,64465376,"Charlotte, NC",39% of people have blocked someone because of their political posts... Is this election causing you to be less…  http://toplocalnow.com/us/charlotte 
2016-10-26,2176828806,,what's more exciting than first-time voting in the most controversial election in the history of…  https://www.instagram.com/p/BMDCflqj3bf/ 
2016-10-26,64465376,"Charlotte, NC",SCAM ALERT: The BBB/Janet Hart is warning consumers about election telephone scams targeting voters.STORY:…  https://twitter.com/i/web/status/791291375409106948 …
2016-10-26,64465376,"Charlotte, NC",Reminder: Same-day registration is offered during EarlyVoting but NOT on Election Day. Not registered? Vote early.…  https://twitter.com/i/web/status/791280691031969793 …
2016-10-24,209089407,"Charlotte, NC","voted early <Emoji: White heavy check mark> this is honestly the first election I've cared much about, and although this…  https://www.instagram.com/p/BL9tP1iA9Ft/ "
2016-10-24,64465376,"Charlotte, NC","GOP VP nominee Pence: ""This election is about more than a choice between 2 people. It's a choice between 2…  http://toplocalnow.com/us/charlotte "
2016-10-22,64465376,"Charlotte, NC","45% of Republicans won't accept election outcome if Trump loses, poll reveals Decision2016  http://on.wcnc.com/2etHWPz "
2016-10-22,890029957,,I just voted in my 5th presidential election. #imwithher<Emoji: Flag of United States> @ Morrison Regional Library  https://www.instagram.com/p/BL3elXWBU6z/ 
2016-10-21,455228837,southend.charlotte.nc.us,"Just in time for your election prep, @prairieales Merica, and American Farmhouse. @ Good Bottle Co.  https://www.instagram.com/p/BL1Mfhnh5Vv/ "
2016-10-21,64465376,"Charlotte, NC",Is the 2016 election being treated like a reality show? WCCB @WCCBCharlotte  http://toplocalnow.com/us/charlotte 
2016-10-20,389178208,"Charlotte, NC",Another #campaign2016 stop in #Charlotte. #NC is a popular place this election season. #clt…  https://www.instagram.com/p/BLyjn9Wjbhq/ 
2016-10-19,64465376,"Charlotte, NC",Who won tonight's presidential election debate? http://www.wsoctv.com/news/national-news/ap-top-news/undecided-voters-hope-for-substance-civility-in-last-debate/458874847 …
2016-10-19,64465376,"Charlotte, NC","Trump asked if he'll accept results of election (his running mate and daughter have said they will) ""I will look at…  http://toplocalnow.com/us/charlotte "
2016-10-19,1232155531,"Portland, OR",My first political post of the election season @ Mac's Speed Shop  https://www.instagram.com/p/BLwqgeMgR2p/ 
2016-10-17,739261094687059968,"Johnstown, PA",Your Democratic ticket for this years election! @ Queens University…  https://www.instagram.com/p/BLrbU7XjYruuZNgzb_u24041Mi1ceOVEh-WRtU0/ …
2016-10-17,64465376,"Charlotte, NC",Donald Trump says the election is being rigged by the media pushing for Hillary & at polling places. What do you…  http://toplocalnow.com/us/charlotte 
2016-10-15,64465376,"Charlotte, NC","Trump: Clinton should be in jail, the election is rigged Decision2016  http://on.wcnc.com/2ejiQ1Y "
2016-10-14,64465376,"Charlotte, NC","Election hacking is possible, but won't be easy though. Is this something you're worried about? WCCB @WCCBCharlotte  http://toplocalnow.com/us/charlotte "
2016-10-13,64465376,"Charlotte, NC",Franklin Graham says election is about Supreme Court @ReporterPam  http://toplocalnow.com/us/charlotte 
2016-10-12,2328868448,"Charlotte, NC",#WealthyWednesday The impact of the election on your finances.  http://ow.ly/nMXo3052EeD 
2016-10-04,64465376,"Charlotte, NC",Roy Cooper introducing The First Lady. Says she understands what's at stake in this election. @ReporterPam  http://toplocalnow.com/us/charlotte 
2016-09-30,601290744,"Charlotte, NC","Hey everybody, it's my face and my serious voice. We need to #RockTheVote this election so…  https://www.instagram.com/p/BK-_nF8D3Sn/ "
2016-09-25,2452134079,"Houston, TX","First day of action with my #CLT based #election team, working to TurnOUT North Carolina #voters…  https://www.instagram.com/p/BKy87R_h35g/ "
2016-08-28,64465376,"Charlotte, NC",Gary Johnson: Election cycle is so 'crazy' he may win Decision2016  http://on.wcnc.com/2bYpqKK 
2016-07-30,64465376,"Charlotte, NC",David Mastio: Election 2016 is over. Trump won Decision2016  http://on.wcnc.com/2aj4Kjl 
2016-07-27,64465376,"Charlotte, NC",SC voting records show Charles Jeter did NOT cast ballot in 2004 election. His name mistakenly marked ncpol ncgov…  http://toplocalnow.com/us/charlotte 
2016-07-26,64465376,"Charlotte, NC",NEW: SC Election Commission now pulling voter documents to check Charles Jeter's signature in 2004 election ncpol  http://bit.ly/29VJXB1 
2016-07-23,64465376,"Charlotte, NC",Texas woman's obit cites '2016 election' as cause of death  http://on.wsoctv.com/2ajluH5 
2016-07-20,64465376,"Charlotte, NC","Sen. Richard Burr, at NC delegation breakfast in Cleveland, announces that this is his last election. ncpol…  http://toplocalnow.com/us/charlotte "
2016-07-19,188971443,UnitedStates,"""So mr Turtle, what do think of the candidates this election season?""(Beat)Mr. Turtle has left…  https://www.instagram.com/p/BIDz22Ag6OF/ "
2016-07-10,1319228125,,the purge: election year @ AMC Carolina Pavilion 22  https://www.instagram.com/p/BHtOxWxDarG/ 
2016-06-25,64465376,"Charlotte, NC",Election flashback quizzes: 10 ways to distract yourself from the 2016 race  http://on.wcnc.com/28XzHbM 
2016-06-24,44111701,"GastonCounty, NC, USA","@gastonchamber business2business breakfast with @NCFEF Joe Stewart ""election cycle update""  https://www.swarmapp.com/c/djFRcSI2GoW  pic.twitter.com/iyLmgfVSW4"
2016-06-11,1448990809,,A presidential election I can get behind (one that doesn't exist). Democracy is slapping America…  https://www.instagram.com/p/BGhJJU0FWPw/ 
2016-06-07,381257253,MakingMoves ‼️,"#TalkTuesday: this election is probably our BIGGEST one yet, especially for NC! Make sure you…  https://www.instagram.com/p/BGXDWiKFbY7/ "
