date,user_id,location,tweet
2016-11-06,2871734925,"Savage, MN",Trump Rally 2K16. 2 days before the election. #trump #maverickdrone @ Sun Country Airlines Hangar  https://www.instagram.com/p/BMe9NVtAxa9/ 
2016-11-05,492228992,"NewYork, NY",: I voted in the 2016 US (potentially last) election @ Ramsey County Elections  https://www.instagram.com/p/BMcGpn8hV7L/ 
2016-11-04,70912969,"California, USA","Voted <Emoji: Heavy check mark> if you're worried about making it out to vote on Election Day, check out for your…  https://www.instagram.com/p/BMZtzt9hPwR/ "
2016-11-04,404277045,"Minneapolis, MN",What an interesting election year for my first time voting. <Emoji: Flag of United States> #imwithher #VotoLatino…  https://www.instagram.com/p/BMZqoEzhRw3/ 
2016-11-04,19245146,btwntherez&Mpls...Iwander,CM Frey giving an elections update. Last election we had 15K…  https://www.instagram.com/p/BMZG2uhjbNMdlohZVT-viXO6e_6jLtJxouIxw40/ …
2016-11-03,187345918,followthesmokesignal,Had to get my ish renewed B4 this Bogus election.. slow ass hell in here @ Minneapolis Passport…  https://www.instagram.com/p/BMWuRaDA0u3/ 
2016-11-03,187345918,followthesmokesignal,Had to get my ish renewed B4 this Bogus election.. slow ass hell in here @ Minneapolis Passport…  https://www.instagram.com/p/BMWuGdvgEKZ/ 
2016-11-02,39370851,"Burnsville, MN",Absentee ballot is done. I’ll be watching all of the election drama unfold from Vegas.
2016-10-31,769346382,"Excelsior, MN",Antidote to election mania!<Emoji: Jack-o-lantern>Excelsior Halloween Parade too bad my battery died the kindergarten…  https://www.instagram.com/p/BMPQYTxj0ua/ 
2016-10-31,132699144,"Minneapolis, MN","Training to become an Election Judge! #election2016 @ Northeast, Minneapolis  https://www.instagram.com/p/BMPGLKOAyRq/ "
2016-10-28,14007072,"IowaCity, IA","Ok, who had ""Weiner devices"" in the end-of-election hot button pool?"
2016-10-28,107740369,MinneapolisMN,How fun would election night be with @mlahammer :)?? Wink wink @tptAlmanac ;) #tptAlmanac
2016-10-25,49419767,"Minneapolis, MN","Election rehearsal in the studio tonight, but these two fake/actor political pundits keep…  https://www.instagram.com/p/BMAXxJIAzsr/ "
2016-10-22,318727512,5thStooporNearEarthOrbit?,@InPraiseofMen @Xiane What to Watch on Election Night  https://erikhare.com/2016/10/21/what-to-watch-on-election-night/ … via @wabbitoid
2016-10-22,256598173,minnesota,----very worth it to get to @rivervalleymn this weekend. The beauty of the ridiculous election…  https://www.instagram.com/p/BL4ce7-hngb/ 
2016-10-22,385234125,UnitedStates,"Let our nation rise from the darkness of this election season, ending not-soon-enough… pic.twitter.com/ZrjBrxymWN"
2016-10-22,749765436565123072,"Minnesota, USA","Meeting with somebody local for this year's election (at @Caribou_Coffee in Cottage Grove, MN) https://www.swarmapp.com/c/fXeo7uojmRn "
2016-10-21,107740369,MinneapolisMN,when we talk about fish treaties 18 days we have a big election I feel right at home. Us MNers have priorities. #tptAlmanac
2016-10-21,19720845,"SaintPaul, Minnesota","If you have not read #TrumpBookReports, you are missing the best election year commentary.  Ever."
2016-10-20,17775327,,@aliveesq if someone tells you they didn't vote on this election you can disregard anything they say about politics for years
2016-10-20,25373250,"Minneapolis, MN",I voted. And we got a batch of new @quayaustralia #vote #sunglasses #thenecessities #election @…  https://www.instagram.com/p/BLy7XpRjqeE/ 
2016-10-18,1613842891,"SaintPaul, MN",Got the election blues? Stop by Flirt and forget your troubles<Emoji: Flag of United States> #retailtherapy…  https://www.instagram.com/p/BLtmTV6AldP/ 
2016-10-17,15963740,"Linwood, MN","Music to Alec Baldwin's ears RT @CNN: Donald Trump says SNL part of conspiracy to rig election, should be canceled pic.twitter.com/5Jhs3HafWT"
2016-10-16,611804470,,Smiling because hillaryclinton is going to win the election <Emoji: Smirking face>#sps @…  https://www.instagram.com/p/BLpql1nlC9QeLsSN7Dm2gGW6CbCNKO_OXCI84k0/ …
2016-10-16,14075242,,This election cycle will eventually be a season of House of Cards.
2016-10-10,42178519,773,I am disappointed that General Mills limits their monster cereal election choices this year to…  https://www.instagram.com/p/BLZjrVDgBPp/ 
2016-10-05,153265593,"StPaul, MN","Today is this guys birthday, happy 28th birthday JD! Photo from Rebecca Otto's primary Election…  https://www.instagram.com/p/BLNZYGgga5U/ "
2016-10-04,544824636,Minneapolis,TFW when you just got a degree in political science but none of it is applicable to this election circus pic.twitter.com/N5YwqEZF3e
2016-10-04,35018370,,"New ""X-men Apocalypse"", ""Purge: Election Year"", ""Shallows"" & ""Into the Forest""!Rent 1...  https://www.swarmapp.com/c/2Geu89MAYwW  pic.twitter.com/bwwaZzN83e"
2016-10-03,27584914,"St.Paul, MN",35 days until Election Day ... Now is a good time to have a grand mal seizure at work. It's not…  https://www.instagram.com/p/BLHz8HBjRnH/ 
2016-09-28,18231360,Minnesota,"This is as patriotic as I'm likely to get this election season, which is to say…  https://www.instagram.com/p/BK6t2BFjIWy/ "
2016-09-26,14020902,Minneapolis,I don't need no stinking debates! Voted early in case we get an Election Day  snowstorm or other…  https://www.instagram.com/p/BK1K2EGD35D/ 
2016-09-23,1655528832,"Maplewood, MN",Avoid the long lines on election day and vote starting today at Maplewood City Hall with our absentee voting program. pic.twitter.com/nT3RtRNCKT
2016-09-23,35764917,"Maplewood, MN, USA",Avoid the long lines on election day and vote starting today at Maplewood City Hall with our absentee voting program. pic.twitter.com/VQUiWf2svp
2016-09-21,14692547,"Minneapolis, Minnesota","Civic duty! (Minnesota, they need more election judges. And they pay.) (@ Election Judge Training Center) https://www.swarmapp.com/c/akb081haEnh "
2016-09-15,301693431,"Minneapolis, MN",Taking a break from the stupid election. Watching The Martian  https://www.swarmapp.com/c/eqtfsBtyQfC 
2016-09-14,2444689514,,"#MNGOB endorsed #NOLANWEST who posted, ""IT'S LYNCHING TIME"" during Obama election tried to hide his record of hate. http://www.startribune.com/nolan-west-house-candidate-posts-confederate-flag-calls-lincoln-worst-president-ever/393310071/?utm_campaign=Capitol+View+Daily+Digest+for+September+14%2c+2016&utm_medium=email&utm_source=Eloqua&utm_content=Capitol+View+Daily+Digest+for+September+14%2c+2016&elqTrackId=c73b53fc655d45f8bb8364b8f70bd275&elq=21221ad052d64454b2e2de2dd5921cfc&elqaid=24075&elqat=1&elqCampaignId=21068 …"
2016-09-14,20026534,"Charlotte, NC",Tremendous insight about the presidential election from political analyst Peter D. Hart pic.twitter.com/9Wg6sWq36z
2016-09-11,74543498,MN,We're two months away from the election and to date this is the only presidential sign I've…  https://www.instagram.com/p/BKOrezZBng6/ 
2016-09-05,35282291,"Minneapolis, MN",Mike got a lot of compliments on his awesome #shirt today! #GiantMeteor2016 #Election @asftin73…  https://www.instagram.com/p/BJ_0dt4jQHa/ 
2016-09-02,129847127,"NewYork, NY",Someone's all ready for election season! @ Minnesota State Fair  https://www.instagram.com/p/BJ3fPlJDah4/ 
2016-09-01,277729910,LosAngeles,@TheRock @therock It's Election Season and #sandrademolish is here to win. #futureVO #RTP #RockThePromo…  https://www.instagram.com/p/BJ1jsWmhq1t/ 
2016-08-11,15530583,NorthMinneapolis,Local community member bitter that primary upset winner didn’t kiss his ring before winning the election.
2016-08-09,9276502,"Boston, MA","Election day @ Roseville, Minnesota  https://www.instagram.com/p/BI6tYWTDzTh/ "
2016-08-09,593838883,"Minneapolis, MN","Whether it's 20 circles to fill in or just one, duty calls! Election…  https://www.instagram.com/p/BI5_L2KjjDQwDw2XkuGzZNGLtiuc3WXsA-h3tc0/ …"
2016-08-09,355943189,"Minneapolis, MN",It's primary election day in Minneapolis! Make sure you take some…  https://www.instagram.com/p/BI5JjuUAHYSeQr6Ha-u88VOtrI5psRZOBHOmnw0/ …
2016-08-09,109461676,"Minnesota, USA",Voter #6 in Apple Valley P15 at 8:30am.  And people say this will be a low turnout election.…  https://www.instagram.com/p/BI49NvBAi9F/ 
2016-08-09,54743,"SaintPaul, MN","MN friends, important primary election today. Make sure to check out the MN Supreme Court…  https://www.instagram.com/p/BI44HRoDLVH/ "
2016-08-09,24650230,"MapleGrove, MN","#electionday I'm one of your friendly election judges till 2! (@ Maplebrook Community Center in Brooklyn Park, MN) https://www.swarmapp.com/c/deh071hNTz6 "
2016-08-09,14344297,"StPaul, MN",I got my red sticker. Go get yours. #vote #primary #election #civicduty #everyvotecounts @ Saint…  https://www.instagram.com/p/BI41FSUBWsb/ 
2016-07-20,17275108,"Minneapolis, MN",Hitting the books again for election judging. #election2016 #minneapolis #mpls #mn #minnesota…  https://www.instagram.com/p/BIGdK57jDxF/ 
2016-07-01,529556135,"Minneapolis, MN","@AMCTheatres Are you going to purge? (@ AMC Rosedale 14 - @amctheatres for The Purge: Election Year in Roseville, MN) https://www.swarmapp.com/c/4ofqJBB8C9i "
2016-07-01,190164931,,"@AMCTheatres I'm at AMC Southdale 16 - @amctheatres for The Purge: Election Year in Edina, MN https://www.swarmapp.com/c/ePmxfWvU5c2 "
2016-06-29,267713424,"Minnetonka, Minnesota",First training on Electronic Poll Books as part of Minnetonka Election Judge Training tonight. Nice to work again. pic.twitter.com/SWc6pXRJ5d
2016-06-23,605921534,Minnesota,@Terri_Bonoff keeping us all riveted today at @GrayPlantMooty--good luck to you this election! pic.twitter.com/sljTRhLLXQ
2016-06-20,20868465,"LakeHavasuCity, AZ",1967 Strawberry Moon and Election — Bearish Chart set-ups for the post-BREXIT Patsy Plunge  http://daytraderspeculator.blogspot.com/2016/06/bearish-chart-set-ups-for-post-brexit.html …  http://daytraderspeculator.blogspot.com/ 
2016-06-20,15963740,"Linwood, MN","Best Trump tweet RT @feministabulous “No one knows whats going on"" is basically the slogan for this entire election https://twitter.com/ZekeJMiller/status/744892802740293632 …"
2016-06-07,301693431,"Minneapolis, MN",Watching election results  https://www.swarmapp.com/c/7CbpYr2Lzyy  pic.twitter.com/punUaQyvvQ
2016-05-20,267713424,"Minnetonka, Minnesota",Highlight of my legislative week was in the SOS Office getting info for Nov election judge proclamation #tptalmanac pic.twitter.com/rKvlKyEBXJ
2016-05-18,104723907,"Minnesota, USA",SF3615 [NEW] Special election cycle early termination process establishment  http://bitly.com/23XV2St 
2016-05-17,2866124523,"Minneapolis, MN","#election #vote #voting #hillary #bernie #trump #usa @ Minneapolis, Minnesota  https://www.instagram.com/p/BFhvhB7OIT9/ "
2016-05-13,255550056,"Minneapolis|St.Paul, Minnesota",Election season and #krisnewcomer will get the job done for #Minnetonka #kelicommheadshots…  https://www.instagram.com/p/BFWoboYLc4-/ 
2016-05-06,2306589454,rightnexttoyou,Cheney just join Donald trump. If he wins the election he will go to war if he wins and has this…  https://www.instagram.com/p/BFFXENKGHXL/ 
