date,user_id,location,tweet
2017-05-07,556142859,"Memphis, TN",In honor of the important French election: Fingers crossed for the #frenchelections2017.…  https://www.instagram.com/p/BTzKf3dhED2/ 
2017-04-29,25306115,"Memphis, TN",Sometimes people need emergency election shirts done quick @ Castle…  https://www.instagram.com/p/BTead4mAq46Z9VvD_csjqROH7n6D8keNnrw5180/ …
2017-04-10,991634754,"Hernando, Mississippi",Absentee voting has begun in all of Mississippi cities if they have a primary election on May…  https://www.instagram.com/p/BStpjpaAKNH/ 
2017-04-04,121940784,LosAngeles,"Not all Millennials sat this election out, 22-year old Lilly is in grad school studying biology…  https://www.instagram.com/p/BSdtFpPlQl4/ "
2017-02-05,19785841,"Memphis, Tn","As a friend said, ""First the election and now this - is there anything that Donald Trump can't do?"" #SuperBowl2017"
2017-01-31,109456012,NewOrleans/Memphis,"""@CNBC: Warren Buffett purchased $12 billion of stock since Trump election victory  http://cnb.cx/2knLBQp """
2017-01-24,258546985,"Memphis, TN/Stuttgart, AR",I didn't get the story but didn't he win the election? This is about…  https://www.instagram.com/p/BPqM6KfgxAj8qWyDspUTWhXhC3z_UJBl6NJZnI0/ …
2017-01-19,3098321542,,"Same Trump,small minded,egomaniac,still talking about election.Guess he knows he is Illegitimate,still trying to convince himself and us!"
2017-01-19,3098321542,,"Idiot Trump is still talking about winning the election.He is still a Racist ,talking nonsense at an inaugural event dinner.#Lunatic"
2017-01-13,3098321542,,"""@undercover0000: Election 2016 is illegitimate.  https://twitter.com/addi_james/status/820069091717197824 …"" Trump is Illegitimate!#NotMyPresidentElect"
2017-01-11,3098321542,,"""@peterdaou: Hillary is further vindicated with each passing minute of this entire post-election crap-show."""
2017-01-05,109456012,NewOrleans/Memphis,"""@darrenrovell: NFL TV viewership down 8% in 2016 compared to last season, following post-election recovery  http://es.pn/2iMkzS6 "" <Emoji: Television>"
2017-01-05,109456012,NewOrleans/Memphis,#Russia is getting accused of hacking/interfering w/ the Election...just drop the proof and be done w/ it
2016-12-03,750834216,"PHX, AZ-USA",weren't all these outspoken actors supposed to leave the country after #Trump's election? or just like those who would leave after #Obama's?
2016-11-17,408182282,"Memphis, TN",This article exposes the commoditization of minorities through education. Trump's election may (cont)  http://tl.gd/nn58bq 
2016-11-17,251415423,"Memphis, TN",This article exposes the commoditization of minorities through education. Trump's election may (cont)  http://tl.gd/nn58bq 
2016-11-17,18690723,"Nashville, UnitedStates",This article exposes the commoditization of minorities through education. Trump's election may (cont)  http://tl.gd/nn58bq 
2016-11-13,109456012,NewOrleans/Memphis,"""@CBSNews: Tampa Bay receiver Mike Evans sits for anthem to protest Trump election  http://cbsn.ws/2eVO5C5 "" #CHIvsTB"
2016-11-13,109456012,NewOrleans/Memphis,"""@MONEY: What Trump’s election means for college students and parents  http://money.us/2fow9k7 """
2016-11-13,123386496,"ÜT:35.041514, -89.698761",Verse of the Day 1 Peter 2:17 ... Post Election Truths... I like your timing God... I  Hear ya…  https://www.instagram.com/p/BMwXPPnDHWR/ 
2016-11-11,109456012,NewOrleans/Memphis,"""@CNNMoney: More than 12 million viewers flocked to @FoxNews during prime time on Election Day  http://cnnmon.ie/2fikuTT  Via @CNNent"""
2016-11-10,2177228495,,"I mean, if this true, why did it not go wild before the election? pic.twitter.com/zGrJOwZ5qT"
2016-11-10,109456012,NewOrleans/Memphis,#Trump really won this Election Guys...
2016-11-09,2471214570,,Election is over... let's get back to trucking!! I still need..- lowered- stretched- frame…  https://www.instagram.com/p/BMna7dHgqmU/ 
2016-11-09,2983736634,"Memphis, TN",#medicalcannabis and #recreationalcannabis are the one good thing to come out of this #election…  https://www.instagram.com/p/BMmP92PhALV/ 
2016-11-09,254145353,"Memphis, TN",Attention working writers! Join us for a special post-election recovery edition of Working…  https://www.instagram.com/p/BMmOexwAhQl/ 
2016-11-09,50922610,"Memphis, TN",My baby girl Briana is not so happy.  She was engaged throughout this election  process and I…  https://www.instagram.com/p/BMmHudBAQIO/ 
2016-11-09,109456012,NewOrleans/Memphis,The #Russians being happy about this Election has me worried about this...
2016-11-09,251415423,"Memphis, TN",Y'all have no idea what this election says! What does it say about the church/ evangelicals that supported Trump immorality?
2016-11-09,18690723,"Nashville, UnitedStates",Y'all have no idea what this election says! What does it say about the church/ evangelicals that supported Trump immorality?
2016-11-09,109456012,NewOrleans/Memphis,"""@MONEY: Fleeing the Election, people are searching for homes in Canada  http://money.us/2feaQBE """
2016-11-08,85389017,"Memphis, TN",Happy Election Day! @ Veritas College Preparatory Charter School  https://www.instagram.com/p/BMkRfkOhj8O/ 
2016-11-08,41290870,overthere,"First time voting in the presidential election (@ Word Of Life SDA in Memphis, TN)  https://www.swarmapp.com/c/55XnVHtFQ2R "
2016-11-08,2885044209,910-1WestPoplarAve,Election Day at On Tap Growlers! Come vote for your personal beer of the day and get $5.00 off…  https://www.instagram.com/p/BMkD_HTAUTE/ 
2016-11-08,1927790875,"Germantown, TN",It's Election Day! Don't forget to go out and vote. When you are done voting for our next…  https://www.instagram.com/p/BMj3PrTAf17/ 
2016-11-08,55593392,"Memphis, Tennessee",White for Election Day. #nastywoman #pantsuit #wearwhitetovote #imwithher #strongertogether…  https://www.instagram.com/p/BMj0EUnlMJC/ 
2016-11-08,65240750,"Memphis, TN",We VOTED! Happy Election Day ya'll! #johnandkea #election2016 #votetennessee @ St. Luke Lutheran…  https://www.instagram.com/p/BMjnAjlDNvs/ 
2016-11-08,54702627,Memphis,I think you meant: Election https://twitter.com/ktfuntweets/statuses/795944341625782272 …
2016-11-08,363721122,"Memphis, Tennessee","Today is ELECTION DAY! After you vote, show your ""I Voted"" sticker at A Fitting Place and…  https://www.instagram.com/p/BMjVBvpA0L2/ "
2016-11-08,15050951,"Memphis, TN",When you awake at 3:30 am  on Election Day 2016. So much love for President Obama potus…  https://www.instagram.com/p/BMi2QSfglgu/ 
2016-11-07,36710856,"Memphis, Tennessee",@realDonaldTrump ~  Praying that you win this election & make American Great Again !!!
2016-11-06,3098321542,,"@DailyNewsBin On eve of election, Pope Francis urges Americans to reject Donald Trump  http://www.dailynewsbin.com/?p=26538  via @dailynewsbin"
2016-11-06,84592774,"Memphis, TN","Election day is just 48 hours away and we want everyone to know that no matter what, #GodWins!…  https://www.instagram.com/p/BMeNVpHDRbz/ "
2016-11-04,96245212,"Memphis, TN","I voted! Did you?! Go vote on Tuesday!!! @ Shelby County, TN Election Commission  https://www.instagram.com/p/BMZb7hdg9rK/ "
2016-11-03,15532687,"Clevand, MS",Im pretty glad my show on the 8th is a house show so ppl won't be glued to election coverage on bar TVs
2016-11-01,85389017,"Memphis, TN",It's (Mock) Election Day at VCP! Scholars cast their votes at lunch today in the Tennessee…  https://www.instagram.com/p/BMRzUXqh8Ur/ 
2016-11-01,109456012,NewOrleans/Memphis,7days until this Election Circus ends...
2016-10-28,585297812,"Memphis, TN","Election Season the Collegiate Way! Our scholars were polled on important political topics,…  https://www.instagram.com/p/BMHyUwBjNQg/ "
2016-10-25,403710553,"Collierville, TN",Our new yard sign accurately explains how the Dedmon household feels this election. @…  https://www.instagram.com/p/BL_7Kh6D6Ht/ 
2016-10-25,408182282,"Memphis, TN",DA: Justin Timberlake's selfie may have broken election laws - I thought you might be interested in (cont)  http://tl.gd/nn2483 
2016-10-25,251415423,"Memphis, TN",DA: Justin Timberlake's selfie may have broken election laws - I thought you might be interested in (cont)  http://tl.gd/nn2483 
2016-10-25,18690723,"Nashville, UnitedStates",DA: Justin Timberlake's selfie may have broken election laws - I thought you might be interested in (cont)  http://tl.gd/nn2483 
2016-10-24,263856531,Eyeamallover!,I have voted in every election and actually was going to exercise my right NOT to vote in this…  https://www.instagram.com/p/BL9siVYgj45/ 
2016-10-23,3098321542,,"@am @AM Joy thank you for truth on NAFTA,that George Bush,initiated the deal in,1992,in Oct.before he lost election to Clinton.Congress approved"
2016-10-20,3098321542,,"Trump,said he will not contest the election""If I Win"".This is a vile man,accusing Hillary of Voter Fraud,& causing disruption at his rally!"
2016-10-20,3098321542,,"Joe Scarborough/ Morning Joe,you are an idiot,this is not a joke!You know what Trump said about not accepting the election results.Get Real!"
2016-10-19,3098321542,,"""@jheil: Trump's refusal to say he will accept the results of the election is, in the truest sense of an overused word, disqualifying."""
2016-10-19,109456012,NewOrleans/Memphis,How is Clinton saying the election isn't rigged when she and @RepDWStweets Manipulated and Rigged the #DNC Primaries #DebateNight #Debate
2016-10-19,3098321542,,"Here we go,Trump is going to contest the election.This idiot is dangerous!He Is off the rails again! Total meltdown coming in seconds!"
2016-10-18,3098321542,,"""@colinjones: President Obama on Trump claiming the election is rigged: ""I'd invite Mr. Trump to stop whining""  pic.twitter.com/Rv9CP3WPkV"""
2016-10-17,3098321542,,"Darrell Issa, Obama antagonist and Trump booster, faces toughest election of his life  http://www.huffingtonpost.com/entry/darrell-issa-doug-applegate-trump_us_58038d74e4b06e04759557c5?ncid=engmodushpmg00000004 … via @HuffPostPol"
2016-10-16,3098321542,," http://Will.I.AM . on AM Joy ,talking about the election,had me in tears.He is so passionate about Hillary being POTUS,not Trump!"
2016-10-15,27369699,"Chicago, IL",Tell me again how you're not voting in this election??? @ National Civil Rights Museum  https://www.instagram.com/p/BLluwjllvwP/ 
2016-10-11,275853856,UnivofMississippi,Had to document participating in my very first Presidential election…  https://www.instagram.com/p/BLb6qTogBAHT68JNf2DcwHcgjyB1eTPdUd0IRk0/ …
