date,user_id,location,tweet
2017-05-07,153373827,Lagos|Nigeria,regram @COREDJSAFRICACongratulations to President Emmanuel Macron on his election as President…  https://www.instagram.com/p/BTzT-ltDCNz/ 
2017-05-07,23725418,Atlanta/Africa,"Congratulations to President Emmanuel Macron on his election as President of France, and most…  https://www.instagram.com/p/BTzTuJrh3Hn/ "
2017-05-06,319068176,"DeKalbCounty, Ga",Out here in Cobb County canvassing for the run off election in Senate District 32 for Christine…  https://www.instagram.com/p/BTwdPQ0Abor/ 
2017-05-06,859487190,,"Jon Ossoff press conference. Get out there and #Flipthe6th! Voting Georgia runoff election, are…  https://www.instagram.com/p/BTwaoonDJmg/ "
2017-05-05,104721974,"Georgia, USA",HB380 [Passed] Echols County; board of education; revise districts for election of members http://bitly.com/ZfUO9z 
2017-05-05,104721974,"Georgia, USA","HB349 [Passed] Grantville, City of; election and terms of office for mayor and councilmembers from Posts 1 and 2;... http://bitly.com/Z0ecHm "
2017-05-04,275129652,,"I'm at Dekalb Voter Registration And Election Office in Avondale Estates, GA https://www.swarmapp.com/c/56YfohT0Zyd "
2017-04-29,859487190,,It's been a tough road and I'm finally ready to post these videos. This election definitely did…  https://www.instagram.com/p/BTe_nGRD8mV/ 
2017-04-29,859487190,,"During the election season I paid close attention to the ""The View"" tv show. I'm absolutely in…  https://www.instagram.com/p/BTeNF6RDAQa/ "
2017-04-29,859487190,,"During the election season I paid close attention to the ""The View"" tv show. I'm absolutely in…  https://www.instagram.com/p/BTeM8QED_wF/ "
2017-04-29,859487190,,"During the election season I paid close attention to the ""The View"" tv show. I'm absolutely in…  https://www.instagram.com/p/BTeMv8ojKbY/ "
2017-04-29,859487190,,"During the election season I paid close attention to the ""The View"" tv show. I'm absolutely in…  https://www.instagram.com/p/BTeMhG4D8g1/ "
2017-04-29,859487190,,"During the election season I paid close attention to the ""The View"" tv show. I'm absolutely in…  https://www.instagram.com/p/BTeFTkcjTgz/ "
2017-04-27,17069908,"Atlanta, GA",Do your homework before Election Day on June 20th! #flipthe6th #atlanta #voteyourossoff…  https://www.instagram.com/p/BTZfFV2F6FI/ 
2017-04-27,859487190,,It's been a tough road and I'm finally ready to post these videos. This election definitely did…  https://www.instagram.com/p/BTYkut7jIX9/ 
2017-04-27,859487190,,It's been a tough road and I'm finally ready to post these videos. This election definitely did…  https://www.instagram.com/p/BTYkYoXjV64/ 
2017-04-27,859487190,,It's been a tough road and I'm finally ready to post these videos. This election definitely did…  https://www.instagram.com/p/BTYkIc4D_2c/ 
2017-04-27,859487190,,It's been a tough road and I'm finally ready to post these videos. This election definitely did…  https://www.instagram.com/p/BTYj8zeDgYc/ 
2017-04-27,859487190,,It's been a tough road and I'm finally ready to post these videos. This election definitely did…  https://www.instagram.com/p/BTYjrJ2jgWY/ 
2017-04-27,859487190,,It's been a tough road and I'm finally ready to post these videos. This election definitely did…  https://www.instagram.com/p/BTYjew7Dyfq/ 
2017-04-26,859487190,,It's been a tough road and I'm finally ready to post these videos. This election definitely did…  https://www.instagram.com/p/BTYPNoejEwy/ 
2017-04-18,21549241,"Atlanta, Georgia",Shenanigans at polls all day in Roswell & Sandy Springs Fulton County GA Republicans Running Scared Stealing Election 2nite @zbuckner #GA06
2017-04-18,487727825,Atlanta,The crowd at the Jon #ossoff election party scream #flipthe6th #flipthesixth after the speech by…  https://www.instagram.com/p/BTDOGW8AawB/ 
