date,user_id,location,tweet
2017-05-03,104704395,"Colorado, USA",SB305 [NEW] Primary Election Clean-up http://bitly.com/2p0ddyb 
2017-05-01,22223902,"GaltsGulch, Colorado",Victor Davis Hanson – The Mythologies of the 2016 Election  http://jennyhatch.com/2017/05/01/victor-davis-hanson-the-mythologies-of-the-2016-election … pic.twitter.com/CMn0INCpM2
2017-04-18,18905287,"Denver, CO",Colorado gun sales are rising again after a post-Trump election drop http://dpo.st/2oJMNNC 
2017-04-18,70381121,"Denver, CO",Britain’s prime minister to seek early election on June 8 http://dpo.st/2pwTDWR 
2017-04-15,16307513,"Denver, CO","Wrapping up a whole bunch of Tahosa Lodge election work, powered by coffee! (@ Two Rivers Craft Coffee Company) https://www.swarmapp.com/c/jIOCMUFgTKM "
2017-04-03,70381121,"Denver, CO",U-N Ambassador NikkiHaley says no doubt Russia interfered in U-S election. Says we'll take action after…  http://toplocalnow.com/us/denver/at/4 
2017-03-20,70381121,"Denver, CO",The FBI confirms they are investigating Russia's efforts to interfere in the election...9newsmornings  http://toplocalnow.com/us/denver/at/8 
2017-03-16,104704395,"Colorado, USA",HB1014 [Passed] Election Offenses Committed By A Voter http://bitly.com/WBFEaX 
2017-03-15,104704395,"Colorado, USA",SB020 [Passed] Fire and Police Pension Association Statewide Plan Election Approval Standard http://bitly.com/SkUVSu 
2017-03-12,70381121,"Denver, CO","Men’s negotiating styles toward women more aggressive after election, study shows  http://toplocalnow.com/us/denver/at/3 "
2017-03-11,3150514242,"Colorado, USA","After a long exhausting election, congratulations to the new leaders…  https://www.instagram.com/p/BRhDo5KgB4OBTeNfIH0HblP56qpNHRV6FP8ZVA0/ …"
2017-03-02,104704395,"Colorado, USA",SB020 [Enroll] Fire and Police Pension Association Statewide Plan Election Approval Standard http://bitly.com/SkUVSu 
2017-02-27,70381121,"Denver, CO","Most taxpayers will never pay $10,000 in flights for an overseas trip, but in the year prior to the 2016 election,……  https://twitter.com/i/web/status/836300942144225280 …"
2017-02-26,18905287,"Denver, CO",Colorado mountain real estate market slightly down in 2016 on election cycle blues  http://dpo.st/2lTMfFD  pic.twitter.com/vLnXXT0piD
2017-02-25,1260260022,"Centennial, CO",Top Republican says special prosecutor should investigate Russian meddling in Trump’s election -The Washington Post  https://apple.news/AcVHx48K4RYaMYeJAbvkidQ …
2017-02-24,22223902,"GaltsGulch, Colorado",Mormon Mommy Bloggers virtue signaling about the election  http://jennyhatch.com/2017/02/24/mormon-mommy-bloggers-virtue-signaling-about-the-election … pic.twitter.com/kve07ewwMp
2017-02-22,18905287,"Denver, CO","The CEOs of Goldman Sachs, JPMorgan are worth $261 million more since the election  http://dpo.st/2l8z5By  pic.twitter.com/FFiZuyNmhY"
2017-02-07,70381121,"Denver, CO","As Trump fears fraud, GOP eliminates election commission  http://dpo.st/2jZYdsR "
2017-02-07,70381121,"Denver, CO",Vance Joseph starts coordinator press conference by congratulating Terrell Davis for election to Hall of Fame.…  http://toplocalnow.com/us/denver 
2017-02-04,70381121,"Denver, CO",CONGRATULATIONS Terrell Davis on your Pro Football Hall of Fame election! per Mike Klis 9Sports  http://toplocalnow.com/us/denver 
2017-02-04,70381121,"Denver, CO",Hall of Fame travesty: Bowlen not up for election via 9NEWS Denver 9sports  http://toplocalnow.com/us/denver 
2017-02-02,104704395,"Colorado, USA",SB020 [Engross] Fire and Police Pension Association Statewide Plan Election Approval Standard http://bitly.com/SkUVSu 
2017-02-01,70381121,"Denver, CO",Emily Griffith School sees influx of volunteer applications after the election http://dpo.st/2jER4hu 
2017-02-01,70381121,"Denver, CO",Hillary Clinton is working on a new book that will reflect on the 2016 presidential election.  http://bit.ly/2jw4alM 
2017-01-31,104704395,"Colorado, USA",SB138 [NEW] Election Watchers http://bitly.com/Wenpgr 
2017-01-31,104704395,"Colorado, USA",HB1014 [Engross] Election Offenses Committed By A Voter http://bitly.com/WBFEaX 
2017-01-25,70381121,"Denver, CO","The Dow Jones Industrial Average has soared since the election —and today crossed 20,000 for the first time:…  https://twitter.com/i/web/status/824312130711080960 …"
2017-01-21,77000840,"Boulder, Colorado","This ""election"" sponsored by Vladimir Putin. #womensmarch #america #feminism #female #girls…  https://www.instagram.com/p/BPi1Fc2F5ua/ "
2017-01-21,70381121,"Denver, CO","Woman accused of forging signatures on Denver-area election petitions gets probation, community service -…  https://twitter.com/i/web/status/822730455132897280 …"
2017-01-20,70381121,"Denver, CO",Woman accused of forging signatures on Denver-area election petitions gets probation by Jesse Aaron Paul http://dpo.st/2jgZe01 
2017-01-20,545148379,"Denver, CO","“May the election of Trump bring forth the fiercest, smartest, toughest generation of…  https://www.instagram.com/p/BPf6quLjj-D/ "
2017-01-18,454260445,"Boulder, CO, USA","Maps of the changing US diversity. In the context of the election, note low diversity areas with big increases.  http://ow.ly/qZdF307S1C0 "
2017-01-17,454260445,"Boulder, CO, USA","For those who think that the election was a simple triumph of bigotry, a fuller explanation worth considering.  http://ow.ly/4p20307S1wr "
2017-01-14,104704395,"Colorado, USA",SB071 [NEW] Voter Service And Polling Centers Early Voting General Election http://bitly.com/XWpxI8 
2017-01-12,104704395,"Colorado, USA",HB1014 [NEW] Election Offenses Committed By A Voter http://bitly.com/WBFEaX 
2017-01-12,104704395,"Colorado, USA",SB020 [NEW] Fire and Police Pension Association Statewide Plan Election Approval Standard http://bitly.com/SkUVSu 
2017-01-10,231485707,"Boulder, Colorado","8 years ago Election Night. Thank You Mr. President for all the dignity, grace, and respect you…  https://www.instagram.com/p/BPHAMB7gt9b/ "
2017-01-10,454260445,"Boulder, CO, USA","Now that we know that Russia tried to influence the election, this site provides examples of what they did.  http://ow.ly/dpSH307RXWE "
2017-01-10,454260445,"Boulder, CO, USA","This RAND report explains the strategy Russia used to influence the election; ""firehose of falsehood"" propaganda.  http://ow.ly/wgAi307RXGp "
2017-01-07,70381121,"Denver, CO",U.S. intelligence agencies: Putin ordered intervention in presidential election  http://dpo.st/2jdJlaf 
2017-01-06,70381121,"Denver, CO",U.S. intelligence agencies: Putin ordered intervention in presidential election  http://dpo.st/2jkRTjD 
2017-01-05,70381121,"Denver, CO","No doubt Russia interfered in election, US intel chief says  http://dpo.st/2jf2Fb5 "
2016-12-21,70381121,"Denver, CO",Recent victims of hate-graffiti post-Trump election feel vulnerable - and scared.  http://www.westword.com/news/six-examples-of-hate-crimes-in-denver-since-the-presidential-election-8545358 …
2016-12-21,70381121,"Denver, CO",Six Examples of Hate Crimes in Denver Since the Presidential Election (PHOTOS)  http://www.westword.com/news/six-examples-of-hate-crimes-in-denver-since-the-presidential-election-8545358 …
2016-12-09,70381121,"Denver, CO",Colorado election results certified. 2.86M ballots cast; 3.84M registered voters. Turnout 74.46%. HC: 48.1% DT:…  http://toplocalnow.com/us/denver 
2016-12-06,70381121,"Denver, CO",Google looks for ‘conservative outreach’ manager after Trump election win http://dpo.st/2g30ypH 
2016-12-05,18905287,"Denver, CO",Google looks for ‘conservative outreach’ manager after Trump election win  http://dpo.st/2g30ypH  pic.twitter.com/m1tViNHmHQ
2016-12-03,70381121,"Denver, CO",Green Party drops court case seeking statewide recount of Pennsylvania's Nov. 8 presidential election. - The…  http://toplocalnow.com/us/denver 
2016-12-03,454260445,"Boulder, CO, USA","In this lengthy article on the election, George Lakoff, updates his excellent analysis of US po  http://ow.ly/n7xt306IOXZ  litical conflict."
2016-12-02,454260445,"Boulder, CO, USA",A persuasive argument for paying more attention to the election's most alarming story: Russian involvement.  http://ow.ly/2974306IOEQ 
2016-12-01,70381121,"Denver, CO",Poll shows Obamacare started looking a lot better after the election  http://dpo.st/2gNyu6P 
2016-12-01,18905287,"Denver, CO",Poll shows Obamacare started looking a lot better after the election  http://dpo.st/2gNyu6P  pic.twitter.com/wTJZy7NbXK
2016-12-01,70381121,"Denver, CO","Post-election hate speech, crime continue with second attack in Aurora by Bruce Finley  http://dpo.st/2gHCdFs "
2016-11-30,70381121,"Denver, CO","Post-election hate speech, crime continue with second attack in Aurora http://dpo.st/2gKaEJp "
2016-11-27,796890662406864896,"Denver, CO","￼Barely one month after the election, #Hillary Clinton still can’t get over her loss."
2016-11-26,8225542,"Louisville, CO",@LatriceRoyale I love @latriceroyale so much; her speech about finding joy even after the election gave me…  https://www.instagram.com/p/BNTScsWDUld/ 
2016-11-26,23458597,"Boulder, CO","Ho ho ho, the election was stolen but not the Holiday. The tree <Emoji: Evergreen tree> yet another year at the…  https://www.instagram.com/p/BNSP6s5jcMV/ "
2016-11-24,2800532709,"Denver, CO",Denver election protests .  Giving out voice to inclusion @ Denver's Civic Center Park  https://www.instagram.com/p/BNNwlwUAxjv/ 
2016-11-22,1568674298,"Parker, CO",Post-Election Spiritual Practices: Leave   http://www.dougresler.com/main-blog/2016/11/22/post-election-spiritual-practices-leave …
2016-11-19,70381121,"Denver, CO",Debate over ‘Hamilton’ speech underscores yet again the fractious aftermath of the 2016 election  http://dpo.st/2g8ic8o 
2016-11-19,15990298,"Denver, CO","@denverlibrary Election for ""president of the children's section"" at our @DenverLibrary branch. #ImWithHer(mione) pic.twitter.com/5VhPy7KUS8"
2016-11-19,3146836773,"Denver, CO",Drinking an American Election Black Eye PA by @BoBonBroadway @ The BOB The Brew On Broadway —  http://untp.beer/s/c384502389 
2016-11-18,18905287,"Denver, CO",Colorado hiring kept pace despite volatile election  http://dpo.st/2gscyl5  pic.twitter.com/5xhajf7Qrh
2016-11-18,454260445,"Boulder, CO, USA","From Thomas Edsall, a comprehensive and authoritative summary of how the election was decided. http://ow.ly/5dwb3069Qup "
2016-11-17,18905287,"Denver, CO","Sorry Trump, New York Times says subscriptions rose since election  http://dpo.st/2fJJ8L5  pic.twitter.com/rAJoKOZCVZ"
2016-11-17,1967659891,"Denver, CO","Learning about what election results mean for business this morning from one of my favorites,…  https://www.instagram.com/p/BM6nn4kj65R/ "
2016-11-15,796890662406864896,"Denver, CO","The spreading of false information during the election cycle was so bad that President Obama called Facebook a ""dust cloud of nonsense."" pic.twitter.com/I0HhyVJhrs"
2016-11-15,22223902,"GaltsGulch, Colorado",Election blowback – or Leftists unhinged  https://naturalfamilyblog.wordpress.com/2016/11/15/election-blowback-or-leftists-unhinged …
2016-11-15,13966732,"Boulder, CO",Just watched @FLOTUS on Colbert and it's the first time I've laughed that hard since the election.
2016-11-14,628842564,Colorado,From a book of poems from 1941. Seemed a perfect sentiment for #2016 election. #love #poetry @…  https://www.instagram.com/p/BM0TKweBQlP/ 
2016-11-14,70381121,"Denver, CO",JUST IN: Denver’s social marijuana use likely to pass with updated election results Monday copolitics  http://dpo.st/2g9Lnf1 
2016-11-14,18905287,"Denver, CO",Google’s top news link for “final election results” goes to a fake news site with false numbers  http://dpo.st/2g8yWzV  pic.twitter.com/aIpFXHgJ0V
2016-11-14,89605265,"Denver, CO",election night blues @ Denver's Union Station  https://www.instagram.com/p/BMlAS1Kj6jeben3q6P7wBSMdOVDMyLkyrRFF2U0/ …
2016-11-14,70381121,"Denver, CO",STATS ARE STOOPID: Broncos have won their 1st game following a presidential election 12 times in a row dating back…  http://toplocalnow.com/us/denver 
2016-11-13,70381121,"Denver, CO",Hundreds gather in Denver's Civic Center to spread love after the election by Danika Worthington  http://dpo.st/2fL3V1c 
2016-11-12,70381121,"Denver, CO",Hundreds have packed into a park in Fort Collins to protest Donald Trump's election to president. Protest has been…  https://twitter.com/i/web/status/797569512912617472 …
2016-11-12,72013,"39.686776, -104.985659",Black like my heart. #drinkingWithMyDogs... (American Election Black Eye PA)  http://untp.beer/s/c382303704  #photo
2016-11-12,3028191076,"Denver, Colorado",#DnvrLostFound Found iPad (Illegal Pete's): Hello! I found an iPad on election night at Illegal Pete's on Colfax. I…  http://denver.craigslist.org/laf/5873066610.html …
2016-11-12,70381121,"Denver, CO",Local psychologist gives advice on how to heal from a deeply divisive election  http://dpo.st/2fsHI7B 
2016-11-12,70381121,"Denver, CO",Schools report racist incidents in wake of Donald Trump election http://dpo.st/2fsGGIy 
2016-11-12,23989272,CoasttoCoast,You wanna here what folks think about the election? Come here for breakfast! #ThisIsAmerica #MAGA #FamilyFirst... https://www.swarmapp.com/c/bR6IGNPLEs7 
2016-11-11,429695311,thepleiades,"I can’t believe they actually are letting college students, ADULTS, skip exams because of election results like fucking DEAL WITH IT!!!"
2016-11-11,241745370,"Seattle, WA",Im not for trump but I'm against Hillary and protesting a democratic (kinda) election @ Team…  https://www.instagram.com/p/BMsZlt8h-rI/ 
2016-11-11,19093936,"Denver, Colorado","Thousands took to Denver streets last night to protest Trump's election. Here, peaceful…  https://www.instagram.com/p/BMrwnowF8q0/ "
2016-11-11,70381121,"Denver, CO",Thousands march in Denver to protest election of Donald Trump copolitics  http://dpo.st/2fGBvrL 
2016-11-10,3044913372,,"Maybe protesting after an election seems fruitless, but boy did it feel GOOD!I am a voice and…  https://www.instagram.com/p/BMqIhaIgAqP/ "
2016-11-10,18905287,"Denver, CO",Affordable Care Act enrollment surges following Donald Trump election  http://dpo.st/2fVYkc8  pic.twitter.com/Zep2GKnDo1
2016-11-10,5640632,"Philadelphia, PA",We reject the president elect. #denver #election #dumptrump #whitesilenceisviolence @ Denver's…  https://www.instagram.com/p/BMpzpP8Bvdh/ 
2016-11-10,10431162,Denver&Boulder,Obamacare sign ups surge after election  http://money.cnn.com/2016/11/10/news/economy/obamacare-sign-ups-trump/index.html …
2016-11-10,14355125,DenverColorado,Office Workout of the Day - some post-election #punchtimeatlunchtime with h1rod #peekaboo…  https://www.instagram.com/p/BMo2HMHh30N/ 
2016-11-09,26814090,"KenCaryl, CO",@Entrepreneur Leaders and Entrepreneurs Encourage Unity After Election  http://dlvr.it/MdNSmX  #PresidentialElections via @entrepreneur pic.twitter.com/3AMidbmAx0
2016-11-09,32686772,Worldwide,How I'm feeling about the election...regrann from @iamnaymarie  -  #MoodAF...Prince always…  https://www.instagram.com/p/BMnjjbFBMLC/ 
2016-11-09,991488379,"2119LarimerSt.Denver, CO",Feeling pain after the election? Stop in for some @apothecanna topicals on SALE for 20% off!!…  https://www.instagram.com/p/BMnHbvEBv7B/ 
2016-11-09,1252107668,"902S.Lipanst.Denver, CO",Well the election is over and now we can all get back to enjoying our lives and being positive.…  https://www.instagram.com/p/BMm43v1BjgT/ 
2016-11-09,110771660,"USA(HomeBase:Boulder, CO)",Let's celebrate the end of this ridiculous election!  We will be throwing back some beers and…  https://www.instagram.com/p/BMm1UqxjdXH/ 
2016-11-09,26814090,"KenCaryl, CO",@Entrepreneur 7 Unexpected Winners and Losers From the Election  http://dlvr.it/MdFyKR  #Technology via @entrepreneur pic.twitter.com/XXBod68W60
2016-11-09,70381121,"Denver, CO",Boulder High School students walk out in protest over presidential election results - http://via.kdvr.com/uh4M1 
2016-11-09,18905287,"Denver, CO","The story of America’s post-election grief, as told through Google searches  http://dpo.st/2fD3Cbc  pic.twitter.com/MX1aGBYZ0d"
2016-11-09,21717031,"FortCollins, CO",Everyone at school is talking about the fucking election
2016-11-09,47407544,"Denver, Colorado",The election is over. Time to get Rowdy in these badass handmade leather boots!…  https://www.instagram.com/p/BMmEpA8A6-z/ 
2016-11-09,70381121,"Denver, CO",World gasps in collective disbelief following DonaldTrump's election Election2016  http://dpo.st/2fy5D5O 
2016-11-09,70381121,"Denver, CO",Donald Trump posts first tweet since winning presidential election 9newsmornings http://on9news.tv/2fCeK8i 
2016-11-09,70381121,"Denver, CO",Markets plunge worldwide as DonaldTrump shows surprising strength in presidential election  https://twitter.com/i/web/status/796261047233429505 …
2016-11-09,2229127904,somewhere,"this election divided the people even more ,"
2016-11-09,17081305,"Denver, CO","Despite how this election circus went down last night, these ladies I love!!!…  https://www.instagram.com/p/BMloZXuh9OA/ "
2016-11-09,440414980,Lawrence,so @BernieSanders can you run again for next election please for the sake of humanity & our world <Emoji: Earth globe americas><Emoji: Green heart><Emoji: Sparkles><Emoji: Person with folded hands>
2016-11-08,911661517,"Colorado, USA","Casted my vote a couple weeks ago, but can't hide my excitement on this fine Election Day!! I'm…  https://www.instagram.com/p/BMkVZIsANjo/ "
2016-11-08,48254813,Colorado,"Election Day, my friends! Make your vote count!I just spent the afternoon volunteering for the…  https://www.instagram.com/p/BMkR7oxhu_j/ "
2016-11-08,1583974548,Colorado,"This Election Day, vote for a great American...IPA. Also remember that our voting booth doesn't…  https://www.instagram.com/p/BMkL1XgBj7S/ "
2016-11-08,23680387,"Albuquerque, NM",Anybody who knows me knows that this was the toughest election decision I could have ever made.…  https://www.instagram.com/p/BMkH4IMBXWS/ 
2016-11-08,330672046,,Did this election give you stress? Let us take care of that! Enjoy a politic free zone! Schedule…  https://www.instagram.com/p/BMkFSOXFYPu/ 
2016-11-08,434770421,"Louisville, Colorado",It's Election Day and we're guessing everyone is going to need a beer! So we're running a happy…  https://www.instagram.com/p/BMkCYDpgSdx/ 
2016-11-08,2884161,"Boulder, CO","No better place to calm the nerves on Election Day. (@ Trident Booksellers & Cafe in Boulder, CO)  https://www.swarmapp.com/c/e48wPQeJ7L7 "
2016-11-08,983609827,2554S.BroadwayDenver80210,For those of you who do not want to watch the horror unfold on election day… Come in for a glass…  https://www.instagram.com/p/BMj8MQ3hwSI/ 
2016-11-08,1027767343,"Denver, CO","""SLINGIN HASH""FIGHT ELECTION DAY ANXIETY WITH LAUGHTERMy overloaded schedule prevented me…  https://www.instagram.com/p/BMj6tkNABYL/ "
2016-11-08,223730189,"Denver, CO","Getting our minds right and avoiding all this election anxiety with tacos, of course.…  https://www.instagram.com/p/BMj36fkAyAz/ "
2016-11-08,17226057,"Denver, CO","If you are getting all stressed about the #election, allow me to present #Roland in his doggie…  https://www.instagram.com/p/BMj2ofMBIRm/ "
2016-11-08,770922379,Worldwide,"And, the wife's wardrobe for Election Day Drama... #itsallgonnabeokay #sayitwithme #ufy…  https://www.instagram.com/p/BMjy_ULjJuu/ "
2016-11-08,3314603287,"Westminster, CO",@TwentyBrew Come watch The Election and All day Tuesday is $1.00 off all full pours @twentybrew. You'll need…  https://www.instagram.com/p/BMjxsEch7G3/ 
2016-11-08,1732645825,"Denver, CO","The election is stressful, so let us distract you with BOOBIES! Tomorrow is the very last day to…  https://www.instagram.com/p/BMjv05TDPV6/ "
2016-11-08,19050702,"Boulder, CO","I'm going to put some good shmear on my bagel to make it through Election Day. (@ Moe's Bagels in Boulder, CO)  https://www.swarmapp.com/c/9AaOptil1Jq "
2016-11-08,45901705,"Edgewater, CO",Has this Election season left you feeling a little blue? Then come try our So Fresh and So Cream…  https://www.instagram.com/p/BMjtjONBtkM/ 
2016-11-08,41248405,"Denver, CO",@IvancarrilloTV It's Election Day- don't miss our special coast to coast coverage!! Photo: @ivancarrillotv @…  https://www.instagram.com/p/BMjrlhahaQW/ 
2016-11-08,14585855,"Denver, COUSA","@yogapod Oh yes. Election Day yoga. #electiondaygrounding (at @YogaPod Cherry Creek in Denver, CO)  https://www.swarmapp.com/c/20Knt7OpUs1 "
