date,user_id,location,tweet
2016-11-06,86951462,"Columbia, SC",Tonight on #OnPointLive What's at Stake in the 2016 #Election? Simple.We're #Voting on What…  https://www.instagram.com/p/BMfIfu2DMQ9/ 
2016-11-05,42635766,"Columbia, SC",Our Youth  Delegation hard at work overseeing the election process edusc_youth #edusc #scantron…  https://www.instagram.com/p/BMbkK0UjaRj/ 
2016-10-27,755573538,"Lexington, SC",Vote @southerntide this election season. The Skipjack makes one promise....to make you look…  https://www.instagram.com/p/BMEmDPVAP1C/ 
2016-10-24,795653449,SouthCarolina,The fact that The #ChicagoCubs are going to The World Series is a sign that Hillary is gonna win the election....
2016-10-21,40454708,"Columbia, SC","The election is #scaryashell--no doubt--but what a GREAT place this is. Go, America. I love ya.…  https://www.instagram.com/p/BL0fvS1h-1g/ "
2016-09-30,588335519,"Chapin, SC","Yea, you know what it is! Episode 3 of The Kardia Cast is up! Predestination and Election are…  https://www.instagram.com/p/BK_vBMKDDbN/ "
2016-09-29,795653449,SouthCarolina,3rd Party candidate #GaryJohnson doesn't know Shit about Foreign Policy. He's welcome to bring Weed-Brownies to my Election Night Party.
2016-09-22,228252454,"Phoenix, AZ",@bipartisan BREAKING: Unsealed Divorce Records Reveal Election Altering Trump/Nazi Connection  http://bipartisanreport.com/2016/09/20/breaking-unsealed-divorce-records-reveal-election-altering-trumpnazi-connection/ … via @Bipartisan Report
2016-05-19,1293219661,"WestColumbia, SC",PSA ALL CO 2019 BEARCATS!!! as election week comes to an end…  https://www.instagram.com/p/BFmxyTzLrID5OlA7kUwQSCbfMyD7Ji_5YNZnaU0/ …
2016-05-19,2718498409,,"BEARCATS: don't forget tomorrow is Election Day!! To make sophomore year gnarly, make sure you…  https://www.instagram.com/p/BFmbFYDAsDZ/ "
2016-04-24,344356666,803,<Emoji: Police cars revolving light> ATTENTION AIRPORT HIGH SCHOOL STUDENT BODY <Emoji: Police cars revolving light>TOMORROW IS ELECTION DAY!!!I've spent the last…  https://www.instagram.com/p/BEmk_EOjIfq/ 
