date,user_id,location,tweet
2017-05-07,23231207,"NY, NY",About to celebrate the French election....Viva Macron!#macron #frenchelection #nyc…  https://www.instagram.com/p/BTzoxHXF75n/ 
2017-05-07,720501042744594432,"Manhattan, NY",Celebretant l'election Francaise avec un verre de Sancerre et ce delicieux sac de croustilles! #ViveLaFrance pic.twitter.com/39IZYl2g8k
2017-05-07,480064823,"JerseyCity, NewJersey",#thetrumpreport President Trump seizes on election rules to push his agenda in new ways - USA TODAY  http://dlvr.it/P52Lyq  #artusalawfirm pic.twitter.com/Veef3cRP2K
2017-05-07,627893125,"Hoboken, NJ",French election results in 30 minutes. Le Pen is France's last hope!…  https://www.instagram.com/p/BTzLrQ5FiRu0hFpX2G3s1UQVCBOoYoADCSGz7k0/ …
2017-05-04,104714715,"NewYork, USA","A07433 [NEW] Relates to voting rights expansion, voter registration on election day, expansion of the use of and ... http://bitly.com/ZBieqe "
2017-05-03,104714715,"NewYork, USA",A05576 [Engross] Increases the number of registrants an election district may contain with the approval of the co... http://bitly.com/ZNee4a 
2017-05-03,950531,NYC,Trump has mentioned the results of the election on 68 of the 176 days since November 8. http://wapo.st/2qzlA0Y 
2017-05-03,720501042744594432,"Manhattan, NY","So James Comey feels mildly nauseous thinking he might have swayed election? ""Mildly""? ""Might""? #ThanksForNothing #TooLittleTooLate #GFY"
2017-05-02,480064823,"JerseyCity, NewJersey",#thetrumpreport Hillary Clinton just delivered a stunning indictment of the 2016 election -- and…  http://dlvr.it/P2rN6x  #artusalawfirm pic.twitter.com/IGMj6nrJyh
2017-04-28,276022132,"London, England",Election Day <Emoji: Airplane><Emoji: Flag of United States> @ Trump Tower New York  https://www.instagram.com/p/BTcFeZYFiJPygpWs4oNK0xnBbuRQv5b5-NGcZ00/ …
2017-04-28,28177871,"Brooklyn, NYC","LRT. Trey Wingo, while interviewing Goodell, cites ""an election that sucked the life out of everyone"" as a reason for low NFL TV ratings."
2017-04-28,104714715,"NewYork, USA",A05265 [NEW] Relates to the election of members of the board of trustees of the Chemung county library district. http://bitly.com/ZFCuH6 
2017-04-26,480064823,"JerseyCity, NewJersey",@JDSupra #jerseycitylawyer General Election 2017: comply with the campaigning rules  http://dlvr.it/P086cY  @jdsupra pic.twitter.com/UAWTUfrD0D
2017-04-26,27660710,NewYorkCity,Not sure I'm ready to relive the election but started this book last night in the <Emoji: Bath> <Emoji: Books>…  https://www.instagram.com/p/BTWfeU_lq3M/ 
2017-04-25,4767629242,"Cardiff, Wales",Your Guide To The UK General Election 2017. http://www.twentysomethingmeltdown.com/blog/your-guide-to-the-uk-general-election-2017 …
2017-04-25,480064823,"JerseyCity, NewJersey",@JDSupra #jerseycitylawyer How a June UK General Election will impact Brexit negotiations  http://dlvr.it/Nzj8ZD  @jdsupra pic.twitter.com/bdu9nv9qhn
2017-04-24,14198241,"Nevada, USA",How American Horror Story Season 7 Will Cover The 2016 Election #AHS http://lrmonline.com/news/how-american-horror-story-season-7-will-cover-the-2016-election …
2017-04-24,480064823,"JerseyCity, NewJersey",#thetrumpreport Donald Trump can't stop talking (and talking) about the 2016 election - CNN  http://dlvr.it/Nz4ywy  #artusalawfirm pic.twitter.com/6spbAsJQOx
2017-04-22,251621522,"Boston, MA","Happy <Emoji: Earth globe asia-australia> day NYC! ""Sorry we lost the election"" priceless sign! #nyc #earthday #protest #sad…  https://www.instagram.com/p/BTMQhqJDEdv/ "
2017-04-22,480064823,"JerseyCity, NewJersey",#thetrumpreport Donald Trump's Latest Approval Ratings In Election Swing States Show How Unpopular…  http://dlvr.it/NyCvHf  #artusalawfirm pic.twitter.com/9TH8XKs9WY
2017-04-19,480064823,"JerseyCity, NewJersey","#thetrumpreport Bill O'Reilly Ouster, Donald Trump Election Highlight Fine Lines for Fox News - U.S.…  http://dlvr.it/Nx3Vqv  #artusalawfirm"
2017-04-19,950531,NYC,"Get ready for a lot more election-night ""come-from-behind"" victories for Republicans. http://wapo.st/2oLK8Fa "
2017-04-19,480064823,"JerseyCity, NewJersey",#thetrumpreport The Demos went down to Georgia: What the special election says about Donald Trump -…  http://dlvr.it/NwsJ7P  #artusalawfirm pic.twitter.com/k9zdvTrcvc
2017-04-19,480064823,"JerseyCity, NewJersey","#thetrumpreport New election analysis: Yes, it really was blatant racism that gave us President…  http://dlvr.it/NwnKZs  #artusalawfirm pic.twitter.com/Bxxzj1Qz1m"
2017-04-19,378933726,"EastLansing, Michigan",Controlling the Presidential Election Madness: Lessons from France https://www.msuilr.org/msuilr-legalforum-blogs/2017/4/19/controlling-the-presidential-election-madness-lessons-from-france …
2017-04-18,480064823,"JerseyCity, NewJersey",@JDSupra #jerseycitylawyer Finger on the polls – May calls for snap General Election  http://dlvr.it/NwT5tY  @jdsupra pic.twitter.com/eAQgHCxk8Z
2017-04-18,480064823,"JerseyCity, NewJersey",@JDSupra #jerseycitylawyer British Prime Minister calls snap election to resolve Brexit divisions  http://dlvr.it/NwSbLh  @jdsupra pic.twitter.com/6R1HEZd50b
2017-04-18,480064823,"JerseyCity, NewJersey",#thetrumpreport How Donald Trump is making the Georgia special election all about him - CNN  http://dlvr.it/NwMXxQ  #artusalawfirm pic.twitter.com/bvmOuvKZOC
2017-04-17,480064823,"JerseyCity, NewJersey",#thetrumpreport Georgia's Special Election Has a Chance to Be a Devastating Blow to the Presidency…  http://dlvr.it/Nw20yr  #artusalawfirm pic.twitter.com/KGRzujZv6e
2017-04-17,480064823,"JerseyCity, NewJersey",#thetrumpreport Donald Trump effect on French election: Anything is possible - Washington Times  http://dlvr.it/Nw1F0G  #artusalawfirm pic.twitter.com/4Grim4W0Y7
2017-04-17,480064823,"JerseyCity, NewJersey",#thetrumpreport The big thing Trump gets wrong about his taxes and the 2016 election - CNN  http://dlvr.it/Nvyh55  #artusalawfirm pic.twitter.com/TsthmQHIdj
2017-04-17,480064823,"JerseyCity, NewJersey",@JDSupra #jerseycitylawyer Colorado House Bill 1279 stalls over 120-day unit owner election period  http://dlvr.it/Nvxp2m  @jdsupra pic.twitter.com/1Ip4m4x0OH
2017-04-17,480064823,"JerseyCity, NewJersey","#thetrumpreport For Donald Trump, the election is hardly 'over' - MSNBC  http://dlvr.it/Nvx2Tt  #artusalawfirm pic.twitter.com/RloFIBYih7"
2017-04-17,480064823,"JerseyCity, NewJersey",#thetrumpreport Donald Trump slams 'super Liberal Democrat' in Georgia special election - Atlanta…  http://dlvr.it/NvvTN4  #artusalawfirm pic.twitter.com/otRHeSbQfK
2017-04-17,480064823,"JerseyCity, NewJersey",#thetrumpreport Donald Trump wades into Georgia special election - Washington Times  http://dlvr.it/NvtpHl  #artusalawfirm pic.twitter.com/7LGWcMgb1S
2017-04-16,480064823,"JerseyCity, NewJersey","#thetrumpreport Trump Calls for Investigation Into Tax Day Protesters, Tweets 'Election Is Over!' -…  http://dlvr.it/NvWLDl  #artusalawfirm pic.twitter.com/K3CsC2rLKA"
2017-04-16,480064823,"JerseyCity, NewJersey",#thetrumpreport What Taxes? Donald Trump Reminds U.S. “Election Is Over” & He “Easily Won” - Deadline  http://dlvr.it/NvW9FP  #artusalawfirm pic.twitter.com/4ZQaVFqZ3O
2017-04-15,480064823,"JerseyCity, NewJersey",#thetrumpreport Donald Trump's election flips both parties' views of the economy - Milwaukee Journal…  http://dlvr.it/NvKfcg  #artusalawfirm pic.twitter.com/xthBWNJVMN
2017-04-15,104714715,"NewYork, USA",S02918 [NEW] Prohibits election commissioners and deputy election commissioners from holding a publicly elected o...  http://bitly.com/Y8ikET 
2017-04-15,104714715,"NewYork, USA",A04754 [NEW] Provides that the election of chief and assistant chief by a fire department may be on the same day ... http://bitly.com/Zrh40d 
2017-04-14,3364484080,"Belfast, NorthernIreland","Choice, Medicine and the Life of a Student: Another year, yet another election for Northern Ireland http://www.alliance4choice.com/news/2017/4/choice-medicine-and-the-life-of-a-student-another-year-yet-another-election-for-northern-ireland …"
2017-04-12,18817081,,"#Repost @brooklynbowl・・・""Ever since the election, Shapiro’s been thinking about the role of…  https://www.instagram.com/p/BSzam9tliGF/ "
2017-04-12,14115408,Chicago,Republican Wins Kansas Election Seen As Trump Test http://www.nbcnews.com/storyline/democrats-vs-trump/republican-wins-kansas-election-seen-trump-test-n745396 …
2017-04-11,2664435334,OneWorldTradeCenter,CLOSE CALL GOP candidate wins Kan. special House election  http://d100.co/NsbCLz  pic.twitter.com/0yd8EzkfJg
2017-04-11,480064823,"JerseyCity, NewJersey",#thetrumpreport Trump chimes in on Kansas special election - USA TODAY  http://dlvr.it/NsQjNz  #artusalawfirm pic.twitter.com/kzhJPsETla
2017-04-10,2858275734,"NewYork, NY","You know what time it is #NYIT , it's S(#Election) time !!Vote for me tomorrow to be to server…  https://www.instagram.com/p/BSuA2z0D4J2/ "
