date,user_id,location,tweet
2016-11-06,23911397,Seattle,Comey put his reputation above the election. For absolutely nothing.
2016-11-06,538537745,,Election Night! Come to @fredwildlife and watch results on a giant wall projection while…  https://www.instagram.com/p/BMezcIIAye4/ 
2016-11-06,56622061,Seattle/Reno,Election Day is in 2 days. Here's a friendly reminder of what could have control of this country…  https://www.instagram.com/p/BMetNIkg0XQ/ 
2016-11-06,74998364,"Seattle, WA",Final NBC/WSJ poll before Election Day: Clinton holds a four-point lead over Trump Decision2016 http://nbcnews.to/2ecXV3L 
2016-11-05,1906198243,"Seattle, WA",My boss has vowed to wear a pantsuit a day until the election.#considermewowed#Election2016 @…  https://www.instagram.com/p/BMcy9ukg_1A/ 
2016-11-05,3739591,"Tacoma, WA","@DustinDK man, took me a couple reads to figure out what ballot class was. Too much election."
2016-11-04,267812051,Seattle,"Thght u were talkng abt the election! @SickAndHostile:Nausea, cold sweats, tummy trouble, shaky, jst the thght of food makes U green? Chemo!"
2016-11-04,8665662,"Seattle, WA",This has been and most likely will always be the most divisive election of my lifetime. That…  https://www.instagram.com/p/BMaUwfuAUWG/ 
2016-11-03,31343896,"Seattle, WA",...for Hillary Clinton #proudly#ivoted<Emoji: Flag of United States> #hillaryclinton #election #dumptrump @ West…  https://www.instagram.com/p/BMXbHsqguLk/ 
2016-11-03,457629222,"Tacoma, WA",Get out and vote if you haven't already! This whole election has left us with a bitter taste in…  https://www.instagram.com/p/BMXMfbQhnhy/ 
2016-11-03,18519541,"Tacoma, WA",ELECTION UPDATE: I thought these reminders from auditor to Pierce County voters we're weirdly…  https://www.instagram.com/p/BMW7ZUYl6F1/ 
2016-11-03,113466949,"Dallas, TX","Seeing as #Brexit has been a test of a @realDonaldTrump election, does that mean we could #UnTrump should the worse happen as well?"
2016-11-02,31343896,"Seattle, WA",I proudly voted for Hillary Clinton. .#election #potus #hillaryclinton #barackobama #vote…  https://www.instagram.com/p/BMU1IX3gpvn/ 
2016-11-01,2267659459,GypsyTent,With Election day just around the corner...we have decided to #VoteforPedro <Emoji: Left pointing backhand index (medium skin tone)> @ MISHA  https://www.instagram.com/p/BMR79AbjcWc/ 
2016-11-01,74998364,"Seattle, WA",One week until election day. Have you filled out and mailed in your ballot? Get to it soon and remember to…  http://toplocalnow.com/us/seattle 
2016-11-01,267812051,Seattle,"During a presidential election, too!  @ESchattner: @double_whammied yes - and on the front page! @ReadEatWriteRun @nytimeswell"
2016-10-31,74998364,"Seattle, WA","Election 2016 shattering registration, voter turnout records in Wash. State -  http://bit.ly/2etqcPM "
2016-10-31,470793254,"Seattle, WA",So excited to be dropping off my ballot today *WITH* my son's ballot as well. His first election…  https://www.instagram.com/p/BMPn6qoF0jC/ 
2016-10-31,74998364,"Seattle, WA",AVOID A NOV. SURPRISE: Today 10/31 last day to register to vote in WA. Main election offices in King Pierce…  http://toplocalnow.com/us/seattle 
2016-10-31,74998364,"Seattle, WA",Reminder- today (Oct. 31) is the LAST day to register to vote in Washington for this year's election. And you'll ha…  https://twitter.com/i/web/status/793181279399342080 …
2016-10-30,19175335,Seattle&airportseverywhere,"His & hers. #vote #election #WA #Nov8 @ Matthews Beach, Seattle  https://www.instagram.com/p/BMNgMazgKOr/ "
2016-10-29,327344464,"Oregon, USA","<Emoji: Flag of United States> BALLOTS IN!! <Emoji: Grinning face with smiling eyes><Emoji: Grinning face with smiling eyes><Emoji: Victory hand (medium light skin tone)><Emoji: Person raising both hands in celebration (medium light skin tone)><Emoji: Raised hand with part between middle and ring fingers (medium light skin tone)><Emoji: Flag of United States>Had to snap a pic for this historical #election!! Yes, it takes time,…  https://www.instagram.com/p/BMLK0Tzj9Tf/ "
2016-10-29,2199057062,,"Ballots and Beer, 2016 General Election Edition. @ Pacific Brewing & Malting Co.  https://www.instagram.com/p/BMKhE59Dm2I/ "
2016-10-29,74998364,"Seattle, WA","Your guide to Nov. 8 election ballot -- from presidential race, to governor, to the least-understood initiatives:…  https://twitter.com/i/web/status/792357580152705028 …"
2016-10-28,113466949,"Dallas, TX",Didn't I tweet about how the only way @realDonaldTrump could know the election was rigged was if he rigged it?? <Emoji: Face with tears of joy> https://twitter.com/KedronBardwell/status/792116100024586240 …
