date,user_id,location,tweet
2017-01-21,937557852,"Fayetteville, AR","Congratulations to my friend, Senator Will Bond on his election as the Democratic Whip in the…  https://www.instagram.com/p/BPjXJoZjGzG/ "
2017-01-21,937557852,"Fayetteville, AR","Congratulations to my friend, Senator Will Bond on his election as the Democratic Whip in the…  https://www.instagram.com/p/BPjXJoZjGzG/ "
2016-11-21,2374274395,"Conway, AR",Meme Propaganda ~ Election of 1912 heated up in class today :3 Democrats kicked it off with some…  https://www.instagram.com/p/BNFenEIBWWZ/ 
2016-11-09,283992647,London,"Arkansas sunset on the eve of the US election @ Conway, Arkansas  https://www.instagram.com/p/BMnTo1ggYVUUMoC5liunImuo89s-FwtSGO460k0/ …"
2016-11-09,30609882,"Dallas, TX","Until we meet again... Now that this election cycle is over , let us ALL more than ever be…  https://www.instagram.com/p/BMmOC4SAYaw/ "
2016-11-08,36094113,"Searcy, AR",Waiting to go live at the GOP election party @ Embassy Suites By Hilton Little Rock  https://www.instagram.com/p/BMkM_VkhjiY/ 
2016-11-08,220405307,TheDuttySouth,My babies first Prez election! #ivoted2016 #merica #america @ Oaklawn Church of God  https://www.instagram.com/p/BMkIoZ-g4j9/ 
2016-11-08,317565934,"NorthLittleRock, AR","A cloudy Election Day! <Emoji: Cloud with rain><Emoji: Flag of United States> #CommunityPolicing #StayCommitted @ North Little Rock, Arkansas  https://www.instagram.com/p/BMj2LxBB8ud/ "
2016-11-08,18058280,CentralArkansas,"A prayer for the election. #bcp #prayer #election @ St. Peter's Episcopal Church, Conway  https://www.instagram.com/p/BMjo3HThL5Z/ "
2016-11-08,51896614,"Atlanta, GA",Today's Election Day. Be sure that you exercise your right to #VOTE. #NupesVote #KappaAlphaPsi…  https://www.instagram.com/p/BMjcLj5Dldc/ 
2016-11-08,1242231048,"LittleRock, AR","Happy Election Day, ya'll!!! Go Vote!!!<Emoji: Flag of United States>#americaisgreat @ Hillcrest, Little Rock  https://www.instagram.com/p/BMjYTrjj9g9/ "
2016-11-08,2538293911,"LittleRock, Arkansas",Today is election day. Make sure your voice is heard ! #electionday #protectthevote…  https://www.instagram.com/p/BMjTAXsjCL0/ 
2016-11-08,53196604,"LittleRock, AR",Enjoyed a nice election morning run. Looking forward to hitting the polls later today to talk to…  https://www.instagram.com/p/BMjO-elDe_t/ 
2016-11-07,19164829,,"On the eve of this year's election, it seemed appropriate to visit Bill Clinton's Presidential…  https://www.instagram.com/p/BMhnguwA-ZW/ "
2016-11-07,20372005,"HotSprings, AR",Don't Forget To Vote!!! <Emoji: Flag of United States><Emoji: Flag of United States><Emoji: Flag of United States>#election2016 #voteearly @ Garland County Election Commission  https://www.instagram.com/p/BMhmbeIDCC4/ 
2016-11-05,24314794,here,Early voting! Nice and quick. Bonus speed for wife in a wheelchair. (@ Pulaski County Election Commission) https://www.swarmapp.com/c/9I3TUsUqx7p 
2016-11-05,16479801,"LittleRock, AR(it'snotbad)",Exercised my body...then exercised my rights. #vote @ Pulaski County Election Commission  https://www.instagram.com/p/BMb59buArKA/ 
2016-11-01,2374274395,"Conway, AR","2016 Election ~ Well, I'm glad this ludicrous spectacle will soon be over. There was quite the…  https://www.instagram.com/p/BMR4k6ohT5m/ "
2016-11-01,36691914,"LittleRock, AR",Mom and dad votes!!!! @ Pulaski County Election Commission  https://www.instagram.com/p/BMRme2IjiWC/ 
2016-11-01,36691914,"LittleRock, AR",Saint Mark out to Vote! #meetpastoratthepolls @ Pulaski County Election Commission  https://www.instagram.com/p/BMRmFgZDc5q/ 
2016-10-29,1242231048,"LittleRock, AR",Happy Saturday<Emoji: Flag of United States>America!  #saturdaygoals #america #rockthevote2016 @ Pulaski County Election…  https://www.instagram.com/p/BMJ8OGnDVSE/ 
2016-10-26,515677513,"LittleRock, AR",Consistency @ Pulaski County Election Commission  https://www.instagram.com/p/BMCDZOSD0CU/ 
2016-10-24,34631841,"FortWorth, TX",I early #voted @ Pulaski County Election Commission  https://www.instagram.com/p/BL9V8vlAIZknSFLNGD4bNtEqErDVKbp0oswSoY0/ …
2016-10-15,19018920,bethatbetharnold.com,A sign I saw in Hillcrest this afternoon. A sign of the times. #signs #election #election2016…  https://www.instagram.com/p/BLmpyAxDJa7/ 
