date,user_id,location,tweet
2017-03-27,107794125,"Layton, Utah",A hearty congratulations to @stevo0610 on his election! Junior Class…  https://www.instagram.com/p/BSJvXBNDBqU-bSVxxE8SoAEd3R3NixGELsJqXU0/ …
2017-03-23,104738639,"Utah, USA",SB0128 [Passed] Election Day Notification Amendments http://bitly.com/Um9u8Z 
2017-03-22,104738639,"Utah, USA",SB0013 [Passed] Amendments to Election Law http://bitly.com/YLeh04 
2017-03-20,104738639,"Utah, USA",HB0091 [Passed] County Commission Election Amendments http://bitly.com/YdPxyH 
2017-03-17,104738639,"Utah, USA",SB0128 [Enroll] Election Day Notification Amendments http://bitly.com/Um9u8Z 
2017-03-16,104738639,"Utah, USA",SB0013 [Enroll] Amendments to Election Law http://bitly.com/YLeh04 
2017-03-14,104738639,"Utah, USA",HB0091 [Enroll] County Commission Election Amendments http://bitly.com/YdPxyH 
2017-03-13,19364027,"SaltLakeCity, UT",When your baby girl needs a mix for her SBO election skit and daddy's a DJ... #DJLife #dadlove…  https://www.instagram.com/p/BRmqxyzjCjG/ 
2017-03-27,107794125,"Layton, Utah",A hearty congratulations to @stevo0610 on his election! Junior Class…  https://www.instagram.com/p/BSJvXBNDBqU-bSVxxE8SoAEd3R3NixGELsJqXU0/ …
2017-03-23,104738639,"Utah, USA",SB0128 [Passed] Election Day Notification Amendments http://bitly.com/Um9u8Z 
2017-03-22,104738639,"Utah, USA",SB0013 [Passed] Amendments to Election Law http://bitly.com/YLeh04 
2017-03-20,104738639,"Utah, USA",HB0091 [Passed] County Commission Election Amendments http://bitly.com/YdPxyH 
2017-03-17,104738639,"Utah, USA",SB0128 [Enroll] Election Day Notification Amendments http://bitly.com/Um9u8Z 
2017-03-16,104738639,"Utah, USA",SB0013 [Enroll] Amendments to Election Law http://bitly.com/YLeh04 
2017-03-14,104738639,"Utah, USA",HB0091 [Enroll] County Commission Election Amendments http://bitly.com/YdPxyH 
2017-03-13,19364027,"SaltLakeCity, UT",When your baby girl needs a mix for her SBO election skit and daddy's a DJ... #DJLife #dadlove…  https://www.instagram.com/p/BRmqxyzjCjG/ 
2017-03-06,104738639,"Utah, USA",HB0314 [Engross] Election Law Revisions http://bitly.com/Z0hudY 
2017-03-04,16076328,"SLC, Utah, USA",Rite of Election at the Cathedral. Beautiful day.…  https://www.instagram.com/p/BROiiHoFG_0GGVgVuUz6Pfty5dmPxFs5ppj2pQ0/ …
2017-03-04,14521460,"SaltLakeCity, UT",Today in 2007: Estonia becomes the first country to conduct an election over the Internet.
2017-03-02,104738639,"Utah, USA",SB0252 [Engross] Special Election to Fill United States House of Representatives Vacancy http://bitly.com/ZC0vPc 
2017-02-27,104738639,"Utah, USA",HB0450 [NEW] Election Changes http://bitly.com/1KkYodY 
2017-02-23,583246172,MercedesBuenosAires,Last of student election go and vote the link is  http://Vote.slcc.edu  #bethechange @ Salt Lake…  https://www.instagram.com/p/BQ3q9KyAPbM/ 
2017-02-21,104738639,"Utah, USA",SB0252 [NEW] Special Election to Fill United States House of Representatives Vacancy http://bitly.com/ZC0vPc 
2017-02-21,104738639,"Utah, USA",SB0128 [Engross] Election Day Notification Amendments http://bitly.com/Um9u8Z 
2017-02-15,104738639,"Utah, USA",HB0091 [Engross] County Commission Election Amendments http://bitly.com/YdPxyH 
2017-02-08,104738639,"Utah, USA",HB0314 [NEW] Election Law Revisions http://bitly.com/Z0hudY 
2017-02-03,104738639,"Utah, USA",SB0114 [Engross] Election Law Amendments http://bitly.com/VYNAaX 
2017-01-27,104738639,"Utah, USA",SB0128 [NEW] Election Day Notification Amendments http://bitly.com/Um9u8Z 
2017-01-27,104738639,"Utah, USA",HB0221 [NEW] Election Law Modifications http://bitly.com/YBffxn 
2017-01-26,15200676,"SaltLakeCity, Utah",Remember that time when @HillaryClinton lost an election primarily because of poor email management? I do. https://twitter.com/azalben/status/824664543091707905 …
2017-01-25,104738639,"Utah, USA",SB0114 [NEW] Election Law Amendments http://bitly.com/VYNAaX 
2017-01-24,104738639,"Utah, USA",SB0013 [Engross] Amendments to Election Law http://bitly.com/YLeh04 
2017-01-20,255168176,,#FlashbackFriday to Election Night 2008 <Emoji: Flag of United States><Emoji: Heavy check mark> #BetterDaysA lot…  https://www.instagram.com/p/BPgStShhfdsFn0I7wupkRbgcQ_3FXXzStaAxck0/ …
2017-01-18,104738639,"Utah, USA",HB0151 [NEW] School Board Election Amendments http://bitly.com/Zicu4r 
2017-01-04,104738639,"Utah, USA",HB0111 [NEW] Election Law - Filing Date Amendments http://bitly.com/YB3F5j 
2016-12-22,104738639,"Utah, USA",HB0091 [NEW] County Commission Election Amendments http://bitly.com/YdPxyH 
2016-12-09,104738639,"Utah, USA",SB0013 [NEW] Amendments to Election Law http://bitly.com/YLeh04 
2016-12-08,549322144,"SaltLakeCity, UtahandGhana",Calling to concede defeat <Emoji: Face with tears of joy>... 4 years we will be back...Peaceful election 2016 #ghana4peace2016…  https://www.instagram.com/p/BNxeFouALxz/ 
2016-12-06,549322144,"SaltLakeCity, UtahandGhana",Peaceful election 2016 #ghana4peace2016 with  #photography #photo #photos #photographer #models…  https://www.instagram.com/p/BNtPczBAVRo/ 
2016-11-18,952796988,SaltLakeCityUtah,Post-Election depression. #huarache #latinomall.... Not really <Emoji: Face savouring delicious food> @…  https://www.instagram.com/p/BM9uwWoBdsD5OptTa1AYIpa8ajT8Yb7mNNvHBU0/ …
2016-11-15,291358303,MahoganyRidge,Enough of the election/political stuff and back to focusing on being a better me! #preworkout…  https://www.instagram.com/p/BM2Uhs-l9Jp/ 
2016-11-15,291358303,MahoganyRidge,Enough of the political/election stuff. Back to trying to be a better me. #preworkout…  https://www.instagram.com/p/BM2IwNsFw4d/ 
2016-11-15,291358303,MahoganyRidge,The outcome of the election has (rightly) raised serious concern for many across a variety of…  https://www.instagram.com/p/BM1_qZtFOic/ 
2016-11-10,939311,"Murray, UT",I haven’t touched my warthog hotas since before the election. I need to go fly.
2016-11-10,522606897,"Houston, Texas","Post election relaxation...See you on Monday, Houston!!! @ Park…  https://www.instagram.com/p/BMp_ZgZDPH9FiZ30SxYjXXDfmn7grvw4qfUTG00/ …"
2016-11-10,331165030,"SaltLakeCity, Utah",Friends drinking Nero d'Avola to drown our post election tears and eat Sicilian food!…  https://www.instagram.com/p/BMo2BCpjOfr/ 
2016-11-10,52871250,SaltLakeCity,Post election soul calming/healing food. Coffee and chocolate chip cookies! #chefbeastie…  https://www.instagram.com/p/BMoih5oh5nc/ 
2016-11-09,148810585,"PleasantGrove, UT",I honestly haven’t posted before the election because of fear of making someone angry or upset. I want to make friends not enemies.
2016-11-09,211576952,"SaltLakeCity, Utah",Best medicine for election blues: Big bowl of ramen with my hilarious sister who is a bundle of…  https://www.instagram.com/p/BMmyw0Ygltz/ 
2016-11-09,14769543,Ut-argh,A little post-election dirt therapy and excuse to get above the air pollution. #dirttherapy…  https://www.instagram.com/p/BMmxBoCBja8/ 
2016-11-09,30005111,Berlin,A Revolt Without Guns <Emoji: Bomb>#uspresidentialelection #donaldtrump #election #headache @ Downtown Salt…  https://www.instagram.com/p/BMmk8xdjH_I/ 
2016-11-09,284242825,"Ogden, UT","With everyone bickering, gloating or complaining about the election results I want to make a…  https://www.instagram.com/p/BMmek4pgRGU/ "
2016-11-09,2880379051,"sl, ut",Don't worry we'll go easy on you.. #HillaryForPrison #Election #ToadArmy #TacticalToad #Benghazi…  https://www.instagram.com/p/BMlSXBGjqqB/ 
2016-11-08,503957522,"Lehi, UT",Considering the choices in this election... I think Stella could choose as well as I did!!!<Emoji: Flushed face><Emoji: Pile of poo> @…  https://www.instagram.com/p/BMkXgeOBXF0/ 
2016-11-08,2792530098,"ParkCity, Utah","Some projects to work on tonight while watching election results come in. Or, projects to work…  https://www.instagram.com/p/BMkTP_gAnJl/ "
2016-11-08,2183398639,"SaltLakeCity, UT",first meet of the season!!! (also it's Election Day so go vote if…  https://www.instagram.com/p/BMkKGELjjmLvpw9MlS8r5oV1sK6zafv9QLNolg0/ …
2016-11-08,415182127,UnitedStates,LMAO---Still get recognized by the Election Officials <Emoji: Smiling face with sunglasses> Lots of Love in the…  https://www.instagram.com/p/BMkEEO9AoLt/ 
2016-11-08,33230091,"SaltLakeCity, UT",Is it a coincidence that the Election and Taco <Emoji: Taco> Tuesday are on the same day? I think not! @…  https://www.instagram.com/p/BMjxg8iDgzb/ 
2016-11-08,89979622,"SaltLakeCity, Utah","On this day of election, we've put in place an updated position bonnevillebrewery! Please…  https://www.instagram.com/p/BMjob4NAwTN/ "
2016-11-08,28275925,SaltLakeCity,Happy Election Day:Let the sweating begin! #isweated #ivoted #evolve #BeMoreHuman @ Evolve Fitness  https://www.instagram.com/p/BMjhP2UgQuv/ 
2016-11-08,413453783,"SaltLakeCity, UT","Friends, if you haven't voted yet, TODAY is the day to make your voice heard! This election is…  https://www.instagram.com/p/BMjWLZDj1tf/ "
2016-11-08,14481812,"45°10'00.2""N114°37'34.4""W","Election Morning in America. Get out and vote. @ Salt Lake City, Utah  https://www.instagram.com/p/BMjVejihdXHiC5ADPAgHWhxfuI6pwBTWnxRunE0/ …"
2016-11-07,89979622,"SaltLakeCity, Utah",Instead of filling out my mail-in ballot for the big election happening tomorrow (during the…  https://www.instagram.com/p/BMg2i1qgkw9/ 
2016-11-04,208711400,"SaltLakeCity, Utah",Translation: Militias have violence planned for election day. :P https://twitter.com/JimDalrympleII/status/794730977956245504 …
2016-11-04,939311,"Murray, UT",This election is obviously a memory leak and those bright spots on Ceres? Tearing artifacts because the video card fan is failing.
2016-11-03,66802381,"Atlanta, GA","If the @Cubs can win the #WorldSeries, then I'm looking forward to another Chicago native winning the election! #ImWithHer #Reese4Hillz"
2016-11-02,66802381,"Atlanta, GA","Just like the election, the #WorldSeries is a nail biter!"
2016-11-01,604863515,Utah,@joanwalsh @mmpadellan @MtnMD as I said because Obama sold her out. Called Comet man of integrity and didn't do this to throw the election
2016-10-27,15200676,"SaltLakeCity, Utah",When the DNC Chairwoman is in Utah less than 2 weeks from election day you know something's up. #utpol #utdem #vote pic.twitter.com/bKTmVYMSSf
2016-10-26,462789912,"WestValleyCity, UT",Now i don't have to deal with the crowds on election day.  #EarlyVote2016 @ West Valley City…  https://www.instagram.com/p/BMCvkHHgTkT/ 
2016-10-24,208320853,"SaltLakeCity, UT",My civic duty has been fulfilled! But just because this election is over for me doesn't mean I'm…  https://www.instagram.com/p/BL9QnhVAvAy/ 
