date,user_id,location,tweet
2017-02-07,1606646803,,Every election! Every time! #schoolboard #staywoke #noissuetoosmall…  https://www.instagram.com/p/BQOxB_gAM_os2cmZqhOaNPP0f9WVOKar7Xnp8M0/ …
2017-02-07,1606646803,,Every election! Every time! #schoolboard #staywoke #noissuetoosmall…  https://www.instagram.com/p/BQOxB_gAM_os2cmZqhOaNPP0f9WVOKar7Xnp8M0/ …
2016-11-23,766053463642009601,"Albuquerque, NM","""The election is still fresh on everyone’s mind – so it’s bound to…  https://www.instagram.com/p/BNKe0nXgtZ96oR3zXtIgJsz_ANLSHENoRx57S40/ …"
2016-11-12,33221250,Arizona,@GovGaryJohnson Some of the decor in our media room at the @govgaryjohnson election night party in…  https://www.instagram.com/p/BMu0xqIDZ6v/ 
2016-11-09,922413386,"Albuquerque, NMUSA",Election hangover? We got your back! #wellnessshot #juicecleanse #wheatgrass #local…  https://www.instagram.com/p/BMmW1gTjgtu/ 
2016-11-08,45055087,nuevomexico,This election is driving me to drink! #ivotedtoday #nm #iphoneonly #2016election @ La Cumbre…  https://www.instagram.com/p/BMkUimqAfJU/ 
2016-11-08,16473520,"Burque, NewMexico",The best part of this Election Cycle: Taking my Mother-in-Law to vote for the First time ever!…  https://www.instagram.com/p/BMkTy4rgXjS/ 
2016-11-08,14668243,LasVegas,"Not stressing on election info, just building Dr. Strange... @ Canon ITS  https://www.instagram.com/p/BMkM0VDA2uO/ "
2016-11-08,82121358,Albuquerque,freaking out waiting for the polls to close. pantsuit nation RIDES TODAY!!! <Emoji: Tulip><Emoji: Tulip><Emoji: Tulip> election 2016!!!…  https://www.instagram.com/p/BMkL4-xj_C5/ 
2016-11-08,398882886,"Houston, TX","In honor of Election Day, I wore my Delta Beta Epsilon bid day shirt from a while back. DON'T BE…  https://www.instagram.com/p/BMkIwaNjwIg/ "
2016-11-08,443213226,"Albuquerque, NewMexico","You have shared your voice on  today's election, share your voice with us! The hall that submits…  https://www.instagram.com/p/BMj-YGDjw7R/ "
2016-11-08,15164499,"Albuquerque, NM",Election Day means no school here in Albuquerque ... so we went…  https://www.instagram.com/p/BMj9ToqgmjwpoKz7YY2ZwCQt4YRSlPeLOfxiK80/ …
2016-11-08,20611429,"Albuquerque, NM",When it's Election Day and even the soft drinks can't even... smh. <Emoji: Face with tears of joy>…  https://www.instagram.com/p/BMj5bbcjkmddPftj-iOXf_iZGhBPFLuvAH5xBA0/ …
2016-11-08,2910248459,"NewMexico, USA","It's Election Day! I have already voted early for Secretary Clinton,…  https://www.instagram.com/p/BMj2XG9g5V1OgwWnbhN0mxx8yL6A830T365aZg0/ …"
2016-11-08,82121358,Albuquerque,pantsuit nation RIDES TODAY!!! <Emoji: Tulip><Emoji: Tulip><Emoji: Tulip> election 2016!!! #imwithher #hillaryclinton #hillary @ Lone…  https://www.instagram.com/p/BMjsfMwjsbD/ 
2016-11-08,2424759698,NewMexico,Election Day work attire #onpoint <Emoji: Hundred points symbol><Emoji: Flag of United States> #vote @ Special Olympics New…  https://www.instagram.com/p/BMjm6U5BIvyHP-3xfkxlAGuP_W4FfZSipTtqxs0/ …
2016-11-08,21860841,"RioRancho, NM","Dayam straight I voted. Each and every election. Lord help us all, enough hate. #Election2016 @…  https://www.instagram.com/p/BMjbixEFrk-/ "
2016-11-08,766053463642009601,"Albuquerque, NM","It's 7°C / 44°F here in Albuquerque, New Mexico.  ELECTION DAY!!…  https://www.instagram.com/p/BMjYe_EgDDbHQ-YotBl19zOKkXB0UZwAX1K-VI0/ …"
2016-11-08,766053463642009601,"Albuquerque, NM","It's 7°C / 44°F here in Albuquerque, New Mexico.  ELECTION DAYB!…  https://www.instagram.com/p/BMjYIU-gg1yQ-6flTRBgnnOZRPEUUOnlmMlcnM0/ …"
2016-10-26,766053463642009601,"Albuquerque, NM",13 days until Election Day!  Super Volunteers working hard…  https://www.instagram.com/p/BMC-mf2ggFq9aQ-I6zogTSgXhifWQkuDmwWuN40/ …
2016-10-20,62632267,"Atlanta, Georgia","The election has been so nasty, @realDonaldTrump can't seem to summon the right tone for a roast. Not an easy venue, but this seems awkward."
2016-10-20,5406692,"LosAngeles, California",How legit poll watching is done (apolitically by trained lawyers) Presidential Election in '04…  https://www.instagram.com/p/BLy2riNjS28/ 
