date,user_id,location,tweet
2016-11-06,429695311,thepleiades,As shitty as this election is I really hope everyone goes out to vote. Participate in democracy god damnit.
2016-11-06,429695311,thepleiades,Every election they will lie to you and say “you can’t risk voting third party” and all we get is more of the same.
2016-11-06,86938456,"LasVegas, NV",How can we get past this brutal election cycle?  http://bit.ly/2fguk6Q 
2016-11-06,429695311,thepleiades,I’m getting through this election by reminding myself everything is pointless and then we die.
2016-11-06,1402339580,"Strathaven, SouthLanarkshire",@DoubleBarrelLV Election fever building in Vegas - Drinking a Kilt Lifter by @fourpeaksbrew at @doublebarrellv  —  http://untp.beer/s/c380195770  #photo
2016-11-06,86938456,"LasVegas, NV",NRA posts photo with conflicting election dates. >  http://www.fox5vegas.com/story/33641832/nra-posts-photo-with-conflicting-election-dates …
2016-11-06,86938456,"LasVegas, NV",The RJ's Steve Sebelius is glad the election season is nearing an end (whew!) http://rjnews.is/2fPJbZ1 
2016-11-05,601579245,LosAngeles,Zip line on Fremont #fremont #fremontstreet #vegas #lasvegas #election #election2016 @ Fremont…  https://www.instagram.com/p/BMdX5IvDqHf/ 
2016-11-05,490282459,,#hellovegas #mountains #election will be fun to watch - yes that is #Trump Tower from my bed! @…  https://www.instagram.com/p/BMctFFIh_V5/ 
2016-11-05,86938456,"LasVegas, NV",2016vote Nearly 500K Clark County voters get their part of the election completed in early voting. news3lv  http://news3lv.com/news/local/nearly-490000-clark-county-voters-cast-ballots-in-early-voting …
2016-11-04,429695311,thepleiades,What the fuck is this election man I’m just done idc anymore let me die pic.twitter.com/8lwpYtlTIZ
2016-11-04,86938456,"LasVegas, NV","FBI, NYPD assessing possible al-Qaida threat on election eve in New York, Texas and Virginia>…  https://twitter.com/i/web/status/794577489276219392 …"
2016-11-04,3122720671,"LasVegas, NV","You were my friends before the election,  you are my friends during the election,  and you will…  https://www.instagram.com/p/BMZLDfgjW_B/ "
2016-11-03,429695311,thepleiades,I honestly don’t care who wins the election at this point just fucking STOP THE INCESSANT POLITICAL ADS
2016-11-03,601579245,LosAngeles,Giving an interview of why I voted and am now canvassing for hillaryclinton  #election…  https://www.instagram.com/p/BMXUgvYjlYq/ 
2016-11-03,245149192,"LasVegas, NV",The election day is coming! #ds3000 #deadsirius3000 @petterisariola tapiobacklund LINK IN BIO. @…  https://www.instagram.com/p/BMXR_6dgvqX/ 
2016-11-03,34753589,"Bastrop, TX",The 2000 election was decided by 500 or so votes.Don't think yours doesn't count.#vote…  https://www.instagram.com/p/BMXGCfBj7B6/ 
2016-11-03,86938456,"LasVegas, NV",On this week's cover: How can we get past this brutal election cycle?  http://bit.ly/2fguk6Q 
2016-11-02,3260589566,1525EastSunsetRoad,No school Next Tuesday! (Election Day Nov 8th)COME PLAY INDOORS!Mega Indoor Playground for…  https://www.instagram.com/p/BMUs9QWgkWJ/ 
2016-11-02,197604790,NOTWHEREINEEDTOBE,#vote #voting #election #govote #VegasNow that this is out the way..............If you are…  https://www.instagram.com/p/BMUYs5mjbA2/ 
2016-11-02,86938456,"LasVegas, NV",His system has correctly predicted the winner of the popular vote in every election since 1984. http://rjnews.is/2edqh9k 
2016-11-01,209884026,"Henderson, NV",This election got me like <Emoji: Sleeping symbol><Emoji: Sleeping symbol><Emoji: Sleeping symbol><Emoji: Sleeping symbol><Emoji: Sleeping symbol><Emoji: Sleeping symbol> #isitoveryet #election #tired #done #vote #makechangehappen…  https://www.instagram.com/p/BMSmGewjQrs/ 
2016-11-01,361000504,USCHeritageHall,"Eight years ago today, Barack Obama visited my high school two days before Election Day.…  https://www.instagram.com/p/BMSVfJPlbGA/ "
2016-11-01,2789264237,"LasVegas, NV",Stupid<Emoji: Pile of poo> taking over my box<Emoji: Persevering face>I can't wait for election day to be over #junk #mail #jobsecurity…  https://www.instagram.com/p/BMSTt1IA_Mu/ 
2016-10-31,242195145,LasVegas,"#merica #vote get this election over with. @ Las Vegas, Las Vegas,…  https://www.instagram.com/p/BMPd9ToAwIpW_JhWFkBgCB60TiqjorY8VRJ8QU0/ …"
2016-10-31,80649448,"LosAngeles, California",Happy Halloween & 8 days until Election Day from @SjoeW hillaryclinton @CatherineForNV & me!…  https://www.instagram.com/p/BMO7zSFD9vY/ 
2016-10-30,26596727,"Washington, D.C.",Thousands rally as Donald Trump stumps at the Venetian in Las Vegas nine days from Election Day.…  https://www.instagram.com/p/BMMzEbjBKSY/ 
2016-10-30,86938456,"LasVegas, NV",4 states to weigh tougher gun control in Nov. 8 election. >  http://www.fox5vegas.com/story/33516140/4-states-to-weigh-tougher-gun-control-in-nov-8-election …
2016-10-30,527741791,HendersonNV,The #SilberkrausStreetTeam taking a lunch break. Hoping to get a full team shot on election…  https://www.instagram.com/p/BMMYc1Whqva/ 
2016-10-30,86938456,"LasVegas, NV","Where I Stand: As election closes in, boomers need to act like adults. via Las Vegas Sun  http://lasvegassun.com/news/2016/oct/30/as-election-closes-in-boomers-need-to-act-like-adu/#.WBX9Na25d6g.twitter …"
2016-10-28,768772,"iPhone:28.644382, -81.277938",Atheists in the Pub Meetup - Rambling mostly political conversations. Can you tell a national election looms?...  https://www.swarmapp.com/c/9Z0OUNlPc4C 
2016-10-28,426154911,,Did my civic duty and voted early! This election is so important! Please don't sit this one out…  https://www.instagram.com/p/BMIAXVRg2S5/ 
2016-10-28,429695311,thepleiades,@KramFresche lord who would get married this close to the election
2016-10-27,40937784,"Henderson, NV","I voted. Now I want to move on. Election night I'll be in it again, but let's move on. pic.twitter.com/7VvazKKNB0"
2016-10-27,1027636615,NewYork,Early #voting in #nevada#clinton #trump #election#HoundsBazaar #RuffPost #maltipoo #dogsofnyc…  https://www.instagram.com/p/BME828tgbJQ/ 
2016-10-26,86938456,"LasVegas, NV",Don't let this be you on election day! Vote early at a location near you  http://bit.ly/2eqUzce 
2016-10-25,86938456,"LasVegas, NV",The state of Trump's and Clinton's campaign finances two weeks from election day  https://twitter.com/i/web/status/790953733156958208 …
2016-10-24,86938456,"LasVegas, NV","DNC's ""Forward Together"" bus is in North Las Vegas to highlight the high stakes in this election for Nevada's Latin…  https://twitter.com/i/web/status/790622503961886720 …"
2016-10-22,86938456,"LasVegas, NV","As of 3 p.m., 26,766 voters had cast their ballots in the general election http://bit.ly/2ey0WZI "
2016-10-22,217380361,London,LOVING the election merch in Vegas. What a scary election. #lasvegas #nevada #election2016…  https://www.instagram.com/p/BL4WU6mjcyl/ 
2016-10-22,18711400,"LasVegas, NV","One way or the other, this will be a #historic #election <Emoji: Smiling face with open mouth and cold sweat> #ivoted #vote @ Albertsons  https://www.instagram.com/p/BL4PcLOF_O_/ "
2016-10-21,86938456,"LasVegas, NV","Nevada Democrats head toward election with 89,000-voter lead  http://bit.ly/2eQwAFi "
2016-10-21,46045971,USA&UK,"So Accurate. Matty, thank you so much for putting this election in perspective for people out…  https://www.instagram.com/p/BL1-8j5hv_m/ "
2016-10-20,44374406,LasVegas,"I get it Pooh #election2016 #election #smh @ Las Vegas, Nevada  https://www.instagram.com/p/BLywU4GBMw_/ "
2016-10-20,29077167,"Lancaster, PA(717/223)",Here's How George H.W. Bush Handled Losing The 1992 Election To Bill Clinton - The Huffington Post - US  https://apple.news/AlcOfGoNlSeioR8zygiZLmw …
2016-10-20,29077167,"Lancaster, PA(717/223)",Could Donald Trump legally challenge the presidential election? - CNN  https://apple.news/AgBmduD6ITeWq8q_eZKahaw …
2016-10-20,86938456,"LasVegas, NV",Who's voting for the Giant Meteor this election?  http://news3lv.com/news/election/who-s-voting-for-the-giant-meteor-this-election …
2016-10-19,65202350,LV 👉🏼NO 🇷🇺 🇺🇸 🏳️‍🌈,Predebate craziness msnbc tent pre-debate earlier tonight. This election matters..plz vote!!!…  https://www.instagram.com/p/BLxd5MYB11B/ 
2016-10-19,86938456,"LasVegas, NV","Trump’s son, Donald Trump Jr., said the campaign will accept the outcome of the election as long as it’s “a fair…  http://toplocalnow.com/us/las-vegas "
2016-10-19,3154733167,"LasVegasStrip, LasVegas, NV","OK Last post on the Presidential election tonight.. ... ""Hilary Clinton has been in Washington…  https://www.instagram.com/p/BLxYBWzgLPF/ "
2016-10-19,199616385,"London, England",TRUMP’S ANSWER TO WHETHER HE’LL ACCEPT ELECTION RESULT #debates #debatenight #DonaldTrump…  http://nayabchohan.com/2016/10/20/trumps-answer-to-whether-hell-accept-election-result-debates-debatenight-donaldtrump-hillaryclinton-usa-nayabchohan-templatenews-distantechoes-nayabchohanlive … pic.twitter.com/8B2QCi5Kac
