date,user_id,location,tweet
2016-11-06,3289540624,"Denver, CO",Need a drink or 3 after this election season?Join us Tues. night to watch it come to a close. $1 off draft beer w/voter sticker from 5-10pm! pic.twitter.com/0XVZsOaf44
2016-11-06,270101585,,The biggest flaw of democracy is its propensity to disenfranchise. And in an election cycle…  https://www.instagram.com/p/BMew1DKD8Wu/ 
2016-11-06,70381121,"Denver, CO",Clinton turns attention to Michigan as election day nears  http://bit.ly/2eLuJwO 
2016-11-05,21921857,"MountainTime, sothat'snew.",#VOTED! #Denver @ Denver Election Commission  https://www.instagram.com/p/BMc5azih6rV/ 
2016-11-05,15894994,Colorado,Family vote day in honor of Emmy's birthday! @Lexandem33's first presidential election and would…  https://www.instagram.com/p/BMcDWRTDmJQ/ 
2016-11-05,70381121,"Denver, CO",What Colorado election officials are doing to keep polling places safe  http://dpo.st/2fa3CMA 
2016-11-04,275647426,America,#election preweekend got me liiike....#vote people!Photo::Nigel Aves @ Pattridge Park  https://www.instagram.com/p/BMZ8OnpjAvE/ 
2016-11-03,70381121,"Denver, CO","Election Day deals and other free and cheap things to do around Denver, Nov. 4-10  http://dpo.st/2f6we9E "
2016-11-03,16252233,"Atlanta, GA",Look at these babies covering their first Presidential election in 2008 at the DNC. The finish…  https://www.instagram.com/p/BMXfMs6h2qI/ 
2016-11-02,70381121,"Denver, CO",How to recycle your campaign yard signs — now or after the election by John Wenzel  http://dpo.st/2fasDYA 
2016-11-01,454260445,"Boulder, CO, USA",Russian cyber attacks on the US election seem to demand a response: an exploration of options.  http://ow.ly/7E2Q305us14 
2016-11-01,70381121,"Denver, CO","Doesn't matter if your ballot is postmarked before election day. If the clerk doesn't have it in time, it won't…  http://toplocalnow.com/us/denver "
2016-10-29,70381121,"Denver, CO",Donald Trump cast doubt on the integrity of Colorado's mail-ballot election at Jeffco rally Saturday: copolitics http://dpo.st/2embie1 
2016-10-28,704538324,denverColorado,This nasty woman (i.e. Educated member of the electorate) just rigged the election (i.e. Voted)!…  https://www.instagram.com/p/BMH88MchqGt/ 
2016-10-27,26814090,"KenCaryl, CO",@Entrepreneur Swipe Left or Swipe Right? Tinder Taps Into the 2016 Election.  http://dlvr.it/MXnZBG  #MarketingBootcamp via @entrepreneur pic.twitter.com/BHGceQj3oG
2016-10-26,1638584623,"Denver, CO",What worries me most about this election is hearing LGBT people say…  https://www.instagram.com/p/BMDYDtNlQFeeNi45LnogoMgcSn-G5zc8KKxNmc0/ …
2016-10-26,64645255,"Denver, CO","Civic duty accomplished.  Please, please don't sit this election out. Even if you aren't…  https://www.instagram.com/p/BMCDKH4D67k/ "
2016-10-25,15990298,"Denver, CO","I’m struggling to summarize the atmosphere at McMullin event. It’s very, very odd for an electoral event 2 weeks before a general election."
2016-10-25,70381121,"Denver, CO",HillaryClinton wins Colorado student vote in mock Election2016 that traditionally mirrors actual election results…  https://twitter.com/i/web/status/791029066421800960 …
2016-10-25,27527509,"Denver, CO",Turn your words into actions. Election Day is two weeks from today. Have you registered? <Emoji: Flag of United States>…  https://www.instagram.com/p/BL_LiokDpum/ 
2016-10-24,1634575261,,This election is so important and whether I'm living in a swing state in the Northeast or the…  https://www.instagram.com/p/BL9ii9FgJee/ 
2016-10-23,563961798,Denver,Election year / This or that24in x 24inMixed media paint collage©ShhU3e 2016 #art #artwork…  https://www.instagram.com/p/BL6S9vqAD4M/ 
2016-10-22,70381121,"Denver, CO",Hacking specialist warns of election-themed email attacks  http://dpo.st/2esAC2s 
2016-10-22,34806553,Colorado,"Ballot drop off haha my first real election as a citizen :p (@ City of Westminster - City Hall in Westminster, CO)  https://www.swarmapp.com/c/cE6ECC3CybE "
2016-10-22,67413887,MileHIGHCity!,This is what all politicians are afraid of; so this Election every of age citizen needs to do…  https://www.instagram.com/p/BL2-2Isg7Iq/ 
2016-10-21,369832610,"CastleRock, CO","It's just sort of that time in this election... @ Castle Rock, Colorado  https://www.instagram.com/p/BL04hCGjq-j/ "
2016-10-21,70381121,"Denver, CO",Latest 2016 presidential election polls: Trump vs. Clinton polling average  http://bit.ly/2e6MLed 
2016-10-20,225156637,"Denver, Colorado",Election season making you nauseous? @KindLove_MMJ can definitely…  https://www.instagram.com/p/BLyyoWpg60shgMllVv-RfFT-wA4Q53AJZtfMR40/ …
2016-10-20,70381121,"Denver, CO","Donald Trump: ""I will totally accept the results of this great and historic presidential election…if I win.”  http://bit.ly/2dRNhv8 "
2016-10-20,70381121,"Denver, CO",We're talking election rigging this morning. Colorado Sec. Of State Wayne Williams says it's impossible for anyone…  http://toplocalnow.com/us/denver 
2016-10-19,70381121,"Denver, CO","Hillary Clinton says to stand on presidential debate stage, you must accept the results of the election.…  http://toplocalnow.com/us/denver "
2016-10-19,700930027957809153,"Aurora, CO",Ballots are in the mail. Every vote counts this election. It's time we had a Senator who…  https://www.instagram.com/p/BLwx2KIjoDB/ 
2016-10-19,2931384268,"Denver, Colorado","Studio thoughts today. // Let's be honest, millennials, this election has made me think – why…  https://www.instagram.com/p/BLwho1ngDpk/ "
2016-10-18,32761091,"Boulder, Colorado, U.S.A.",I am SO GLAD that this election is finally OVER! @ Laboratory X-131  https://www.instagram.com/p/BLu5NsdDw1E/ 
2016-10-18,70381121,"Denver, CO","The election is absolutely rigged: if you don't get enough votes, you lose.Much as sailboats are rigged to go with…  http://toplocalnow.com/us/denver "
2016-10-18,70381121,"Denver, CO","DonaldTrump: ""election is rigged"". Study shows since 2000, only 31 cases of fraud out of 1 billion votes cast.…  http://toplocalnow.com/us/denver "
