date,user_id,location,tweet
2017-05-04,1450400215,Indianapolis,"There are 1,279 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BTsbRMlg63z/ "
2017-05-04,104723605,"Massachusetts, USA",H3672 [NEW] Relative to election nomination petitions in the city of Boston http://bitly.com/VLKl6C 
2017-05-02,18327902,,Wolfgang is really concerned about the French election @koolteamb @ IDEO Cambridge  https://www.instagram.com/p/BTmws4sA8Bs/ 
2017-05-01,104723605,"Massachusetts, USA",S327 [NEW] Relative to school safety on election day http://bitly.com/Whxv03 
2017-05-01,29353161,BOSPVDSTX,Election Day has arrived in #Millis. #Oliver #dogsofinsta #loring4millis #teamchange @ Millis…  https://www.instagram.com/p/BTizbXilojM/ 
2017-04-28,4738990695,"Brockton, MA",@StacyAdamsCAB Last nights Mayor Re election fundraiser mayorbillcarpenter @stacyadamscab was a success...…  https://www.instagram.com/p/BTbjKwHB-dU/ 
2017-04-27,4738990695,"Brockton, MA",Behind the scenes preparation mayorbillcarpenter re election fundraiser happening this evening…  https://www.instagram.com/p/BTZ1AEqBhw6/ 
2017-04-27,104723605,"Massachusetts, USA",H3656 [NEW] Relative to the 2017 annual town election in the town of Rockport http://bitly.com/WhweGl 
2017-04-25,29353161,BOSPVDSTX,Good Morning Millis voters! #Oliver #teamchange #election #loring4millis #soggydoggy #6daysleft…  https://www.instagram.com/p/BTTsVCWF_ij/ 
2017-04-23,104723605,"Massachusetts, USA",H353 [NEW] To establish election day registration  http://bitly.com/WNQSy8 
2017-04-22,104723605,"Massachusetts, USA",H389 [NEW] Relative to election procedures in the city of Boston http://bitly.com/WtAgHl 
2017-04-19,1450400215,Indianapolis,"There are 1,294 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BTFFHcDgvfj/ "
2017-04-18,84800424,"Jakarta, Makassar, Pangkep",I was so thankful that I could observe the presidential election in the US last year. It's…  https://www.instagram.com/p/BTDj9VCltTC/ 
2017-04-18,1450400215,Indianapolis,"There are 1,295 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BTCtgeVAFJ2/ "
2017-04-17,1450400215,Indianapolis,"There are 1,296 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BTAZ6ZXAjpE/ "
2017-04-16,1450400215,Indianapolis,"There are 1,297 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BS9VvAEgbE7/ "
2017-04-15,104723605,"Massachusetts, USA",H2090 [NEW] Relative to unenrolled election workers  http://bitly.com/YL4yIK 
2017-04-15,104723605,"Massachusetts, USA",H2101 [NEW] Relative to election emergency  http://bitly.com/Z50tiE 
