date,user_id,location,tweet
2017-05-06,18948916,"Houston, TX, USA","May Chapter Meeting & Election Night @ Houston Alumni of Kappa Alpha Psi Fraternity, Inc.  https://www.instagram.com/p/BTxRcXflcIw/ "
2017-05-06,2875758455,"WestUniversityPlace, Houston",Election day Bird Blog…….LIve from West U City Hall  http://bubly.us/XnPV 
2017-05-06,19944446,USA,"Election Day, come see me (@ De Zavala Middle School in Pasadena, TX) https://www.swarmapp.com/c/6koeLlvlhpz "
2017-05-03,368119165,"Houston, TX","He may not have won the state bar election, but don't get it twisted-- @danorris007 is #winning…  https://www.instagram.com/p/BTogkweD2im/ "
2017-04-29,24595936,"Houston, Texas","You'd never know it, but there is an election going on right now.  #IVoted #ForTheKids…  https://www.instagram.com/p/BTenemfBY4I/ "
2017-04-23,359694097,"Pearland, Texas","In honor of the election in France, I'm having a Cafe Chocolate! #french @ Sweet Paris - Rice…  https://www.instagram.com/p/BTPhxVmgA4g/ "
2017-04-21,2875758455,"WestUniversityPlace, Houston",ELECTION UPDATE: West U early voting begins Monday at city hall http://bubly.us/XWKv 
2017-04-21,737147654,,Plz come & listen 2 both sides of the argument 4 the HISD Prop 1 election on May 6th. Of course…  https://www.instagram.com/p/BTKR7IrjoFj/ 
2017-04-18,2875758455,"WestUniversityPlace, Houston",Award-winning election day confusion http://bubly.us/XRr8 
2017-04-18,55823412,Houston,"Herman Cain on the election for a suburban congressional seat in Atlanta, GA, ""The Democrats are trying to stea… http://toplocalnow.com/us/houston/at/noon …"
2017-04-15,737147654,,PLz vote AGAINST HISD Prop. 1 on May 6th!!!!! U can't miss this sneaky election. Over 80% of our…  https://www.instagram.com/p/BS6OwMJDR4D/ 
2017-04-07,368119165,"Houston, TX",1st week of the State Bar of Texas election is underway. **To fellow Texas lawyers: consider…  https://www.instagram.com/p/BSlb7OijldG/ 
2017-03-30,2883867506,"DeerPark, Texas",Order of Cancellation for May 6 School Board Election  http://bubly.us/WePx 
2017-03-23,2875758455,"WestUniversityPlace, Houston",Election on May 6 may be confusing  http://bubly.us/WXHv 
2017-03-21,261469386,"Houston, TX",Basically sounds like this past election
2017-03-20,159606927,"HTine, TX",Shame it took Trump's election for everyone to look up an see the jig
2017-03-16,55823412,Houston,Senate finds no indication of Trump tower wiretapping before or after election http://abc13.co/2mTUUYY 
2017-03-15,17587250,"iPhone:55.607841, 13.001934",@OxheartHouston Sourdough Dutch crunch roll @oxhearthouston . Happy Dutch Election Day. @ Oxheart Restaurant  https://www.instagram.com/p/BRrb92XhUs3/ 
2017-03-09,737147654,,They're trying 2 put the fix in by undoing our November election! Now they're misrepresenting &…  https://www.instagram.com/p/BRcDqRUjLWh/ 
2017-02-28,16505511,HoustonTexasarea,"@KellyannePolls Finally a good speecH. Please advise no tweeting, complaining about fake news, electoral votes, & talking election."
2017-02-26,216943457,Omnipresent,It seems that the #BernieorBust folks haven't  learned from their election of Trump. TeamSanders  resists DNC loss - http://politi.co/2lmxKqJ 
2017-02-20,55823412,Houston,"Russians ""could have cost us the election."" -- Fmr. Clinton campaign manager Robby Mook  http://toplocalnow.com/us/houston "
2017-02-14,55823412,Houston,Posters at UT latest display of campus post-election racism http://trib.al/0d23t7b 
2017-02-10,2850400817,"Baytown, Texas",Rivon files for regent election  http://bubly.us/Tgwi 
2017-02-09,2883867506,"DeerPark, Texas",2017 Election Information  http://bubly.us/TdZP 
2017-02-08,1115347722,"Houston, TX",Ready to tackle the midterm election season with HCRP! #KeepTexasRed…  https://www.instagram.com/p/BQRR_6ADtPQzOYNNyVwFjWlWpBYGTWfikXCd140/ …
2017-01-30,1390431470,"Houston, Texas",9th Grade Student Government Candidates - Election Day Feb. 6th #energyleaders @ Energy…  https://www.instagram.com/p/BP6e3wOha6g/ 
2017-01-30,1390431470,"Houston, Texas",10th Grade Student Government Candidates - Election Day Feb. 6th #energyleaders @ Energy…  https://www.instagram.com/p/BP6ew4uBYn5/ 
2017-01-30,1390431470,"Houston, Texas",11th Grade Student Government Candidates. Election Day Feb. 6th #energyleaders @ Energy…  https://www.instagram.com/p/BP6eqO-h6ik/ 
2017-01-30,1492026391,houstontexas,@trump_with Only the Left are going nuts! They will keep it up because they lost election!
2017-01-27,261469386,"Houston, TX",Suge Knight voted for Trump just to sway the election RT @iAmTerrace: Blame Suge Knight for something bad that has happened in life. GO.
2017-01-25,35194059,,@CNN @cnn obama advertises illegals can vote without repurcussion. No voter fraud this election! Do u think we are that stupid??
2017-01-24,35194059,,#spicerfact Hillary won the election!  Haha get over it losers!!
2017-01-24,382814728,"Houston, TexasandWorldwide","This whole pussy-grabbing-talk, hate-filled, contentious, and ill-represented election has me…  https://www.instagram.com/p/BPq1K7iglYh/ "
2017-01-24,2875758455,"WestUniversityPlace, Houston","TONIGHT: Council sets election date, mostly mundane matters  http://bubly.us/T9DB "
2017-01-23,191843639,"Houston, TX",Can someone please tell them to take that sign down?? The election has been over for months! @…  https://www.instagram.com/p/BPn8vUlguVK/ 
2017-01-22,24106009,"Spring, TX",I won and everyone who did not vote for me will be deported. #donaldtrump #president #election @…  https://www.instagram.com/p/BPgRPutA783/ 
2017-01-22,55823412,Houston,Trump attacks the media in CIA speech and praises his election win http://on.khou.com/2j0nEtU 
2017-01-21,55823412,Houston,Trump attacks the media in CIA speech and praises his election win  http://on.khou.com/2iZHUM8 
2017-01-20,55823412,Houston,Houston women's march to protest election of Donald Trump planned for Saturday  http://trib.al/Pv2IDhE 
2017-01-20,24106009,"Spring, TX",I won and everyone who did not vote for me will be deported. #donaldtrump #president #election @…  https://www.instagram.com/p/BPgRPutA783/ 
