date,user_id,location,tweet
2017-04-04,100625377,"STL, MO","@AntauriNova Election Day (@ Pierre Laclede Elem School in Saint Louis, MO w/ @wewedd @antaurinova @m62j16r19) https://www.swarmapp.com/c/af3YElUJRS1 "
2017-03-29,303521503,"Greendale, MO",We voted! @ Saint Louis County Election Commissioners-Board  https://www.instagram.com/p/BSPADxwBbaMYIgjtMbX8-IEbtMG9Tg8mT_Nvlo0/ …
2017-04-04,100625377,"STL, MO","@AntauriNova Election Day (@ Pierre Laclede Elem School in Saint Louis, MO w/ @wewedd @antaurinova @m62j16r19) https://www.swarmapp.com/c/af3YElUJRS1 "
2017-03-29,303521503,"Greendale, MO",We voted! @ Saint Louis County Election Commissioners-Board  https://www.instagram.com/p/BSPADxwBbaMYIgjtMbX8-IEbtMG9Tg8mT_Nvlo0/ …
2017-03-08,15948728,St.Louis,It's the day after Election Day I'm going to St. Raymond's for lunch! A St. Louis Tradition
2017-03-08,17997352,st.louisMO,When your future Mayor text you back at 7:20am the morning after her election #proud #dsly…  https://www.instagram.com/p/BRYPI-VF7o2/ 
2017-03-07,3249677095,"StLouis, MO",lydakrewsonstl wins DemocraticSTL mayoral election...#stlouismo #stlmayor #lyda #DowntownSTL…  https://www.instagram.com/p/BRXhKI2A2US/ 
2017-01-30,744033899546841090,"StLouis, MO","@realDonaldTrump I'm reposting this from the day after the election, because @realdonaldtrump/ @NEWPOTUSTRUMP is…  https://www.instagram.com/p/BP6nzScBZkF/ "
2017-01-10,15468090,"St.Louis, Missouri",@Ludacris Me watching Obama win the election in 2008 with @ludacris I never saw so many people cry in the…  https://www.instagram.com/p/BPHCCvOAyeQ/ 
2016-12-17,83189866,"SaintLouis, Missouri","When you lose an election that you rigged yourself and start blaming others for your loss, you might be the most pathetic human currently."
2016-12-09,15948728,St.Louis,"My discomfort with election results is quite conspicuous, however I'm alarmed & frightened by Trump's choice to head the EPA #Climate"
2016-11-19,24756260,St.Louis,I feel like this is very fitting and essential post-election…  https://www.instagram.com/p/BNAPyvjgLfE6PQK61VZ3Xufl0JvQESgThOMAIg0/ …
