date,user_id,location,tweet
2017-04-05,952584588,"SouthCarolina, USA","2020 imma run the whole election YAH!!! #oprah2020 @ West Columbia, South Carolina  https://www.instagram.com/p/BSg5m-JDUBj/ "
2017-03-26,104714568,"SouthCarolina, USA","H4042 [NEW] Require The Individual Vote Of Each Member Of The General Assembly To Be Recorded For Each Election,...  http://bitly.com/101YE4u "
2017-03-17,104714568,"SouthCarolina, USA","H4001 [NEW] Provide Local School Districts, Contingent Upon Voter Approval In The 2018 General Election, May Issu...  http://bitly.com/YLOS6V "
2017-04-05,952584588,"SouthCarolina, USA","2020 imma run the whole election YAH!!! #oprah2020 @ West Columbia, South Carolina  https://www.instagram.com/p/BSg5m-JDUBj/ "
2017-03-26,104714568,"SouthCarolina, USA","H4042 [NEW] Require The Individual Vote Of Each Member Of The General Assembly To Be Recorded For Each Election,...  http://bitly.com/101YE4u "
2017-03-17,104714568,"SouthCarolina, USA","H4001 [NEW] Provide Local School Districts, Contingent Upon Voter Approval In The 2018 General Election, May Issu...  http://bitly.com/YLOS6V "
2017-02-23,104714568,"SouthCarolina, USA",S0107 [Engross] Joint Election of Governor and Lieutenant Governor http://bitly.com/TS5VY3 
2017-02-16,104714568,"SouthCarolina, USA","H3781 [NEW] Provide That Beginning With The General Election Of 2022, There Must Be Elected By The Qualified Vot...  http://bitly.com/10e0OAc "
2017-02-07,104714568,"SouthCarolina, USA",H3683 [NEW] Require Those Candidates Seeking To Fill A Board Vacancy In A Special Election To Submit A Statement ... http://bitly.com/ZE5r69 
2017-02-07,104714568,"SouthCarolina, USA","S0370 [NEW] Amend Section 3, Article V Of The Constitution Of This State, Relating To The Election Of Supreme Cou...  http://bitly.com/YV3q5i "
2017-02-03,104714568,"SouthCarolina, USA",S0027 [Engross] State Superintendent of Education election http://bitly.com/VgnEUE 
2017-01-26,104714568,"SouthCarolina, USA",H3537 [Engross] Election districts http://bitly.com/WVyfZd 
2017-01-25,104714568,"SouthCarolina, USA","H3571 [NEW] Define The Terms ""independent Expenditure Committee"" And ""election Communication"".  http://bitly.com/WX0fLP "
2017-01-17,104714568,"SouthCarolina, USA",S0255 [NEW] To Provide Definitions For 'independent Expenditure Committee' And 'election Communication'; And To A...  http://bitly.com/XHq4xn 
2017-01-12,104714568,"SouthCarolina, USA",H3467 [NEW] Provide That Beginning With Those House Members Elected At The 2020 General Election Or Who Take Offi...  http://bitly.com/YlOjS5 
2016-12-17,104714568,"SouthCarolina, USA",H3189 [NEW] Provide For The Election Of Judges By The General Assembly In Joint Session To Be Held Once A Year Only.  http://bitly.com/VivgpQ 
2016-12-17,104714568,"SouthCarolina, USA","H3140 [NEW] Require The State Department Of Education, The State Election Commission, And The County Boards Of Vo...  http://bitly.com/Z8cSp8 "
2016-12-16,104714568,"SouthCarolina, USA",H3088 [NEW] Provide That A Statewide Advisory Referendum Must Be Conducted By The State Election Commission At Th...  http://bitly.com/YJRQIx 
2016-12-16,104714568,"SouthCarolina, USA","H3147 [NEW] Delete The Provisions That Provide For Straight Party Ticket Voting For General Election Ballots, Str...  http://bitly.com/YLpy0u "
2016-12-16,104714568,"SouthCarolina, USA",H3160 [NEW] Provide That Beginning With Those House Members Elected At The 2020 General Election Or Who Take Offi...  http://bitly.com/VhXqBc 
2016-12-16,104714568,"SouthCarolina, USA","H3148 [NEW] Require The Election Of Probate Judges To Be Nonpartisan, To Provide For Nonpartisan Special Election...  http://bitly.com/Z8lL2a "
2016-12-16,104714568,"SouthCarolina, USA","H3149 [NEW] Require The Election Of Clerks Of Court To Be Nonpartisan, To Provide For Nonpartisan Special Electio...  http://bitly.com/YLrO7I "
2016-12-16,104714568,"SouthCarolina, USA",H3142 [NEW] Provide That A Person Is Not Eligible For Election To The House Of Representatives If That Person Has...  http://bitly.com/Z8fP9j 
2016-12-16,104714568,"SouthCarolina, USA",H3166 [NEW] Provide That Beginning With Those House Members Elected At The 2018 General Election Or Who Take Offi...  http://bitly.com/Vi5wd8 
2016-12-15,104714568,"SouthCarolina, USA",H3090 [NEW] Provide That A Statewide Advisory Referendum Must Be Conducted By The State Election Commission At Th...  http://bitly.com/Z7eL5A 
2016-12-15,104714568,"SouthCarolina, USA",H3164 [NEW] Provide That A Person Is Not Eligible For Election To The House Of Representatives If That Person Has...  http://bitly.com/TStuQy 
2016-12-15,104714568,"SouthCarolina, USA",H3155 [NEW] Provide That The Authority Charged By Law With Conducting An Election Shall Provide A Procedure By Wh...  http://bitly.com/TSjDdj 
2016-12-15,104714568,"SouthCarolina, USA",H3161 [NEW] Provide That Beginning With Those House Members Elected At The 2020 General Election Or Who Take Offi...  http://bitly.com/Vi00Hg 
2016-12-14,104714568,"SouthCarolina, USA","S0132 [NEW] Provide For The Definition Of ""campaign Contribution Report""; To Provide That Candidates For Election...  http://bitly.com/TTUQFI "
2016-12-14,104714568,"SouthCarolina, USA",S0102 [NEW] Provide That Beginning With Those House Members Elected At The 2020 General Election Or Who Take Offi...  http://bitly.com/VhEJO3 
2016-12-14,104714568,"SouthCarolina, USA",S0142 [NEW] Provide For A Statewide Advisory Referendum To Be Held At The Same Time As The 2018 General Election ...  http://bitly.com/TUeb9S 
2016-12-14,104714568,"SouthCarolina, USA","S0096 [NEW] Relating To The Election Of Justices And Judges, To Provide That The Names Of Each Qualified Candidat...  http://bitly.com/TRMwq5 "
2016-11-23,228252454,"Phoenix, AZ",@HillaryClinton I think you need to ask for recount because the election was stolen from you. Please don't let Trump get away with this
2016-11-23,228252454,"Phoenix, AZ",Donald Trump Jr. Visited Syria in October to discuss Russia. This entire election has been rigged for Trump to win
2016-11-18,2452134079,"Houston, TX",Just because the #election outcome sucks doesn't mean #Trump can take away the memories or…  https://www.instagram.com/p/BM-YKGahjQ8/ 
2016-11-15,25551180,Allovertheworld,With the aftermath of the election not being in the most positive state we as AMERICANS have to…  https://www.instagram.com/p/BM2k7J_D-fO/ 
2016-11-13,86951462,"Columbia, SC",Tonight on #OnPointLive #Election 2016---WHAT HAPPENED?!?! Tune in at 6pm to our #FacebookLive…  https://www.instagram.com/p/BMxKHFVjJeT/ 
2016-11-11,53910320,Charlotte,I made some stickers to show how I feel about the election. @ Banzaicon  https://www.instagram.com/p/BMsF39VgOk2/ 
2016-11-11,16944022,#ColumbiaSC&@FANeighbors,"Election chatter rules today at TOS. gahhh, I love this place. (@ The Other Store Deli in Columbia, SC)  https://www.swarmapp.com/c/297d1q7Sm6v "
2016-11-10,19611703,"Columbia, SC","Please listen to Ernie's third point, words to live by post election. h/t @JWGOP http://youtu.be/ZwZhILLX92U "
2016-11-10,62276917,"Burns, TN",I was going to take this off my truck after the election.... but after 48 hour to think about…  https://www.instagram.com/p/BMoS_n8BKqg/ 
2016-11-09,360284790,,Trying to report on Election coverage last night and wondering if what I just said made any lick…  https://www.instagram.com/p/BMnN1MbA2b2/ 
2016-11-09,24129566,"Columbia, SC",The Day After My Born Day LORD! #40andSingle birthdays that fall on election day suck @ The…  https://www.instagram.com/p/BMl9aFPg3yM/ 
2016-11-09,228252454,"Phoenix, AZ",Tell me I am having a really bad nightmare and Trump did not win the election
2016-11-08,259748679,"Columbia, SC","Glad to see all my friends out there voting!  The Presidential election is important, but the…  https://www.instagram.com/p/BMkST0dApf3/ "
2016-11-08,71680962,"SouthCarolina, USA",This is the third presidential election I have voted in and I always find it exciting to cast my…  https://www.instagram.com/p/BMkMzE0DKQK/ 
2016-11-08,57118107,"Blythewood, SC",Great beer and getting ready for election results. I may... (Kentucky Bourbon Barrel Stout)  http://untp.beer/s/c380684445  #photo
2016-11-08,331718808,"LexingtonCounty, SC",Great fall colors at The Spur. Election Day action! @ The Spur At Northwoods Golf Club  https://www.instagram.com/p/BMjy9ZEjiDT/ 
2016-11-08,17475333,SouthCarolina,"50 people lined up to vote in cityofcayce, & it's mid-morning! Last presidential election it was…  https://www.instagram.com/p/BMjeqcdD0st/ "
2016-11-08,39993536,,"Election Day 2016 #ElectionDay2016 #Vote2016 Happy Tuesday Peeps! (@ Westside Baptist Church in West Columbia, SC) https://www.swarmapp.com/c/kCpBalSiMCn "
2016-11-08,2871541679,"Columbia, SC",Our #TurtleTuesday this week is a two'fer since it's Election Day!#COA…  https://www.instagram.com/p/BMjYGnhDRAE/ 
2016-11-08,21930966,,"Election Day 2016. ""Politicians and diapers must be changed often, and for the same reason."" -…  https://www.instagram.com/p/BMjU7klDAkJ/ "
2016-11-08,2365950210,"Chicago, IL","It's Election Day and people are losing it. I have my own political thoughts and beliefs, and am…  https://www.instagram.com/p/BMjQjjvg9-F/ "
2016-11-08,317739533,"Columbia, SC",Get out and vote! This is the most important Presidential Election of my lifetime. #rockthevote…  https://www.instagram.com/p/BMjProSAr9V/ 
2016-11-08,49188946,"Lowcountry, SouthCarolina",I just voted...are you going to #vote? ...#election2016 #election #presidentialelection…  https://www.instagram.com/p/BMjPfk7hVg5/ 
2016-11-07,898751334,SC,Hiding out until the election is over. @ Poinsett State Park  https://www.instagram.com/p/BMhzuT1AsWdEZxrEEl3BN3gBfjOX85WuA5CCfo0/ …
2016-11-07,20192136,"131StateSt.WCola, SC29169",Election Day FLASH OFFER:   $15 Spray Tans and FREE lip OR brow wax ....  tomorrow 1 till 6.…  https://www.instagram.com/p/BMhsxA2Artd/ 
2016-11-07,27744501,"Chico, CA",Nov. 6: Reflecting on the many hours spent on the campaign trail this presidential election. For…  https://www.instagram.com/p/BMhhPjFg2WT/ 
2016-11-07,611996518,"Columbia, SouthCarolina",This election season got you losing faith in humanity? Come do some good on Election Day and…  https://www.instagram.com/p/BMhThBFAT-l/ 
2016-11-06,86951462,"Columbia, SC",Tonight on #OnPointLive What's at Stake in the 2016 #Election? Simple.We're #Voting on What…  https://www.instagram.com/p/BMfIfu2DMQ9/ 
2016-11-05,42635766,"Columbia, SC",Our Youth  Delegation hard at work overseeing the election process edusc_youth #edusc #scantron…  https://www.instagram.com/p/BMbkK0UjaRj/ 
2016-10-27,755573538,"Lexington, SC",Vote @southerntide this election season. The Skipjack makes one promise....to make you look…  https://www.instagram.com/p/BMEmDPVAP1C/ 
2016-10-24,795653449,SouthCarolina,The fact that The #ChicagoCubs are going to The World Series is a sign that Hillary is gonna win the election....
2016-10-21,40454708,"Columbia, SC","The election is #scaryashell--no doubt--but what a GREAT place this is. Go, America. I love ya.…  https://www.instagram.com/p/BL0fvS1h-1g/ "
