date,user_id,location,tweet
2017-05-06,1450400215,Indianapolis,"There are 1,277 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BTwkLxqA5eD/ "
2017-05-02,1450400215,Indianapolis,"There are 1,281 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BTmpvjHg2-H/ "
2017-05-01,104718312,"Indiana, USA",SB0425 [Passed] Low level offenses. Makes the penalty for crimes concerning certain election filings a Class A mi... http://bitly.com/WHCW3x 
2017-04-30,185640495,"Dayton, OH","Taking a commemorative photo after voting in the Korean presidential​ election. @ Indianapolis,…  https://www.instagram.com/p/BTh_Muejqp8/ "
2017-04-27,104718312,"Indiana, USA",HB1521 [Passed] Various election law matters. Provides for the election of alternate presidential electors to fil... http://bitly.com/XW1h90 
2017-04-17,104718312,"Indiana, USA","SB0442 [Passed] Various election matters. Removes a reference to a county executive in the definition of ""county ... http://bitly.com/WIPGHe "
2017-04-04,104718312,"Indiana, USA",HB1521 [Enroll] Various election law matters. Provides for the election of alternate presidential electors to fil... http://bitly.com/XW1h90 
2017-03-29,104718312,"Indiana, USA","SB0442 [Enroll] Various election matters. Removes a reference to a county executive in the definition of ""county ... http://bitly.com/WIPGHe "
2017-03-23,1450400215,Indianapolis,"There are 1,321 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BSAAPIAAqI8/ "
2017-03-19,1450400215,Indianapolis,"There are 1,325 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BR1_Rc8gV--/ "
2017-03-17,1450400215,Indianapolis,"There are 1,326 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BRw_myZgQj2/ "
2017-03-10,1450400215,Indianapolis,"There are 1,333 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BRdaLUDg0XP/ "
2017-03-02,1450400215,Indianapolis,"There are 1,341 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BRKJvxeAgiJ/ "
2017-02-26,1450400215,Indianapolis,"There are 1,345 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BQ__T72A4v4/ "
2017-02-23,104718312,"Indiana, USA",HB1521 [Engross] Various election law matters. Provides for the election of alternate presidential electors to fi... http://bitly.com/XW1h90 
2017-02-23,62169540,"Indianapolis, IN",South Bend Mayor Pete Buttigieg is an underdog heading into Saturday's election. Daybreak8  http://wp.me/p4ySt8-2so1 
2017-02-20,14068376,"Carmel, IN",Packed house for election day! Our local Stagehands Union gets a new Business Agent tonight.  https://www.swarmapp.com/c/7fj9cASR8Lp  pic.twitter.com/B1FQXihI85
2017-02-20,428526802,,It's Election Day! Feel free to check out my platform here:…  https://www.instagram.com/p/BQvsjYygzBS/ 
2017-02-16,104718312,"Indiana, USA","SB0442 [Engross] Various election matters. Removes a reference to a county executive in the definition of ""county... http://bitly.com/WIPGHe "
2017-02-15,1450400215,Indianapolis,"There are 1,356 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BQidyv0ATsj/ "
2017-02-14,1450400215,Indianapolis,"There are 1,357 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BQgfRURADOA/ "
2017-02-12,1450400215,Indianapolis,"There are 1,359 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BQb6-TnA5sX/ "
2017-02-10,60971744,"Indianapolis, IN","Had a great time meeting with Election Administrators from Jeffersonville County, KY yesterday…  https://www.instagram.com/p/BQWKb9xjMxt/ "
2017-01-25,1151979032,"Indianapolis, IN",Happening Now: Marion County Election Board meeting in CCB Rm 260 ratifying contracts and taking public comment pic.twitter.com/oohLceK7Jx
2017-01-25,60971744,"Indianapolis, IN",Happening Now: Marion County Election Board meeting in CCB Rm 260 ratifying contracts and taking public comment pic.twitter.com/00ToybwBOj
2017-01-25,62169540,"Indianapolis, IN","Trump repeats claims about voter fraud, calls for ""major investigation"" into November election FOX59Morning  http://via.fox59.com/Z5VBf "
2017-01-22,104718312,"Indiana, USA",HB1521 [NEW] Various election law matters. Provides for the election of alternate presidential electors to fill v... http://bitly.com/XW1h90 
2017-01-21,1450400215,Indianapolis,"There are 1,381 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BPiVjYigtAF/ "
2017-01-19,62169540,"Indianapolis, IN","Group of Indiana 4-H members in DC for Inauguration2017. For several, this was their 1st election to vote. Now, the…  https://twitter.com/i/web/status/822171818291265536 …"
2017-01-19,104718312,"Indiana, USA",HB1472 [NEW] Various election law issues. Removes a voter's option to vote for all candidates of a political part...  http://bitly.com/XXtvQC 
2017-01-18,104718312,"Indiana, USA",HB1379 [NEW] Campaign finance limits. Provides that a member of the general assembly or a candidate for election ... http://bitly.com/XXy9y6 
2017-01-14,1450400215,Indianapolis,"There are 1,388 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BPQoO3tgo7Q/ "
2017-01-13,60982269,"Indianapolis, IN",JoAnn DOES love me!! #beautiful #flowers #myofficesunshine @ Marion County Election Board  https://www.instagram.com/p/BPN7zUGj7iF/ 
2017-01-11,104718312,"Indiana, USA",HB1321 [NEW] Judge retention votes. Provides that each county election board shall include information related to... http://bitly.com/VJtuRQ 
2017-01-11,104718312,"Indiana, USA","SB0442 [NEW] Various election matters. Removes a reference to a county executive in the definition of ""county vot... http://bitly.com/WIPGHe "
2017-01-11,104718312,"Indiana, USA",HB1346 [NEW] Combined board of elections and registration. Combines the county election board and the board of re... http://bitly.com/VJm9Sc 
2017-01-10,104718312,"Indiana, USA",HB1314 [NEW] Campaign advertising. Establishes an election ethics commission to investigate complaints alleging u... http://bitly.com/XCFXW3 
2017-01-09,104718312,"Indiana, USA",HB1196 [NEW] Satellite offices. Allows a county election board to adopt a resolution by the majority vote of the ... http://bitly.com/WI7SAO 
2017-01-07,104718312,"Indiana, USA",SB0272 [NEW] Election of certain juvenile judges. Provides that the judge of the St. Joseph County probate court ... http://bitly.com/WzhFck 
2017-01-06,104718312,"Indiana, USA",SB0335 [NEW] Satellite voting. Allows a county election board to adopt a resolution by the majority vote of the b... http://bitly.com/SkYqs7 
2017-01-06,104718312,"Indiana, USA",SB0257 [NEW] Voter registration and other voting matters. Provides that a county election board (board) may adopt... http://bitly.com/UzsUlw 
2017-01-04,104718312,"Indiana, USA",HB1040 [NEW] Primary election campaign finance reporting. Increases the maximum civil penalty for a delinquent f... http://bitly.com/113teQx 
2017-01-04,104718312,"Indiana, USA","HB1078 [NEW] Election audit procedures. Requires that in a precinct using an electronic voting system, the number... http://bitly.com/ShE42Z "
2017-01-04,104718312,"Indiana, USA",HB1049 [NEW] Municipal elections. Provides that any municipality may adopt an ordinance to move the election of ... http://bitly.com/112AUT5 
2017-01-04,1450400215,Indianapolis,"There are 1,398 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BO3Wl-SAAZi/ "
2017-01-02,1450400215,Indianapolis,"There are 1,400 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BOx5IgBAWjW/ "
2016-12-27,62169540,"Indianapolis, IN",Trump responds to Obama's claims he could beat him in an election. Daybreak8 http://wp.me/p4ySt8-2iqr 
2016-12-26,1450400215,Indianapolis,"There are 1,407 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BOgQ3qzAqyf/ "
2016-12-26,62169540,"Indianapolis, IN",President Obama believes he could have won this year’s election if he were eligible to run for a third term. http://via.fox59.com/UbFp8 
2016-12-24,1450400215,Indianapolis,"There are 1,409 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BOZ24Xog1My/ "
2016-12-17,1450400215,Indianapolis,"There are 1,416 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BOIguenAfVW/ "
2016-12-16,1450400215,Indianapolis,"There are 1,417 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BOGjRDHAJOx/ "
2016-12-16,3394115025,"Brownsburg, IN","""[Not accepting the result of an election] is a direct threat to our democracy."" - Hillary Clinton (Oct 2016) pic.twitter.com/U4nzV77iLP"
2016-12-15,1450400215,Indianapolis,"There are 1,418 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BOEHXp-Aa5I/ "
2016-12-13,1450400215,Indianapolis,"There are 1,420 days until the next presidential election. I have resolved to post each day…  https://www.instagram.com/p/BN9j6rLA18d/ "
