date,user_id,location,tweet
2016-11-05,70949821,"Milwaukee, WI","Mike Gousha, David Muir, Election Night LIVE on WISN12 Tuesday, Nov. 8th starting at 4 PM @WISN12News  http://toplocalnow.com/us/milwaukee "
2016-11-05,70949821,"Milwaukee, WI","It's a dream for many Muslims to study in the US. This election, regardless of the outcome, will change that.  http://www.jsonline.com/story/news/crime/2016/11/04/fbi-joins-probe-into-saudi-students-death-uw-stout/93303158/ …"
2016-11-05,29343455,"Milwaukee, WI;Highwood, IL",Election night via Bobblehead at the Admirals game @ UW-Milwaukee Panther Arena  https://www.instagram.com/p/BMcg-BYg8k_/ 
2016-11-05,40750167,"Waukesha, WI",I voted. <Emoji: Flag of United States>#IVoted #Election #MAGA #WIright #MakeAmericaGreatAgain #Trump #TrumpPence2016…  https://www.instagram.com/p/BMcLuddgvXg/ 
2016-11-05,70949821,"Milwaukee, WI","After you vote turn to WISN12 for complete election coverage. Tuesday, Nov. 8th starting at 4 PM. @WISN12News  http://toplocalnow.com/us/milwaukee "
2016-11-05,70949821,"Milwaukee, WI","Turn to WISN12 on Tuesday, Nov. 8th all night long for election results starting at 4 PM. @WISN12News  http://toplocalnow.com/us/milwaukee "
2016-11-05,70949821,"Milwaukee, WI","At the end of this election season, John Gurda votes for fall  http://jsonl.in/ZXHh305SrFE "
2016-11-04,70949821,"Milwaukee, WI","FBI, NYPD assess possible al-Qaida threat on US election eve  http://dlvr.it/MbPntc "
2016-11-02,70949821,"Milwaukee, WI",Charles Franklin is in the room. The final MULawPoll before the election is minutes away. @TheoKeith  http://toplocalnow.com/us/milwaukee 
2016-11-02,70949821,"Milwaukee, WI",":: The I-TEAM reviewed 828,684 voter records from 11/2012. We found zero evidence of ""zombie voter"" election fraud.…  https://twitter.com/i/web/status/793823229517426688 …"
2016-11-01,47327185,Milwaukee,"Yeah, basically the standard Republican argument now is that election results aren't legitimate if Dems win"
2016-10-31,70949821,"Milwaukee, WI",LIVE: Election officials hold news conf. on voter ID at 1:30pm WATCH http://fox6now.com/live-stream-2 
2016-10-30,70949821,"Milwaukee, WI","Donald Trump, Mike Pence to campaign in Eau Claire on November 1st, one week before the election:…  https://twitter.com/i/web/status/792811759665045504 …"
2016-10-30,70949821,"Milwaukee, WI",Have up until Thursday before Election to change vote three times  http://bit.ly/2enQtyJ 
2016-10-27,70949821,"Milwaukee, WI","VP nominee Tim Kaine plans to make two stops in Wisconsin Tuesday, exactly one week before election day  http://www.jsonline.com/story/news/politics/elections/2016/10/27/tim-kaine-make-two-stops-wisconsin/92822256/ …"
2016-10-26,74339133,"Milwaukee, WI","#ivoted #election #electionday @ Milwaukee, Wisconsin  https://www.instagram.com/p/BMCv0CfBLAd/ "
2016-10-26,70949821,"Milwaukee, WI","Citing ""intimidating"" environment, Wisconsin's Dem congressional delegation asks federal DOJ to oversee election in…  https://twitter.com/i/web/status/791374152968048643 …"
