date,user_id,location,tweet
2017-05-07,63964871,"Columbus, OH",Emmanuel Macron wins France's presidential election  http://bit.ly/2qGuAUV 
2017-05-02,462115990,Pataskala,Polls have been closed for nearly an hour. Waiting on the SWL and Licking Heights school election results. #nanow
2017-05-02,730870325978628096,"Columbus, OH",If you have an election today get out and vote! @ Barack Recreation Center  https://www.instagram.com/p/BTlyfIqhbG5/ 
2017-05-02,14410699,"Columbus, OH",Being election official! Come vote! It is primary day in ohio! One voter so far. <Emoji: Unamused face>  https://www.swarmapp.com/c/1UgD4WOXm9P  pic.twitter.com/5KWIu2mIbD
2017-05-02,181045321,"Columbus, Ohio","Election Day Voting Location (@ St. Lukes United Methodist in Columbus, OH) https://www.swarmapp.com/c/dtMAGo7JlRA "
2017-05-02,47198049,Ohio|International|Earth|,Just got to my office for the day! Helping Franklin Country on this Election Day! Make sure you…  https://www.instagram.com/p/BTlZVa2l-Kr/ 
2017-04-26,3835893017,32301,Beautiful evening in Columbus OH. Election Center workshop this…  https://www.instagram.com/p/BTXfOcOlYZt3ceopGy6nX_oYlXvBCDE5r3Fczw0/ …
2017-04-26,808076106515546112,"Columbus, OH",Before the 2018 election we have the 2017 election. Before the 2017 election there is a primary.…  https://www.instagram.com/p/BTXczSolJlD/ 
2017-04-25,518009849,"Columbus, Ohio","When people try to point out the 2016 election map, keep in mind he actual population density of…  https://www.instagram.com/p/BTT6a7chHWC/ "
2017-04-25,63964871,"Columbus, OH","Trump election is sign of America’s moral decline, Kasich writes in new book http://toplocalnow.com/us/columbus/at/7#t3153670 …"
2017-03-08,1076885569,"Worthington, OH",I had no communications with any Russians before the election. That's my story and I'm sticking…  https://www.instagram.com/p/BRZMe1gDq6Q/ 
2017-03-05,1304535632,,@wsyx6 you report- Trump has no proof of Obama wiretapping- but broadcast Russian election influence against Trump with no proof!
2017-02-17,272519300,"I, oftheStorm.","Yeah, like the US has absolutely NEVER interfered or influenced a foreign election before. Putin just late to the game."
2017-02-08,63964871,"Columbus, OH","Columbus trends now: Trump, Richard Hatch, White House, Election Assistance Commission, New Orleans East.  http://toplocalnow.com/us/columbus/topics …"
