date,user_id,location,tweet
2016-11-06,2970200015,,"@MattJonesRadio @MSBellamy80 and for a third election in a row KY will get it wrong!  Just like they have with Rand, Mitch, and Matt Bevin"
2016-11-04,1602230976,"Louisville, KY","It's critical that we get out the early vote, people. Don't wait until Election Day! Please...go…  https://www.instagram.com/p/BMZMFUfjDpj/ "
2016-11-04,8361112,"Louisville, Kentucky",Civic duty done!  I'll be in Madrid with 3 Brits on Election Day.... (@ Election Center Edison Building) https://www.swarmapp.com/c/bvy7dmPzaPK 
2016-11-01,2970200015,,@realDonaldTrump @ShennaFoxMusic women for Trump have to be the stupidest group in this whole election after how he treats women.
2016-10-31,25559010,"Louisville, KY","Early voting due to being out of town. (@ Election Center Edison Building in Louisville, KY) https://www.swarmapp.com/c/itH5TNxYUpe "
2016-10-31,477422854,,"Come on, let's not let ""the man"" take this election from us. Let's support and vote for ""the qualified woman"", VOTE Hillary, Make history."
2016-10-28,477422854,,"Election 11 days, not from private server, realavace unknown,  should have been vetted for relavance first.  http://m.huffpost.com/us/entry/us_58138552e4b0990edc30cb36 …"
2016-10-28,21488691,"DeerfieldBeach, FL",Going to be a weird next few days leading to the election. https://twitter.com/wikileaks/status/792053623882735616 …
2016-10-27,300452395,,I've officially cast my vote for the Nov. 8th election! #NastyWomanForTheWin hillaryclinton @…  https://www.instagram.com/p/BMFTJRDAvyC/ 
2016-10-25,477422854,,"ACA  held down increases,  insurance companies are trying to influence election by throwing un-needed increase now. pic.twitter.com/ysEKSM7RJJ"
2016-10-20,477422854,,Trump thinks he doesn't have to except the election results because he saw Repub. except Obama in word but not work toward the nation's good
2016-10-19,2767537919,"NewAlbany, Indiana","Drink one of these, you'll be saying ""What Election?"" #tapinfuser #brewedonsite @ Floyd County…  https://www.instagram.com/p/BLw8Qt8B9RK/ "
2016-10-15,1602230976,"Louisville, KY","Walk the talk...I'm dialing for Hillary every Saturday and Sunday until Election Day, November…  https://www.instagram.com/p/BLmI3CyjnAP/ "
2016-10-11,228520968,"Vail, CO","With all the stresses of the election and the debate, we just thought this was funny. #cbdluxe…  https://www.instagram.com/p/BLb9RJugKn7/ "
2016-09-27,477422854,,Then vote every election. Let's unite  and vote to ensure we all have a chance to succeed.
2016-09-25,477422854,,"Putin ( Russia ), Kim Jong-il (North Korea ), support Trumps election. This by itself should disqualify him for president."
2016-09-24,230781815,"Louisville, Ky",Best. Sign. Ever.  #trump #election #humor #quotes #instagram #funny @ The Early Homestead  https://www.instagram.com/p/BKwTAWMDqZK/ 
2016-09-09,128002885,"Louisville, KY",@VilleDesign Happy First (second) Friday from @villedesign. Theme: election pages. @ Louisville Design Studio  https://www.instagram.com/p/BKJp-rNAMG_/ 
2016-08-08,477422854,,"Journalists need to ask Trump for evidence the election must be rigged, if he losses. http://m.huffpost.com/us/entry/us_57a89490e4b03ba68012f40b …"
2016-07-29,105913294,"portland, OR",Perfect election year bourbon. #scampaway @ Bulleit Distillery  https://www.instagram.com/p/BIeGnoMAgB8/ 
2016-07-29,3136179427,"Louisville, KY#502ComeUp",This election is death of our future !!
2016-07-01,95579730,LouisvilleKY,"Purge!!!! (@ Xscape Theatres Blankenbaker 14 for The Purge: Election Year in Louisville, KY) https://www.swarmapp.com/c/4VdeRrNdd89 "
2016-05-17,16478966,"Louisville, KY","Watching KY election returns. (@ Amici - @cafeamici in Louisville, KY)  https://www.swarmapp.com/c/c6jiwWMSHK9 "
2016-05-17,934583012,Tardis,another Election Day spent not voting with the best people you could…  https://www.instagram.com/p/BFhfTe5xvhfnVV0EtdI-AfY_Jlbby5jUq7tuyE0/ …
2016-05-12,9832,"Louisville, KY","I'm at Jefferson County Clerk's Office Election Center in Louisville, KY https://www.swarmapp.com/c/b6du5A9xN2r "
2016-05-03,1692216337,Indiana,It's Election Day in Indiana! This means as parents we have the…  https://www.instagram.com/p/BE9qUxIudsLNuyMzcRUEJtpYnRjy3shf878iu00/ …
2016-05-03,14522265,"FloydsKnobs, In",Whew. This was the most distressed I have been over an election. I don't know if it was the…  https://www.instagram.com/p/BE9VO5dMDV2/ 
2016-05-03,48394622,Kentucky,I exercised my right to #vote today! Have you? #voted #indiana #indianaprimary #election…  https://www.instagram.com/p/BE8jG89Rr3L/ 
