date,user_id,location,tweet
2016-11-06,84592774,"Memphis, TN","Election day is just 48 hours away and we want everyone to know that no matter what, #GodWins!…  https://www.instagram.com/p/BMeNVpHDRbz/ "
2016-11-04,96245212,"Memphis, TN","I voted! Did you?! Go vote on Tuesday!!! @ Shelby County, TN Election Commission  https://www.instagram.com/p/BMZb7hdg9rK/ "
2016-11-03,15532687,"Clevand, MS",Im pretty glad my show on the 8th is a house show so ppl won't be glued to election coverage on bar TVs
2016-11-01,85389017,"Memphis, TN",It's (Mock) Election Day at VCP! Scholars cast their votes at lunch today in the Tennessee…  https://www.instagram.com/p/BMRzUXqh8Ur/ 
2016-11-01,109456012,NewOrleans/Memphis,7days until this Election Circus ends...
2016-10-28,585297812,"Memphis, TN","Election Season the Collegiate Way! Our scholars were polled on important political topics,…  https://www.instagram.com/p/BMHyUwBjNQg/ "
2016-10-25,403710553,"Collierville, TN",Our new yard sign accurately explains how the Dedmon household feels this election. @…  https://www.instagram.com/p/BL_7Kh6D6Ht/ 
2016-10-25,408182282,"Memphis, TN",DA: Justin Timberlake's selfie may have broken election laws - I thought you might be interested in (cont)  http://tl.gd/nn2483 
2016-10-25,251415423,"Memphis, TN",DA: Justin Timberlake's selfie may have broken election laws - I thought you might be interested in (cont)  http://tl.gd/nn2483 
2016-10-25,18690723,"Nashville, UnitedStates",DA: Justin Timberlake's selfie may have broken election laws - I thought you might be interested in (cont)  http://tl.gd/nn2483 
2016-10-24,263856531,Eyeamallover!,I have voted in every election and actually was going to exercise my right NOT to vote in this…  https://www.instagram.com/p/BL9siVYgj45/ 
2016-10-23,3098321542,,"@am @AM Joy thank you for truth on NAFTA,that George Bush,initiated the deal in,1992,in Oct.before he lost election to Clinton.Congress approved"
2016-10-20,3098321542,,"Trump,said he will not contest the election""If I Win"".This is a vile man,accusing Hillary of Voter Fraud,& causing disruption at his rally!"
2016-10-20,3098321542,,"Joe Scarborough/ Morning Joe,you are an idiot,this is not a joke!You know what Trump said about not accepting the election results.Get Real!"
2016-10-19,3098321542,,"""@jheil: Trump's refusal to say he will accept the results of the election is, in the truest sense of an overused word, disqualifying."""
2016-10-19,109456012,NewOrleans/Memphis,How is Clinton saying the election isn't rigged when she and @RepDWStweets Manipulated and Rigged the #DNC Primaries #DebateNight #Debate
2016-10-19,3098321542,,"Here we go,Trump is going to contest the election.This idiot is dangerous!He Is off the rails again! Total meltdown coming in seconds!"
2016-10-18,3098321542,,"""@colinjones: President Obama on Trump claiming the election is rigged: ""I'd invite Mr. Trump to stop whining""  pic.twitter.com/Rv9CP3WPkV"""
2016-10-17,3098321542,,"Darrell Issa, Obama antagonist and Trump booster, faces toughest election of his life  http://www.huffingtonpost.com/entry/darrell-issa-doug-applegate-trump_us_58038d74e4b06e04759557c5?ncid=engmodushpmg00000004 … via @HuffPostPol"
2016-10-16,3098321542,," http://Will.I.AM . on AM Joy ,talking about the election,had me in tears.He is so passionate about Hillary being POTUS,not Trump!"
2016-10-15,27369699,"Chicago, IL",Tell me again how you're not voting in this election??? @ National Civil Rights Museum  https://www.instagram.com/p/BLluwjllvwP/ 
2016-10-11,275853856,UnivofMississippi,Had to document participating in my very first Presidential election…  https://www.instagram.com/p/BLb6qTogBAHT68JNf2DcwHcgjyB1eTPdUd0IRk0/ …
