date,user_id,location,tweet
2016-11-06,452483362,"Massachusetts, USA","you need to be here that night, you know it....i know it...that election is gonna drive you to…  https://www.instagram.com/p/BMfJ3EIjSH8/ "
2016-11-06,72447302,Boston,"@CafeteriaBoston On Tuesday, November 8th @cafeteriaboston will be serving up our election burgers!! Democrat or…  https://www.instagram.com/p/BMfG5-HjVb0/ "
2016-11-06,70291924,"Boston, MA",Comey announcement came in a letter to congressional lawmakers two days before Election Day.  http://bos.gl/1QIo3nh 
2016-11-06,500611941,,"They said it was most crucial election in it's history...so went to find out for myself!!!!Also, if Trump wins.. I might not be allowed"
2016-11-06,38844197,ATLBostonLA&International,"#HappySunday Folks! <Emoji: Sun with face>#Praying for folks on this Election Cycle because we know how stressful,…  https://www.instagram.com/p/BMelW9YAfgL/ "
2016-11-06,774875426,Boston,No Election Zone Sunday 2-4pm 90.3fm Boston  http://www.wzbc.org  Interview with Ny-Jah regarding The…  https://www.instagram.com/p/BMdq8WegtvV/ 
2016-11-05,70291924,"Boston, MA","Russian media has a preference in US election, and it’s Donald Trump http://bos.gl/ykQlnHi "
2016-11-05,700256335,"Brighton, MA",Room 102 is ready to #vote with the rest of the Baldwin on Monday. <Emoji: Flag of United States> #election #election2016 @…  https://www.instagram.com/p/BMb8_73gmb4/ 
2016-11-05,482512627,"Brookline, MA",Covering all my post-election bases & cleaning simultaneously. Silver lining? #freestuff…  https://www.instagram.com/p/BMbmo41Aa4B/ 
2016-11-04,20659340,SomervilleBostonBrooklyn,Election time warning from sav-more liquors. #somerville #election2016 @ SavMor Spirits  https://www.instagram.com/p/BMZ_6tLgKeZ/ 
2016-11-04,19598596,CambridgeMA,<Emoji: Bottle with popping cork> Champagne for the Campaign <Emoji: Bottle with popping cork> link in bio <Emoji: Collision symbol>late night Election Day party 9-12 @ Craigie On Main  https://www.instagram.com/p/BMZzg7mA-LG/ 
2016-11-04,70291924,"Boston, MA",Dave Chappelle will host SNL -- just in time for the post-election fodder http://bos.gl/wK7HbYd 
2016-11-04,17275725,"Boston, MA",Election Day. Tuesday!  Allow for atleast an hr for voting. @ Shelburne Community Center  https://www.instagram.com/p/BMZZ9EIhVit/ 
2016-11-04,70291924,"Boston, MA",Final jobsreport before Election Day shows unemployment rate ticked down from 5 percent to 4.9 percent in Oct.…  https://twitter.com/i/web/status/794521172784381952 …
2016-11-04,70291924,"Boston, MA","US economy added 161,000 jobs in October, according to final jobsreport before Election Day http://bos.gl/bCoc4lv "
2016-11-04,171773044,"Boston, MA","""This election is enormously important for the future of this country. It is imperative that we…  https://www.instagram.com/p/BMY2QkKFQih/ "
2016-11-04,70291924,"Boston, MA",Nation on alert for election hacking  http://bhne.ws/vLtW4QT 
2016-11-03,19993099,"ÜT:42.335176, -71.105538",Washing away the guilt of having to vote this election. - Drinking  The Wrath of Gosh @ Mystic Brewery -  http://untp.beer/s/c378702582 
2016-11-03,70291924,"Boston, MA","Five days before the election, Hillary Clinton no longer has a lock on N.H., according to new Globe/Suffolk poll…  https://twitter.com/i/web/status/794292337358815232 …"
2016-11-03,409737222,"Boston, MA",Line out the door to vote. I hope this is best voter turnout of any election. #imwithher #humans…  https://www.instagram.com/p/BMW38q-jbZN/ 
2016-11-03,38844197,ATLBostonLA&International,My President @BarackObama gave another drop the mic speech about how important this election is.…  https://www.instagram.com/p/BMWvRJDgRd0/ 
2016-11-02,14186724,"Boston, MA","""Vote early!"" they said. ""Avoid the long lines on Election Day!"" they said. Oh, brother. @…  https://www.instagram.com/p/BMU2fFNDKGb/ "
2016-11-02,763765398537900033,"Newtonville, MA",#<Emoji: Peace symbol>11.9.16 ... listen ya'll in a week the #election will be over. Half of us will be…  https://www.instagram.com/p/BMUi1_PAM9-/ 
2016-11-02,70291924,"Boston, MA",The MSPCA-Angell has a way for you to rid yourself of that election stress: A new feline friend…  https://twitter.com/i/web/status/793860012984655872 …
2016-11-02,110841217,LostInTheMusic,They've been releasing secrets since 2010 RT @PettyCo_: What did Wikileaks do before this election?
2016-11-02,1197291,"Cambridge, MA","Time out from election coverage for what matters. Grandson at play. @ Cambridge, Massachusetts  https://www.instagram.com/p/BMT4cqbjMBo/ "
2016-11-02,70291924,"Boston, MA",Louis CK says he would take Hillary Clinton 'over anybody' in the presidential election http://bit.ly/2e1wJ85 
2016-11-01,1937283350,"Saharanpur, UttarPradesh, India","CNN, USA today election survey, Hillary Clinton46% Trump 42%, margin is very narrow but hopes Hillary Clinton likely to win"
2016-11-01,70291924,"Boston, MA","One week before Election Day, Starbucks unveils a new cup that is meant to be ‘‘a symbol of unity.’’…  https://twitter.com/i/web/status/793555987236057093 …"
2016-11-01,2247290351,"KendallSquare, Cambridge, MA",Save the date! Election Night 2016 Party (or what did we do to deserve this) Tuesday November…  https://www.instagram.com/p/BMSChRIFxl3/ 
