date,user_id,location,tweet
2016-11-04,108193922,Albuquerque,Clergy and People of Life...What would preborn babies say about this election?  Fr. Terry…  https://www.instagram.com/p/BMaCGDCD6PW/ 
2016-11-04,35287196,TheSpeedForce,"Anybody stop and think that maybe the 2016 Election is a result of Flashpoint? Damn you, Flash. @grantgust #NerdCityFC"
2016-11-03,108193922,Albuquerque,Clergy and People of Life...What would preborn babies say about this election?  Fr. Terry…  https://www.instagram.com/p/BMXLc73j27y/ 
2016-11-03,108193922,Albuquerque,Clergy and People of Life...What would preborn babies say about this election?  Fr. Terry…  https://www.instagram.com/p/BMXLXUoDk9v/ 
2016-11-03,35287196,TheSpeedForce,@baseballcrank I think there’s still value in depressing Election Day turnout.
2016-11-03,65951402,BirminghamAL,#weld article breaks down the election drama but I had to have coffee first.#imwithher…  https://www.instagram.com/p/BMW4xUABAhx/ 
2016-11-02,20709292,Birmingham/MuscleShoals,It was November of 2016 and the shittiest election in our nation's history was a week away and we were all captivated by baseball.
2016-11-02,35287196,TheSpeedForce,Another theme of the 2016 election: https://twitter.com/ByCommonConsent/status/793812777081065474 …
2016-10-31,35287196,TheSpeedForce,“Stalin wasn’t a great man” might be the biggest understatement of the entire election season. https://twitter.com/BiggyWyoming/status/793120491720417280 …
2016-10-30,394075952,"Tuscaloosa, AL","Bought a new AR for the election, but don't know what to put on it.  The Vortex Strike eagle is…  https://www.instagram.com/p/BMMdvSxD8Ih/ "
2016-10-28,35287196,TheSpeedForce,There’s an argument to be made as well that early voting can harm Election Day turnout.
2016-10-28,35287196,TheSpeedForce,There are other ways to help people vote on Election Day. Just need to get creative.
2016-10-28,35287196,TheSpeedForce,Can we just put George H. W. Bush into office for one year and redo this election?
2016-10-27,35287196,TheSpeedForce,Can you please stay? We needed you this entire election. And I didn’t get to hear you try and talk me out of law school.
2016-10-23,35287196,TheSpeedForce,"The National Enquirer didn’t count?!Seriously, getting a newspaper endorsement on October 23 is pretty good.The election is WHEN? https://twitter.com/thehill/status/790246670722330624 …"
2016-10-22,35287196,TheSpeedForce,"Yes, me, the low information voter. I know so little about this election and about national politics.  https://twitter.com/TrumpTheHedgeho/status/790047904371126272 …"
2016-10-21,20709292,Birmingham/MuscleShoals,"""I woulda voted,"" one supporter said. ""But having an election in November is selfish. Don't mess with my football!!"" https://twitter.com/aldotcom/status/789469754574704640 …"
2016-10-18,20709292,Birmingham/MuscleShoals,"@whduncan @gbdawkins @eazyrooster I'm just a dummy that reads the maps on election night. My apologies, Eazy."
2016-10-17,35287196,TheSpeedForce,"Which local election feature is more ridiculous: California ballot initiatives, or Alabama constitutional amendments? https://twitter.com/aldotcom/status/787988238891880448 …"
2016-10-15,20709292,Birmingham/MuscleShoals,"If the lamestream media IS rigging a U.S. election for the first and only time in 227 years, I'm glad it's the year the bigot is running."
