date,user_id,location,tweet
2016-11-06,57976284,Philadelphia,City of Philadelphia files for injunction to halt Septa strike for Election Day FOX 29  http://toplocalnow.com/us/philadelphia 
2016-11-06,57976284,Philadelphia,City of Philadelphia files injunction to temporarily halt the SEPTA strike for Election Day.  http://toplocalnow.com/us/philadelphia 
2016-11-06,57976284,Philadelphia,"UPDATE: Bruce Springsteen to join Clintons, Obamas at Independence Hall rally on night before Election Day…  https://twitter.com/i/web/status/795371867829891072 …"
2016-11-06,131242827,"Washington, DC",As Democratic presidential candidate Hillary Clinton made a final blitz ahead of Election Day…  https://www.instagram.com/p/BMfEdlugPhL/ 
2016-11-06,141841845,LosAngeles,Spent the day canvassing in Philly.  Election Day is this Tuesday.  VOTE VOTE VOTE…  https://www.instagram.com/p/BMe61gHBYwp/ 
2016-11-06,3074911631,"Philadelphia, PA","""Curiosity killed the cat"". The Curio will be televising the election results Tuesday 7…  https://www.instagram.com/p/BMe5_CsDEp_/ "
2016-11-06,1353093818,DC|A2|Swat,Do YOU have a plan to get to the polls on Election Day? #GOTV…  https://www.instagram.com/p/BMe0PeBBxSzYV57E_naM2CrEL_UnfiCgPJG_eU0/ …
2016-11-06,165461203,"Philadelphia, PA",I DON'T WANT TO SEE ALL THESE ELECTION COMMERCIALS <Emoji: Reversed hand with middle finger extended> @…  https://www.instagram.com/p/BMey0gvhgObsqH1iU-gHdrgdOZMe0NV0l-Nn0A0/ …
2016-11-06,84749132,Philly,Bernie Sanders catching some rest. He's ready for this election to be over.…  https://www.instagram.com/p/BMetIGih2Zw/ 
2016-11-06,79633930,"Miami, FL","After spending the weekend observing history, this election without a doubt, holds the highest…  https://www.instagram.com/p/BMerMmDD6sA/ "
2016-11-06,27055034,"Washington, D.C.","Hillary Clinton attends Sunday services in Philadelphia, two days before the election. @ Mt Airy…  https://www.instagram.com/p/BMerHHmAQov/ "
2016-11-06,57976284,Philadelphia,SNL's final episode of the 2016 presidential election cycle welcomed a handfil of surprise guests…  https://twitter.com/i/web/status/795285373643526145 …
2016-11-06,4725746957,,There is extreme worry that the @SEPTA strike here in #Philly will lower voter turnout costing #HillaryClinton PA and therefore the election
2016-11-06,281815704,,This SEPTA strike just in time for Election Day smells like a setup to ya girl. But that's just me.
2016-11-06,57976284,Philadelphia,"'SNL' pokes fun at Clinton, Trump before Tuesday's election  http://6abc.cm/2fdWQW9 "
2016-11-06,182945266,"Philadelphia, PA",T-minus <Emoji: Keycap digit two> days until the 2016 Presidential Election <Emoji: Flag of United States> #PhiladelphiaSunday @phillymag @…  https://www.instagram.com/p/BMeAuzKgzyF/ 
2016-11-06,57976284,Philadelphia,Get a free 'I Voted' Krispy Kreme doughnut on Election Day  http://bit.ly/2ebKDV2 
2016-11-05,708449478689300484,,Looking to pick up a #NEW Netflix show before the election! Try binge watching   Netflix's New…  https://www.instagram.com/p/BMdC_n3hFdn/ 
2016-11-05,57976284,Philadelphia,"Clintons, Obamas to hold final rally in Philly at Independence Hall on night before Election Day…  https://twitter.com/i/web/status/795072604235239424 …"
2016-11-05,310671745,"NewYork, NY",Surviving election season one drink at a time <Emoji: Wine glass><Emoji: Flag of United States> @ Bistrot La Minette  https://www.instagram.com/p/BMcxuTlgS7-/ 
2016-11-05,66413399,"Philadelphia, PA",Party Lines Election Night Special   http://www.joemessinacomedy.com/shows/2016/11/8/party-lines-election-night-special …
2016-11-05,30057924,suburbsoutsidePhilly,No matter who you're voting for...the important thing in this election...is to grab some fuckin…  https://www.instagram.com/p/BMcfdGlBKCu/ 
2016-11-05,19673678,Philadelphia,It's Skaturday! Just in time to help you get through the last couple of days of election season!…  https://www.instagram.com/p/BMcRGBFAx-o/ 
2016-11-05,613968190,TheDistrictofColumbia,Talking to voters in Pennsylvania about the importance of this election! #GOTV #imwithher @…  https://www.instagram.com/p/BMcJvrBA8t1/ 
2016-11-05,394451363,,What Do You Guys Do If He Wins ?? Real Swamp Draining Can Come With Election Reform. Does Your Win Go as Far as Energy Weapons and Slavery ?
2016-11-05,394451363,,That's What We Need Left and Right !!! None of Your Leaders and Politicians or Military Wants You to Get the Hole Thing.Election Reform !!
2016-11-05,16845218,,"After all the chaos I stirred this election season, I was going to be damned if I didn't…  https://www.instagram.com/p/BMbeorzBwlu/ "
2016-11-05,57976284,Philadelphia,It's possible thousands of votes in Delaware County could go challenged after the election.  http://bit.ly/2fDrigT 
2016-11-05,57976284,Philadelphia,Zipcar making more than 300 cars free on election night  http://bit.ly/2evub0C 
2016-11-04,17746320,Philadelphia,@DebraMessing Huge crowds outside Knock for the start of the LGBT election bar crawl with @debramessing!…  https://www.instagram.com/p/BMaSRFYDA88/ 
2016-11-04,394451363,,The Machine Bakes EVERYBODY into Nothingness. Even the Owners. Sign Up and Join the Coup !!! We Don't Need a Fraud Fuck Election Anyway.
2016-11-04,123076523,WestChesterPA,Last Friday before the Election & First Friday in West Chester! Get in the spirit <Emoji: Tropical drink>…  https://www.instagram.com/p/BMZcKeaABmQ/ 
2016-11-04,57976284,Philadelphia,Zipcar offering free rides to Philly residents on Election Day. Check out the details.  http://bit.ly/2evub0C 
2016-11-04,3005802411,104S.13thSt.Philadelphia,Come in this weekend for HUGE SAVINGS on our election collection before it's gone! Please call…  https://www.instagram.com/p/BMZYSvnAzwZ/ 
2016-11-04,57976284,Philadelphia,SEPTAStrike Enters Day 4. Justin Finch has the latest on what the strike could mean for Election Day…  https://twitter.com/i/web/status/794514640495669248 …
2016-11-04,57976284,Philadelphia,CBS News Sources: Al Qaeda Could Be Planning Attacks Monday Before Election Day  http://cbsloc.al/2eGitOn 
2016-11-03,57976284,Philadelphia,"Another raid on firm registering voters for Dem candidates/causes. Evidence of a ""rigged election?"" edo…  https://twitter.com/i/web/status/794350519716298758 …"
2016-11-03,74199129,Philly,@DTEMIR This Saturday Night #Election Day ...My guys @dtemir x thekid_qua | Voting Location: 1925lounge…  https://www.instagram.com/p/BMXqFlhjNF2/ 
2016-11-03,57976284,Philadelphia,SEPTA confirmed no injunction filed Thursday to force strikers to work Election Day. Not ruling it out though…  http://toplocalnow.com/us/philadelphia 
2016-11-03,43797909,"NewCastle, DE","Join us this Monday for our Election Eve, Get Out The Vote, Rally in Wilmington! Come out and…  https://www.instagram.com/p/BMXOOrzgW2S/ "
2016-11-03,3021618725,GreaterPhiladelphialocations,Have you moved since the last election? Do you usually take public transportation to your…  https://www.instagram.com/p/BMW_F0pBxS8/ 
2016-11-03,394451363,,The Gonna Have to Do Election Reform. Anyway MAKE SURE YOU GET THE FULL CRISP !!!! Orrrrrrrrr DONT !!! DUMMY'S !!!!
2016-11-03,57976284,Philadelphia,"JUST IN: Hillary Clinton will campaign in Philly night before election - joined by President Obama, Michelle Obama,…  http://toplocalnow.com/us/philadelphia "
2016-11-03,1099745624,Philadelphia,Open and starting another action filled day! It's nice fall weather. Election day is soooon.…  https://www.instagram.com/p/BMWt4mIA6Ee/ 
