date,user_id,location,tweet
2017-05-02,70949821,"Milwaukee, WI","Agree or disagree? Hillary Clinton says if election was on Oct 27 ""I would be your president” - Comey letter &…  http://toplocalnow.com/us/milwaukee/at/14#t3408975 …"
2017-04-25,70949821,"Milwaukee, WI",Wisconsin DOJ: James O'Keefe's Project Veritas tape did not show election law violations via Journal Sentinel https://jsonl.in/2pigJTr 
2017-04-23,70949821,"Milwaukee, WI",Le Pen faces Macron in final round of French presidential election http://toplocalnow.com/us/milwaukee/at/17 …
2017-04-22,70949821,"Milwaukee, WI",France votes in presidential election after eventful campaign  http://dlvr.it/NyTZf8 
2017-04-19,70949821,"Milwaukee, WI",UK Prime Minister Theresa May to seek early election http://bit.ly/2pAEcNo 
2017-04-18,70949821,"Milwaukee, WI",Georgia special election goes to runoff  http://toplocalnow.com/us/milwaukee/at/23 …
2017-04-18,70949821,"Milwaukee, WI",Official: French police thwart terror attack days before election http://toplocalnow.com/us/milwaukee/at/7 …
2017-04-16,70949821,"Milwaukee, WI",Trump’s election altered partisans' assessments of the economy’s actual performance. via Craig Gilbert  http://toplocalnow.com/us/milwaukee/at/noon …
2017-04-10,70949821,"Milwaukee, WI","After a bruising national election in November, Democrats in Wisconsin saw a glimmer of hope last week  http://toplocalnow.com/us/milwaukee/at/noon …"
2017-04-05,70949821,"Milwaukee, WI",Turnout reaches 16 percent in Wisconsin spring election http://on.tmj4.com/2nXByRB 
2017-04-04,70949821,"Milwaukee, WI",Spring general election: POLLS ARE CLOSED! Results HERE as they come in  http://toplocalnow.com/us/milwaukee/at/20 …
2017-04-04,29343455,"Milwaukee, WI;Highwood, IL",Voting in an extremely low turnout election as even Supreme Court justice ran unopposed ! Now…  https://www.instagram.com/p/BSe5b-ghx2F/ 
2017-04-04,29874724,"Milwaukee, WI","@MilwaukeePubLib Voting! Every election is important!! (@ Centennial Hall - @milwaukeepublib in Milwaukee, WI) https://www.swarmapp.com/c/6f9jQz2RTNW "
2017-04-04,70949821,"Milwaukee, WI",Spring Election: What you need to know about today's ballot  http://bit.ly/2nTtVeS 
2017-04-04,31159879,WaukeshaMilwaukeeWisconsin,"Spring Election please vote (@ Evangelical And Reformed Church in Waukesha, WI)  https://www.swarmapp.com/c/2OsP1VTkSkQ  pic.twitter.com/hHU390PQ8T"
2017-04-04,70949821,"Milwaukee, WI","It's election day in Wisconsin! $60 wheel tax in MKE Co., school funding topping ballots. Poling places http://www.wisn.com/article/find-out-where-to-vote-1/6322700 …"
2017-03-19,70949821,"Milwaukee, WI",Four of the nine seats on the Milwaukee MPS board of directors are up for grabs in the April 4 election.  http://toplocalnow.com/us/milwaukee/at/noon …
2017-03-16,70949821,"Milwaukee, WI",Sen. Intelligence Committee leaders say no evidence of Trump Tower wiretapping before or after election:…  http://toplocalnow.com/us/milwaukee/at/13 …
2017-03-11,70949821,"Milwaukee, WI",'Game Change' reporting team to write about Trump election  http://toplocalnow.com/us/milwaukee/at/23 …
2017-03-04,70949821,"Milwaukee, WI",Trump says Obama had his 'wires tapped' prior to election http://toplocalnow.com/us/milwaukee/at/6 …
2017-02-27,70949821,"Milwaukee, WI",Bernie Sanders says he’s not ‘impressed’ with DNC election process  http://bit.ly/2mBwP6e 
2017-02-24,70949821,"Milwaukee, WI",Wisconsin Attorney General Brad Schimel asks Supreme Court to reinstate election maps http://ow.ly/8dRK309kRv4 
2017-02-21,70949821,"Milwaukee, WI","Evers, Holtz to face off in April general election for state superintendent  http://toplocalnow.com/us/milwaukee "
2017-02-21,21473643,"Milwaukee, Wi",Every election counts. GO VOTE! @ Milwaukee High School of the Arts  https://www.instagram.com/p/BQyNvRfDRn3/ 
2017-02-21,19007410,"Milwaukee, WI",#vote #election #civicduty @ Park View Elementary  https://www.instagram.com/p/BQx6QEjglWZ/ 
2017-02-21,70949821,"Milwaukee, WI",It's election day in Wisconsin! Polls are open from 7a-8p today statewide!  http://toplocalnow.com/us/milwaukee 
2017-02-21,70949821,"Milwaukee, WI",Primary election day in Wisconsin today! State school superintendent Tony Evers trying for a third term. Top 2 move…  http://toplocalnow.com/us/milwaukee 
2017-02-16,70949821,"Milwaukee, WI","NEW: One Wisconsin Now files complaint asking state to investigate ""election related bribery"" in state supt race.  https://drive.google.com/file/d/0B7dMaNVwU52nVTF1aS1sZHhfMnM/view …"
2017-02-15,421789887,WisKOCHsin,#AGENTORANGE did say the election was rigged. Collusion between #Russia and #trump. #dumptrump #impeachment #WhinyLittleBitch #america
2017-01-27,70949821,"Milwaukee, WI",Court to Wisconsin Republicans: Redraw election maps so they can be used in fall 2018 elections http://on.jsonl.in/2kbEs5T 
2017-01-16,70949821,"Milwaukee, WI",Facebook to begin warning users of fake news before German election  http://bit.ly/2jPa6lO 
2017-01-07,70949821,"Milwaukee, WI",Report on election hacking says Russia plans to do more http://dlvr.it/N3P0dd 
2017-01-07,70949821,"Milwaukee, WI",State election systems to get more federal aid for security  http://dlvr.it/N3NrNq 
2017-01-06,70949821,"Milwaukee, WI","Classified report on Russia, election hacking going to Trump  http://dlvr.it/N2ypyJ "
