date,user_id,location,tweet
2017-05-07,81913437,"Washington, DC","Security alert prompts evacuation of courtyard outside the Louvre, site of Macron's election night party:…  https://twitter.com/i/web/status/861193783224008704 …"
2017-05-06,814823735761010688,whereveryoulive,"United In a lot, she says."" Was there - on the fight with to be on board with at the general election."" Thank you to everyone."
2017-05-06,81913437,"Washington, DC",100 Photos of Protests Since Trump’s Election https://www.washingtonian.com/2017/05/03/photographs-trump-100-days-100-protests-dc/ …
2017-05-05,814823735761010688,whereveryoulive,On my lead in 1988 w/out musical instruments! Another new election that Ted Cruz 15% Rubio looks and Scrub and coal and nobody can continue.
2017-05-04,104718610,"Maryland, USA",SB1121 [Passed] Election Law - Candidate for Circuit Court Judge Defeated in Primary Election http://bitly.com/1VGI88B 
2017-05-04,104718610,"Maryland, USA",HB1382 [Passed] Election Law - Candidate for Circuit Court Judge Defeated in Primary Election http://bitly.com/WN6dih 
2017-05-04,104718610,"Maryland, USA",HB353 [Passed] Election Law - Change in Administrative Policy Affecting Voting Rights - Notice http://bitly.com/Y4Pl4R 
2017-05-03,81913437,"Washington, DC",100 Photos of Protests Since Trump’s Election https://www.washingtonian.com/2017/05/03/photographs-trump-100-days-100-protests-dc/ …
2017-05-03,15868626,DistrictofColumbia,Peak Vox. lol#republican #democrat #conservative #libertarian #gop #congress #election…  https://www.instagram.com/p/BTpShmFlGry/ 
2017-05-02,285710312,"Maryland, USA 🏳️‍🌈",The URTU ticket is the only option in this election for me. Every one of the candidates have…  https://www.instagram.com/p/BTnAVnaBTzO/ 
2017-05-01,621085182,UnitedStates,Scenes from Election Day #2. @ City of Mount Rainier  https://www.instagram.com/p/BTkdcb9jVhh/ 
2017-05-01,621085182,UnitedStates,Scenes from election day! #MtRMD @ City of Mount Rainier  https://www.instagram.com/p/BTkdYIljwU9/ 
2017-05-01,56779844,RiggsParkDC,"#Lrca may meeting and election (@ LaSalle Elementary School in Washington, DC) https://www.swarmapp.com/c/ak743EV7Npq "
2017-05-01,7214092,,"City election. (@ New Carrollton City Hall in Hyattsville, MD)  https://www.swarmapp.com/c/cj5iF5OzaSn  pic.twitter.com/7Yg76IlCML"
2017-04-29,615327247,UnitedStates,When I was releasing tears like a baby during the election scam thing...u guys thought I was crying for me...was doing it for the 15M mumu<Emoji: Face with stuck-out tongue and winking eye>
