date,user_id,location,tweet
2016-11-06,17262591,"ÜT:34.05809, -118.330466","Being that Bo's birthday is on Election Day, this coming Tuesday Nov 8, we started the…  https://www.instagram.com/p/BMfLq-4gNC2/ "
2016-11-06,30114308,"ShermanOaks, LosAngeles",My fiancé has been a great help this election. We are out canvassing for hannahbethjackson today…  https://www.instagram.com/p/BMfK8VsDw3g/ 
2016-11-06,26253284,"PlayadelRey, LosAngeles",I voted early in this election for a better future for our already-great country to become even…  https://www.instagram.com/p/BMfJgSChkg2/ 
2016-11-06,7268242,,election eve eve #art #election2016 #ohgawd #drawing #doodle #instadoodle #instaart #imback @…  https://www.instagram.com/p/BMfELbeh9xq/ 
2016-11-06,55218049,LosAngeles,"Everyone should have access to crucial election news. We're offering free, unlimited L.A. Times access for one week…  https://twitter.com/i/web/status/795342545891028993 …"
2016-11-06,38370794,"LosAngeles, CA",#election2016 hosted by Roper and Aaron #electiontrivia 8pm Monday #saturdaynightlive #election…  https://www.instagram.com/p/BMeinYEDE47/ 
2016-11-06,3001870253,"LosAngeles, CA","Perfect timing to kick off election week with so much love, grace and style <Emoji: Heavy red heart> One legendary…  https://www.instagram.com/p/BMeSeh7gd25/ "
2016-11-06,771665396,ThePlanet,"The Election Challenge. I will honor, respect, and support the next…  https://www.instagram.com/p/BMeB0_qAlB8B1m5q5kFs5YqX9mcihJYQT0XrSo0/ …"
2016-11-05,55218049,LosAngeles,Nearly 40 percent of Americans report tension with family or friends over election  http://abc7.la/2f68rcd 
2016-11-05,21447900,L.A.,Mellow Saturday discussing election picks with local community organizers. #GetWeird…  https://www.instagram.com/p/BMdHCNPgP36/ 
2016-11-05,55218049,LosAngeles,Tuesday will probably be the most-watched night of TV election coverage ever  http://lat.ms/2fscHQo 
2016-11-05,55218049,LosAngeles,"Everyone should have access to crucial election news. We're offering free, unlimited L.A. Times access for one week…  https://twitter.com/i/web/status/795039264115486720 …"
2016-11-05,622196797,LosAngeles,"Hats off to the election! Uncle Sam wants you to vote!!! <Emoji: Flag of United States><Emoji: Victory hand (light skin tone)><Emoji: Medium star> Putchipuu hat $100, office desk…  https://www.instagram.com/p/BMcdlbLlMSL/ "
2016-11-05,20470638,LosAngeles,"My vote #election #makeamericagothagain @ Arts District, Los Angeles  https://www.instagram.com/p/BMcayiLFRPs/ "
2016-11-05,55218049,LosAngeles,The latest Election Day forecast from the ABC News News Weather Team sees calm and mild weather for much of the…  https://twitter.com/i/web/status/794991560907702273 …
2016-11-05,22316625,"LosAngeles, CA",Election week art. Any interpretations here? <Emoji: Thinking face><Emoji: Flag of United States><Emoji: Artist palette> @ Ace Museum  https://www.instagram.com/p/BMcNcsZBxXJzYPHjlTloV2NT9NnYeDif--D1mY0/ …
2016-11-05,24643276,LosAngeles,"My niece, Veronica, age 4, weighs in on the election.  #presidentobama #obama #election2016…  https://www.instagram.com/p/BMcG1UhhVXT/ "
2016-11-05,15428467,"CentralCoast, cali",I'm starting to fear my Election face will become  permanent.  #dontblink #vote #election2016…  https://www.instagram.com/p/BMbvI70jnPD/ 
2016-11-05,119627565,"LosAngeles, CA",<Emoji: Flag of United States> I VOTED IN MY FIRST GENERAL ELECTION ON GAMEDAY! Go Vote! Go…  https://www.instagram.com/p/BMcFUqLDoxPUJFQ9MOuoKcSnMnsCT6iw1C5t1Y0/ …
2016-11-05,2700411,"iPhone:33.764542, -118.182709","All GOP leaders and statesmen should be saying this, before and after the election. https://twitter.com/SSestanovich/status/794945736416919552 …"
2016-11-05,229612231,"SanTanValley, AZ",With the election on Tuesday and all the grief we listento until then from our 2 candidates…  https://www.instagram.com/p/BMb3r4Bg-NB/ 
2016-11-05,4119220874,"California, USA",From @tommychong and chongschoice #Repost chongschoice・・・Smoke The Vote.  See you on election…  https://www.instagram.com/p/BMb1tw5BtRJ/ 
2016-11-05,17378219,"California, USA",Awaiting the sunset of this election season...so the impromptu vocabulary lessons with this…  https://www.instagram.com/p/BMbveO2j6O0/ 
2016-11-05,55218049,LosAngeles,Feeling anxious about the election? You aren't alone. Here's how to cope with election stress disorder…  https://twitter.com/i/web/status/794910979071082497 …
2016-11-05,342886089,"GranadaHills, CA91344",Real Estate Weekly Review: Election Looms As REIT Struggles Continue  http://dlvr.it/MbgBSD 
2016-11-05,342930174,"GranadaHills, CA91344",Real Estate Weekly Review: Election Looms As REIT Struggles Continue  http://dlvr.it/MbgBRH  #Granada Hills
2016-11-05,3862272732,"LosAngeles, CA","Bad Religion, good warm up for Election Day. #badreligion #againstme #palladium #tinnitus @ The…  https://www.instagram.com/p/BMa4r5YgF0w/ "
2016-11-04,15394454,"RanchoMirage, CA","This election coverage has #lilcomet all ""don't bother me I'm sleeping"" @ West Hollywood,…  https://www.instagram.com/p/BMax1LdAFMi/ "
2016-11-04,21226133,"LosAngeles, CA",This retailer speaks the truth. #womenvote #election #imwithher #pasadena #oldtownpasadena @ Mi…  https://www.instagram.com/p/BMaphf8AlRU/ 
2016-11-04,55218049,LosAngeles,Election stress disorder is very real  http://lat.ms/2f8Kr5M 
2016-11-04,14442100,NOFLEXZONE,Hmmm. Maybe I can get Lakers/Mavs tix REALLY cheap for election night https://twitter.com/ESefko/status/794738249994534912 …
2016-11-04,1363094522,"Camarillo, CA",My Mail In Ballot has been received! Love the VC Election Office app for your phone. Did your…  https://www.instagram.com/p/BMaIBwoDUOX/ 
2016-11-04,1924757888,"LosAngeles, CA",Sent my #vote in by #mail today. It's going to be a #madhouse #election . Definitely one for the…  https://www.instagram.com/p/BMZ0ob7jyKb/ 
2016-11-04,18747994,"Toronto, Canada",The way these guys cracked jokes about this election had us in stitches. Bill Burr and Finesse…  https://www.instagram.com/p/BMZp6ncA6M2/ 
2016-11-04,55218049,LosAngeles,"An election de-stress guide: Turn off TV newsAddress your fearsGet meds, if you mustTake it easy on election da…  https://twitter.com/i/web/status/794616522404753408 …"
2016-11-04,922411662,,5 more days before presidential election and we are pushing ourselves over the limits #politics…  https://www.instagram.com/p/BMZkZ5rgkcR/ 
2016-11-04,37242019,Venice,Here's to everyone having a great weekend! Less than 100 hrs to Election Day and I think…  https://www.instagram.com/p/BMZLcJgB7qW/ 
2016-11-04,991916030,3909WSunsetBlvdLosAngeles,Join us for our election viewing party on Tuesday. We'll have fried chicken and apple pie in…  https://www.instagram.com/p/BMZHyOnAwiD/ 
2016-11-04,55218049,LosAngeles,"For the first time in his political career, ""America's toughest sheriff"" Joe Arpaio might not win his election…  https://twitter.com/i/web/status/794504529651896320 …"
2016-11-03,922411662,,No time to shave 5 more days before before the election and super tired but also excited for all…  https://www.instagram.com/p/BMX0MVIgv72/ 
2016-11-03,192842961,Miami,how I feel about our country this election season <Emoji: Confused face> (you still better vote though. I did) <Emoji: Camera with flash>:…  https://www.instagram.com/p/BMXyBlxBX_Q/ 
2016-11-03,761045003930001409,"NorthHollywood, LosAngeles","Join us tonight at 8pm for #ThePurge:ElectionYear, perfect the upcoming election<Emoji: Flag of United States> @ Amsterdam Cafe  https://www.instagram.com/p/BMXwOSABrhI/ "
2016-11-03,25959004,chicago,#francoisxavierlalanne in Los Angeles #galeriexx  waiting for the election #imwithher @ Galerie XX  https://www.instagram.com/p/BMXlv_4Ac4G/ 
2016-11-03,2457278850,"SantaMonica, CA",I #just #wanted to #show #all of #you the #final #results of the #election ... As #you #can #see…  https://www.instagram.com/p/BMXfSHMDigJ/ 
2016-11-03,248091371,"LosAngeles, CA","#ThrowbackThursday, Election Edition: Watching #billclinton elected #potus with roommates &…  https://www.instagram.com/p/BMXd48Igh3l/ "
2016-11-03,205890649,LosFeliz,@RedbirdLA Election Day is coming... <Emoji: Disappointed but relieved face>Our featured guest bartender tobinshea of @redbirdla will be…  https://www.instagram.com/p/BMXDRi1DWa1/ 
2016-11-03,404267304,SouthernCalifornia,EPIC staff will be volunteering as Poll Monitors on election day! Do your part and GET OUT &…  https://www.instagram.com/p/BMW4rzAFit9/ 
2016-11-03,64514155,"LA, CA-Raconteur, ViaBoston",Last tech post before the election week off of Facebook cuz this is too crazy even for me @ Los…  https://www.instagram.com/p/BMT9e_PBN6C/ 
2016-11-03,2767615501,"LongBeach, CA","@Kannatopia #Repost @kannatopia・・・This upcoming election, a whomping nine states will have the opportunity…  https://www.instagram.com/p/BMWoHz1gj1l/ "
2016-11-03,7284312,LosAngeles,I wonder at what stage of the election @NateSilver538 thinks their predictions were most accurate. I’d love to see a post election analysis.
2016-11-03,399064120,"LosAngeles, CA",This election cycle makes me slam wine late night in the streets of Silverlake. Wake me when…  https://www.instagram.com/p/BMV1begAbQv/ 
2016-11-03,55218049,LosAngeles,"Stocks close lower for seventh consecutive day, and investors worry it's because of the election…  https://twitter.com/i/web/status/794060314040029184 …"
2016-11-02,272476703,,Guess no time like the present <Emoji: Face with tears of joy><Emoji: Face with tears of joy><Emoji: Face with tears of joy><Emoji: Face with tears of joy><Emoji: Face with tears of joy> #Cubs #Indians #Clinton #Trump #WorldSeries #Election…  https://www.instagram.com/p/BMVXwS-BXz0/ 
2016-11-02,21932585,"LosAngeles, CA","Election Day is almost here. Next week....show up, and stand up.  Our children deserve parents…  https://www.instagram.com/p/BMVS9AUD7g2/ "
2016-11-02,55218049,LosAngeles,"Sorry, California voters, you still can't take ""ballot selfies"" on election day  http://lat.ms/2eBt90p "
2016-11-02,2642909587,LasVegas,DOC PHINEAS SAYS VOTE !!!! This may be the most important election of our lives--- exercise your…  https://www.instagram.com/p/BMVIF1RhZVh/ 
2016-11-02,55218049,LosAngeles,Obama condemns FBI for announcing investigation so close to the presidential election  http://lat.ms/2fgfa1G 
2016-11-02,17644460,"LosAngeles, CA",Subtle accent nails are my superpower for this election #imwithher @ Bellacures  https://www.instagram.com/p/BMU5AZphNIb/ 
2016-11-02,730786620,,'Quiero mi chocolatina'<Emoji: Skull><Emoji: Water pistol><Emoji: Hocho> @ The Purge: Election Year at Halloween…  https://www.instagram.com/p/BMUrknBj8tvEmV11YNzsVM_s-KHQ4boHeOaygg0/ …
2016-10-07,55218049,LosAngeles,U.S. officials blame Russian government for hacking DNC to sway presidential election http://lat.ms/2dyCJ6D 
2016-10-07,2160736098,LosAngeles,Read the fine print & at least wait 'til 11 days before election 2 see if SANDERS/GABBARD is there as a CA choice... pic.twitter.com/5SriZppNcK
2016-10-07,2160736098,LosAngeles,Read the fine print & at least wait until 11 days before the election 2 see if BERNARD SANDERS/GABBARD appears in CA pic.twitter.com/cqqgRMTvL3
2016-10-07,19176130,"Inglewood, CA",Community Forum tomorrow on this years election.  Be informed before you vote. @ Faithful…  https://www.instagram.com/p/BLQ9RHuDtR-/ 
2016-10-06,342886089,"GranadaHills, CA91344",Real estate veterans divided on presidential election's impact on industry  http://dlvr.it/MPp9fw 
2016-10-06,342930174,"GranadaHills, CA91344",Real estate veterans divided on presidential election's impact on industry  http://dlvr.it/MPp9fC  #Granada Hills
2016-10-06,3119787586,California,"<Emoji: Horse face><Emoji: Elephant> With all this election craziness- let's be <Emoji: Unicorn face>s, escape the madness for a bit, and have a…  https://www.instagram.com/p/BLP0bJ7hawZ/ "
2016-10-06,19275971,So.California,Listening to Dick Morris speaking about the Presidential Election campaigning and how we are…  https://www.instagram.com/p/BLPmbEjBqje/ 
2016-10-06,27170722,"PacificPalisades, LosAngeles",I'm thinking of wearing this on Election Day <Emoji: Thinking face><Emoji: Flag of United States><Emoji: Face with stuck-out tongue> #godblessamerica#tbt Harley Davidson Ridin'…  https://www.instagram.com/p/BLPO0_EjMkk/ 
2016-10-06,55218049,LosAngeles,Republican foe warns Donald Trump against saying the election is rigged http://lat.ms/2dBIizQ 
2016-10-05,19337714,"Birmingham, England","More presidential election tat @ Santa Monica, California  https://www.instagram.com/p/BLNUiywDlTF/ "
2016-10-05,17154147,"Hollywood, CA",#Repost @didithedancer with repostapp・・・It's hard to believe the election is next month! This…  https://www.instagram.com/p/BLM3rFLBcgy/ 
2016-10-05,47107692,"LosAngeles, CA","Coming Soon!!! November 8th, 2016. Election Day!!! It's happening! New movement!!! Scrooge Mayne…  https://www.instagram.com/p/BLMsYwBF_nG/ "
2016-10-05,58607095,"SpringHill, TN",Thinkin' about the election. <Emoji: Skull><Emoji: Flag of United States><Emoji: Camera>: pauldelarosa #efficacyBTS @ Potrero Canyon Road  https://www.instagram.com/p/BLMkKbHAen1/ 
2016-10-05,399791192,"Chicago, IL",Watching last night's VP debates with dads. This election cycle has left me exhausted <Emoji: Sleeping face> @ Los…  https://www.instagram.com/p/BLMTcYFFess/ 
2016-10-04,565823571,"LosAngeles, CA",@LAMAGBarnsdall My work is in S/Election -- group exhibition @lamagbarnsdall LA Municipal Art Gallery curated by…  https://www.instagram.com/p/BLK6WQpB7As/ 
2016-10-04,2369746064,LosAngeles,@Lewis_Brothers #Repost @lewis_brothers・・・Stay tuned because this election just got a whole lot crazier...…  https://www.instagram.com/p/BLKMm5pjBEE/ 
2016-10-04,2883829656,LosAngeles,Prepping my work For S/Election at LAMAG opening Oct 16 #artistsofinstagram #laartists…  https://www.instagram.com/p/BLJYaN8gaNC/ 
