date,user_id,location,tweet
2017-02-26,48147852,PortlandOregon,Virginia House of Delegates Election - District 81 Data https://www.thefullslateproject.com/fscblog/2017/2/26/virginia-house-of-delegates-election-district-81-data …
2017-02-26,48147852,PortlandOregon,Virginia House of Delegates Election - District 81 Data https://www.thefullslateproject.com/fscblog/2017/2/26/virginia-house-of-delegates-election-district-81-data …
2017-01-26,54280262,PHL/BOS/ACY,"PSA: #Scandal is back tonight. And if this is any indication, it looks like their election was…  https://www.instagram.com/p/BPvjWbRhaC9/ "
2017-01-15,96235342,"NewportNews, Va","Being a witness & a voter of the election, I can SURELY say that I will no longer be voting AGAIN!"
2017-01-09,4313378241,"VirginiaBeach, VA",There is a Special Election being held tomorrow 1/10/17 to replace…  https://www.instagram.com/p/BPDXvwSDTjlJTAVSFIgFWp79Wyhio907XL_Eu40/ …
2016-11-17,3122626354,Uranus,"Gunna write a paper for history on how/why trump won the election: spoiler alert, it wasn't racism, sexism, hate or fear"
2016-11-14,23517712,"HamptonRoads, Virginia",Calls to crisis and suicide prevention hotlines surge post-election http://bit.ly/2fPNDTn 
2016-11-11,469105163,"Norfolk, VA",Treat yo self! Post-election self medication is a haircut & scalp massage #pixie #undercut…  https://www.instagram.com/p/BMrx8WIgSf7/ 
2016-11-10,725731507126591489,"Virginia, USA",See y'all in an hour! $1 #MixxedFit #WithYaGirlMai #ThrowdownThursday (election is over but we…  https://www.instagram.com/p/BMpYbS9gJN8/ 
2016-11-10,725731507126591489,"Virginia, USA","It's not Election Day anymore, the votes are in already, but I'm like hey why not do this one…  https://www.instagram.com/p/BMosmnNg1ww/ "
2016-11-09,62978282,Virginia,Tired of election stuff...change of subject! Doesn't my lawn look fabulous? @ Pam's Home Sweet Home  https://www.instagram.com/p/BMnFjH_jkwQ/ 
2016-11-09,2748013354,,I need some election results songs to put in the mix tonight .... live at the LOUNGE @ Wards…  https://www.instagram.com/p/BMm6w9gherv/ 
2016-11-09,335743816,,Leg day and a face that about sums up how I'm feeling in the aftermath of this election.…  https://www.instagram.com/p/BMmx2LcjwQe/ 
2016-11-09,27939745,,I wake up this morning to find many of my friends grieving the results of last nights election.…  https://www.instagram.com/p/BMmMs8Mgp8I/ 
2016-11-08,567285484,VirginiaBeach,When it's been a crazy Election Day that feels like something out of a cartoon...  why not let…  https://www.instagram.com/p/BMkYOBegLjP/ 
2016-11-08,469105163,"Norfolk, VA",#TacoTuesday and election day! Coincidence? #tacotrucksoneverycorner #electionday #election2016…  https://www.instagram.com/p/BMkXGH9gOa9/ 
2016-11-08,16364989,"US:36.907785, -76.408720","@CWM1955 5:51 PM Eastern Tuesday Evening 2016 Election Day in USANorfolk, Va. Area Weather (at @cwm1955) [pic] — https://path.com/p/1outwD "
2016-11-08,1301814174,"NewportNews, VA","It's #TrickTuesday with Lauren and Bella! Let's see how this election will ""turn"" out! @…  https://www.instagram.com/p/BMkQfFAAf0O/ "
2016-11-08,14957694,DaBeeeeach,"election time!!! (@ Virginia Museum of Contemporary Art in Virginia Beach, VA) https://www.swarmapp.com/c/lwshcjAjZ8G "
