date,user_id,location,tweet
2017-05-04,33012948,,"""In a post-election year that feels chaotic...I am comforted by [Roger] Williams' metaphor of a…  https://www.instagram.com/p/BTrNQ_qhO7a/ "
2017-04-23,35287196,TheSpeedForce,"@TySpace I don’t want to get into a drawn out conflict, but Trump’s election in many ways was a reaction to the Obama administration."
2017-04-11,4094754472,,Tomorrow is Vestavia Hills High School Election Day! I am running…  https://www.instagram.com/p/BSwveSyhNKdeoT02yYLZwlCYUrnN4-oWEYBELE0/ …
2017-03-07,25561074,"Birmingham, Alabama",would you elect one of these individuals to replace bellforbham if the municipal election was…  https://www.instagram.com/p/BRWAJ8rjHMn/ 
2017-03-04,25561074,"Birmingham, Alabama","""MAYORAL ELECTION EXIT POLL PRESS CONFERENCE PLANNED FOR TUESDAY""School officials need voter…  https://www.instagram.com/p/BRNmbVPjqtt/ "
2017-02-24,20709292,Birmingham/MuscleShoals,Overrated: Saturday Night Live got good after the election.Underrated: Seth Meyers and Stephen Colbert got good after the election.
2017-02-24,3439278214,TheUniversityofAlabama,Happy Friday! We are kicking off @uasga election season with presidential candidate @genefulmer1…  https://www.instagram.com/p/BQ6RutkBpXr/ 
2017-02-15,20709292,Birmingham/MuscleShoals,Actual thing said at 6 a.m. by the president who won the election. https://twitter.com/realDonaldTrump/status/831837514226921472 …
2017-02-10,35287196,TheSpeedForce,1) Can we please not talk about the 2018 election? 2) The idea that representatives should try and poll their constituents on social media https://twitter.com/DNewsOpinion/status/830227894215532544 …
2017-02-03,128336557,"Birmingham, Alabama","Enjoyed celebrating a fantastic election year for women judges in Birmingham, AL jgettysiii #WOW…  https://www.instagram.com/p/BQCv_FlgwOA/ "
2017-01-25,20709292,Birmingham/MuscleShoals,"He doubled down on an election that he won being rigged, huh? Ok. This is still fine."
2016-11-27,17940160,"Hoover, AL","Anyone seen Tim Kaine since the election? Kohl's is running Doorbuster sales 24hrs, but they have to give him some time off, don't they?"
2016-11-20,20709292,Birmingham/MuscleShoals,"I've not watched this yet, but it's a full version of the DBT show in Philly the night after the election. Enjoy.  https://m.youtube.com/watch?v=VBGzEPAiua8&feature=share …"
2016-11-15,35287196,TheSpeedForce,This is the election <Emoji: Fire><Emoji: Fire><Emoji: Fire><Emoji: Fire><Emoji: Fire><Emoji: Fire><Emoji: Fire><Emoji: Fire><Emoji: Fire><Emoji: Fire><Emoji: Fire> take to end all <Emoji: Fire> takes. https://twitter.com/washingtonpost/status/798642496620236800 …
2016-11-15,70452494,HammerTime,If these CEOs don't shut thier stink holes about the election I won't be able to go buy groceries pretty soon :|
2016-11-12,247100536,BryantDennyInTheFall,I am on record as accepting the results of this election. @ Bryant–Denny Stadium  https://www.instagram.com/p/BMt3Upnj_kI/ 
2016-11-11,42764221,"Birmingham, AL", http://Gofundme.com/bholddageneral #promo #gofundme #help #support #grind #positive #election…  https://www.instagram.com/p/BMrXjcEDgVf/ 
2016-11-10,321660982,"Tuscaloosa, AL",oscar season > election season @ Cobb Hollywood 16 Cinemas  https://www.instagram.com/p/BMqL_skjnDS/ 
2016-11-10,16070668,"Birmingham, Alabama","So the Cubs won the World Series. Trump won the election. And, as Salter just opened the door to…  https://www.instagram.com/p/BMpYo-shhAI/ "
2016-11-10,25988923,,Deafheaven captures my post election mood. @ Iron City Bham  https://www.instagram.com/p/BMoqt5QBR2hF8ijAqAHnUiUmHey9Lm6sYtjIuY0/ …
2016-11-09,35287196,TheSpeedForce,Watching the election returns last night went a lot like every time I try to watch a Utah football game that doesn’t involve #BYU.
2016-11-09,1417151923,RoundersBar,why don't you take your mind off the election and come get your balls wet!!! @ The University of…  https://www.instagram.com/p/BMmuPOnjmU6/ 
2016-11-09,766374901,"Helena, AL",Day 65 - Election DayFlag is normally just above Nerd Emoji's…  https://www.instagram.com/p/BMmr-BnDhpcPxulga2_18X3AwUHfzofN2zRGLk0/ …
2016-11-09,201019880,Alabama,"Early post-election run with #Run4FunBHM (@ Mountain Brook Village in Birmingham, AL)  https://www.swarmapp.com/c/cgHgEtIuRs9 "
2016-11-08,96505646,"Birmingham, Alabama",I have an Election Day sidekick. @ Alabama Media Group  https://www.instagram.com/p/BMkXNzVhgw6/ 
2016-11-08,106088710,"Homewood, AL",Two cool guys. One election. @ Homewood Parks  https://www.instagram.com/p/BMkPKJxg96c/ 
2016-11-08,14739536,"Birmingham, AL","This is how you do it, right? #election2016 #electionday #election @ Avondale Library -…  https://www.instagram.com/p/BMkLtxVgwJi/ "
2016-11-08,103092845,"Birmingham, AL",Day 8 of the #grimdragon challenge- Guerilla Radio- Politics. It's Election Day here in the US…  https://www.instagram.com/p/BMkLnL-AEi0/ 
2016-11-08,14749672,"Alabaster, Alabama",Riley joined me for our regular tradition of her going to the polling place on #election day…  https://www.instagram.com/p/BMkIRAHj3Pc/ 
2016-11-08,36120655,"Birmingham, AL",#LiLily's first election - she's worn out from the crazy campaign season but she still made it…  https://www.instagram.com/p/BMkD3Odj6Db/ 
2016-11-08,105296611,Dreamville,Just voted in my first ever Presidential Election! Feels Good! Your…  https://www.instagram.com/p/BMkB5kjjXfdr5ztJSIH1H8YPy3Hjtle0xKk3Ac0/ …
2016-11-08,3042700853,"Tuscaloosa, AL",Making HERstory this election day! Exercise your right to vote for…  https://www.instagram.com/p/BMkBRX7BIgd5Wig4bNm9eMPB0A0BaqzGDswCO40/ …
2016-11-08,294723461,"Birmingham, AL",Happy Election Day. <Emoji: Cheese wedge><Emoji: Cheese wedge><Emoji: Blue heart><Emoji: Blue heart><Emoji: Flag of United States><Emoji: Flag of United States> @ MELT Birmingham  https://www.instagram.com/p/BMj2rnHAS42DEGgs_65tpf3t7BeKDDs5hvYCVs0/ …
2016-11-08,2573507491,"Birmingham, AL","Happy Election Day!!! Come in with your ""I Voted"" sticker today and get $1 OFF any size ice! @…  https://www.instagram.com/p/BMjxDs-AWqg/ "
2016-11-08,16259364,Birmingham;team@murdochdavis,#election #day. And we are live. #democracy #america #vote @ Alabama Media Group  https://www.instagram.com/p/BMjvP8Hgwo-/ 
2016-11-08,35287196,TheSpeedForce,Election Day is a funny thing—you learn a lot about the people who live in your area.
2016-11-08,211670504,"Helena, Alabama","Despite my thoughts on the wildness of this election season, I will NEVER take my right to vote…  https://www.instagram.com/p/BMjo8qjAyqn/ "
2016-11-08,197630485,"Trussville, Alabama","10:15am at @CFTrussville on Election Day <Emoji: Flushed face><Emoji: Flushed face> so beyond blessed to have the police department,…  https://www.instagram.com/p/BMjnCCGgct8/ "
2016-11-08,2869192936,"CastleRock, CO",I couldn't think of a better way to celebrate election day than lunch @cypressinntusc Come check…  https://www.instagram.com/p/BMjl_6qDM4O/ 
2016-11-08,1270142756,"Birmingham, AL",2016 election vote in the books. #election2016 #vote #usa @ First Christian Church of Birmingham  https://www.instagram.com/p/BMjhuCoFOxV/ 
2016-11-08,1043594760,"Pelham, AL",Enjoyed voting in my third Presidential election! <Emoji: Flag of United States> @ First Baptist Church of Pelham  https://www.instagram.com/p/BMjdR6bB141/ 
2016-11-08,164449547,"Birmingham, Alabama","If all you want after voting on this Election Day is a little comfort, we've got just what you…  https://www.instagram.com/p/BMjc5wAgDz5/ "
2016-11-08,2693306064,"Birmingham, AL",Election Day jams. Appropriate. @ Time Inc. Food Studios  https://www.instagram.com/p/BMjbAabggLOPyCs7jVQJuW6zbxsxvxNfuXEiQ80/ …
2016-11-08,42764221,"Birmingham, AL",How I feel bout today#bholdageneral #election2016 #election #trump #hilary #vote…  https://www.instagram.com/p/BMjPb2wjD6v/ 
2016-11-08,293013071,"Birmingham, Alabama",Yep. It's Election Day. So do your thang today and exercise your right to vote. BUT it's also…  https://www.instagram.com/p/BMjLiMUhlg0/ 
2016-11-07,1371404604,,Come out to my dumbass Open Mic Wednesday and hear about my solution for the election process!…  https://www.instagram.com/p/BMigx0qDdf6/ 
2016-11-07,20709292,Birmingham/MuscleShoals,"The weird thing about this election is that if you know someone, and they are a decent human being, you know who they are voting for."
2016-11-07,197630485,"Trussville, Alabama","Reminder Fam! Due to the election, we will be closed tomorrow, but keep your eyes peeled <Emoji: Eyes> and…  https://www.instagram.com/p/BMhFZo4gcKS/ "
2016-11-07,161387368,"Birmingham, Alabama",Election Day is tomorrow. Make your voice count. We can't afford not…  https://www.instagram.com/p/BMgvasshwD7qUhq9LMLcTWXf2cPyL9QkEJx_ks0/ …
2016-11-04,108193922,Albuquerque,Clergy and People of Life...What would preborn babies say about this election?  Fr. Terry…  https://www.instagram.com/p/BMaCGDCD6PW/ 
2016-11-04,35287196,TheSpeedForce,"Anybody stop and think that maybe the 2016 Election is a result of Flashpoint? Damn you, Flash. @grantgust #NerdCityFC"
2016-11-03,108193922,Albuquerque,Clergy and People of Life...What would preborn babies say about this election?  Fr. Terry…  https://www.instagram.com/p/BMXLc73j27y/ 
2016-11-03,108193922,Albuquerque,Clergy and People of Life...What would preborn babies say about this election?  Fr. Terry…  https://www.instagram.com/p/BMXLXUoDk9v/ 
2016-11-03,35287196,TheSpeedForce,@baseballcrank I think there’s still value in depressing Election Day turnout.
2016-11-03,65951402,BirminghamAL,#weld article breaks down the election drama but I had to have coffee first.#imwithher…  https://www.instagram.com/p/BMW4xUABAhx/ 
2016-11-02,20709292,Birmingham/MuscleShoals,It was November of 2016 and the shittiest election in our nation's history was a week away and we were all captivated by baseball.
2016-11-02,35287196,TheSpeedForce,Another theme of the 2016 election: https://twitter.com/ByCommonConsent/status/793812777081065474 …
2016-10-31,35287196,TheSpeedForce,“Stalin wasn’t a great man” might be the biggest understatement of the entire election season. https://twitter.com/BiggyWyoming/status/793120491720417280 …
2016-10-30,394075952,"Tuscaloosa, AL","Bought a new AR for the election, but don't know what to put on it.  The Vortex Strike eagle is…  https://www.instagram.com/p/BMMdvSxD8Ih/ "
2016-10-28,35287196,TheSpeedForce,There’s an argument to be made as well that early voting can harm Election Day turnout.
2016-10-28,35287196,TheSpeedForce,There are other ways to help people vote on Election Day. Just need to get creative.
2016-10-28,35287196,TheSpeedForce,Can we just put George H. W. Bush into office for one year and redo this election?
2016-10-27,35287196,TheSpeedForce,Can you please stay? We needed you this entire election. And I didn’t get to hear you try and talk me out of law school.
2016-10-23,35287196,TheSpeedForce,"The National Enquirer didn’t count?!Seriously, getting a newspaper endorsement on October 23 is pretty good.The election is WHEN? https://twitter.com/thehill/status/790246670722330624 …"
2016-10-22,35287196,TheSpeedForce,"Yes, me, the low information voter. I know so little about this election and about national politics.  https://twitter.com/TrumpTheHedgeho/status/790047904371126272 …"
2016-10-21,20709292,Birmingham/MuscleShoals,"""I woulda voted,"" one supporter said. ""But having an election in November is selfish. Don't mess with my football!!"" https://twitter.com/aldotcom/status/789469754574704640 …"
2016-10-18,20709292,Birmingham/MuscleShoals,"@whduncan @gbdawkins @eazyrooster I'm just a dummy that reads the maps on election night. My apologies, Eazy."
2016-10-17,35287196,TheSpeedForce,"Which local election feature is more ridiculous: California ballot initiatives, or Alabama constitutional amendments? https://twitter.com/aldotcom/status/787988238891880448 …"
2016-10-15,20709292,Birmingham/MuscleShoals,"If the lamestream media IS rigging a U.S. election for the first and only time in 227 years, I'm glad it's the year the bigot is running."
2016-10-14,35287196,TheSpeedForce,@MileHighBrendan @zblox Realizing tgat has been the worst part of this whole terrible election for me.
2016-10-12,20709292,Birmingham/MuscleShoals,There's only one thing that can fix this election now.Some HEPPIN!!!!!!!! #HoustonNuttForPresident pic.twitter.com/VymeWg8FvK
2016-10-12,20709292,Birmingham/MuscleShoals,"The election is just 27 days away, folks, and I can tell you this much: I wish we had done some EXTREME VETTING of these candidates!!!!!!!"
2016-10-11,35287196,TheSpeedForce,This might be my new favorite moment of the entire election. https://twitter.com/nickconfessore/status/785929586034999296 …
