date,user_id,location,tweet
2016-11-05,157593205,"Portland, Oregon","Got my Teddies, got my popcorn, and the First Movie is The Purge: Election Year. @ Casa Aguirre  https://www.instagram.com/p/BMc6e8eA5i9/ "
2016-11-05,17194342,Hollywood&N.MississippiPDX,a winning election still life featuring the cool #joesacco drawn comic for #pdx city council…  https://www.instagram.com/p/BMcnwZrDBtb/ 
2016-11-04,127567014,Oregon,"Are you anxious about #Nov8 #election? Let's build a spiritual firewall against national #anxiety, together.  http://ow.ly/iNVy305Slwn  Plz RT"
2016-11-02,2228210185,"Portland, OR",@ROCKETDRAG at least now we can hope it's an analogy for the election maybe.
2016-11-02,34143852,,"If only people cared about this election as much as they care about the ""green"" starbucks cup..."
2016-11-02,12007192,"Portland, Oregon",There. Finished with participation in arguably the worst election season since 1988.…  https://www.instagram.com/p/BMTI1BrBVdK/ 
2016-11-01,18943244,PortlandORUSA,It's only one week until election day. Vote. #vote #vote2016<Emoji: Flag of United States> #oregonrepublic #oregon @…  https://www.instagram.com/p/BMS5lczgRrB/ 
2016-11-01,69460754,"Portland, OR",Got our Trump piñata for next weeks election party!  Can't wait to beat this thing up!…  https://www.instagram.com/p/BMSL-6HDDIe/ 
2016-11-01,2228210185,"Portland, OR",Just fucking end the election already!
2016-11-01,844384723,PortlandOregon,"$1 election day oysters, gumbo flights and other November food events  http://dlvr.it/MZCy8Q  pic.twitter.com/uH7yZzlWbm"
2016-10-31,720807046602330113,"Portland, OR",ms.marca and I like to turn the tables on this election this Halloween year... <Emoji: Smiling face with horns><Emoji: See-no-evil monkey><Emoji: Smirking face> #shewins…  https://www.instagram.com/p/BMQR6_XjOMN/ 
2016-10-31,71897004,"LincolnCity, OR",Full Show - Hillary’s Plans To Rig Election Leaked - 10/31/2016  http://dlvr.it/MZ5XTc  pic.twitter.com/0gnpTKWxlr
2016-10-31,71897004,"LincolnCity, OR",Biggest Election Fraud In History Discovered In The United States: Breaking Now  http://dlvr.it/MZ1MK1  pic.twitter.com/UrZ2zJrUz1
2016-10-31,108574656,"portland, or",@cmhelstein and I dropping off our #votes #elections2016 #election…  https://www.instagram.com/p/BMPbjhQAzDTeGRJxoGAiZ_vbTI95qLP23I-cO40/ …
2016-10-30,71897004,"LincolnCity, OR",Election Fraud Smokescreen By New FBI Investigation: Special Report  http://dlvr.it/MYfG25  pic.twitter.com/YSnJQLqpOG
2016-10-28,2228210185,"Portland, OR","I am so fucking tired of this election. Just end it, end it now"
2016-10-28,4765141,"Portland, Oregon, USA",“Clinton had appeared to be cruising toward a dominant win in the election.”  https://www.bloomberg.com/news/articles/2016-10-28/fbi-is-re-opening-clinton-e-mail-investigation-chaffetz-says …
