date,user_id,location,tweet
2016-11-06,19827023,Oklahoma,"RT @dailystoic: ""Objectivity is a virtue, and one that is very difficult to practice."" Pierre Hadot #Election"
2016-11-05,2545636194,rightnexttoyou,My Saturday #morning#earlyvoting #ivoted #govote @ Oklahoma State Election Board  https://www.instagram.com/p/BMcO7tRj8Lr/ 
2016-11-05,350702558,"Norman, OK",It feels good to be an American <Emoji: Flag of United States><Emoji: Flag of United States> @ Oklahoma State Election Board  https://www.instagram.com/p/BMcMwaDAtrWSWyJvHUBzAm7peBLCQ2jwfZLFLY0/ …
2016-11-05,90096261,"OklahomaCity, OK",I voted. @ Oklahoma County Election Board  https://www.instagram.com/p/BMcLDxrDRZR/ 
2016-11-05,24741356,"OklahomaCity, OK, USA",I know you're busy. I know you've got a lot to do. I know it's 2 days till the election. I know…  https://www.instagram.com/p/BMcDqI_guSI/ 
2016-11-05,17011658,"Norman, Okla.",Long live the Republic. #vote #election2016 @ Cleveland County Election Board  https://www.instagram.com/p/BMb_hN9BylC/ 
2016-11-05,3267360409,"Guthrie, OK",I voted Go Trump @ Logan County Election Board  https://www.instagram.com/p/BMb_IGGDZPN/ 
2016-11-05,377407383,"Charlotte, NC/Waycross, GA",<Emoji: Flushed face><Emoji: Flushed face><Emoji: Flushed face> @ Oklahoma State Election Board  https://www.instagram.com/p/BMbt5NuhtdjldNpfQM4QHhNR_igKmZXJAGraeU0/ …
2016-11-05,243823230,OKC,Huge lines for early voting. @ Oklahoma State Election Board  https://www.instagram.com/p/BMbfsF6g0W6/ 
2016-11-04,211356320,,"Good god... (@ Oklahoma County Election Board in Oklahoma City, OK) https://www.swarmapp.com/c/cx6aJZ3Ih6Z "
2016-11-04,21005839,"Edmond, Oklahoma",Rock the Vote  <Emoji: Heavy check mark> @ Oklahoma State Election Board  https://www.instagram.com/p/BMZlIJeDH9Q/ 
2016-11-04,157706528,"norman, ok","From top to bottom: the line I am in, wrapping around the building, at the election board.…  https://www.instagram.com/p/BMZiYMajm-I/ "
2016-11-04,133483526,"DelCity, OK","I'm at Oklahoma County Election Board in Oklahoma City, OK https://www.swarmapp.com/c/4XZS1vxGvOC "
