date,user_id,location,tweet
2017-05-02,2279162833,UniversityofWashington,"Fact checker from @IHME_UW ""Changes in health in England, 1990–2013 ...""  as the #election plays out @TheLancet  http://ow.ly/RwtP30bnk7q  pic.twitter.com/81sQdHtbj4"
2017-04-27,21827225,"Arlington, VA","Here’s the thing about “Pence would be worse than Trump“: with Pence, it’s like losing an election. With Trump, it’s like losing our reality"
2017-04-22,74998364,"Seattle, WA","Trying to avoid politics, FBI Director James B. Comey shaped election http://st.news/2oAlAvl "
2017-04-18,74998364,"Seattle, WA",It’s France’s turn to worry about election meddling by Russia  http://toplocalnow.com/us/seattle/at/5 
2017-04-16,84428059,Seattle|Redmond|NYC,If you are in debt to Russians and then work secretly work to rig an election so you can pay them back. Hashtag Treason Matters. https://twitter.com/realDonaldTrump/status/853595628655587334 …
2017-04-14,74998364,"Seattle, WA","Facebook targets 30,000 fake France accounts before election http://toplocalnow.com/us/seattle/at/9 "
2017-03-28,74998364,"Seattle, WA",Clinton jabs Trump in first major post-election speech - http://bit.ly/2nfAtCt 
2017-03-20,74998364,"Seattle, WA",FBI investigating election interference by Russia; no evidence of Trump wiretap by Obama - http://toplocalnow.com/us/seattle/at/noon …
2017-03-18,2856031,"iPhone:47.827711, -122.275144","Best . election . ever ! <Emoji: Ok hand sign><Emoji: Smiling face with smiling eyes> Sleepless in Seattle, and other places: Trump-induced insomnia…  https://www.instagram.com/p/BRxeAoEDP_7/ "
2017-03-16,31928796,"Whistler, BC, Canada",Exciting #lgbtbiz discussion w/ Left Coast Politics in the post election era Sally Clark - uofwa…  https://www.instagram.com/p/BRtfmjajJ0h/ 
2017-03-13,3145641591,"Tacoma, Washington","The Rite of Election was celebrated on March 11, 2017 at St. Charles Borromeo Parish. Every…  https://www.instagram.com/p/BRl7vIBAeR0/ "
2017-03-06,19407682,Seattle,"""What's with the scarf?""""Yearning for better times.""""...Halloween?""""""Before the election."" @…  https://www.instagram.com/p/BRTWaK-g6Tk/ "
2017-03-04,3739591,"Tacoma, WA",@meeker253 I’ve heard that a lot since the election
2017-03-04,74998364,"Seattle, WA",Trump claims Obama had his phones wiretapped during last year's election; no proof was cited  http://st.news/2lIvutw 
2017-03-04,74998364,"Seattle, WA",Trump accuses Obama of wiretapping him before election http://toplocalnow.com/us/seattle/at/6 
2017-03-02,74998364,"Seattle, WA","Amid bipartisan pressure, Jeff Sessions will recuse himself from investigation into Russia, 2016 election…  https://twitter.com/i/web/status/837414857943224324 …"
2017-03-01,74998364,"Seattle, WA",Trump's election has Oprah Winfrey pondering a presidential run http://kiro.tv/2ls39HP 
2017-02-24,74998364,"Seattle, WA",The Washington Post's new motto predates Trump's election  http://trib.al/6eQb19B 
2017-02-20,74998364,"Seattle, WA","16 quit commission for Asian American, Pacific Islanders since Trump's election  http://toplocalnow.com/us/seattle "
2017-02-19,74998364,"Seattle, WA",Graham: Trump must punish Russia for election interference  http://trib.al/VwTxAcc 
2017-02-16,74998364,"Seattle, WA",Ryan Murphy says the next ‘American Horror Story’ will cover the 2016 election  http://toplocalnow.com/us/seattle 
2017-02-08,74998364,"Seattle, WA",“Moving to Canada” was always an election-year empty threat. Nobody ever actually did it. Until now.…  https://twitter.com/i/web/status/829480223171342340 …
2017-02-08,74998364,"Seattle, WA","Moving to Canada is no election-year joke anymore, columnist Danny Westneat writes  http://toplocalnow.com/us/seattle "
2017-02-07,74998364,"Seattle, WA","As Trump fears fraud, GOP votes to kill election commission  http://toplocalnow.com/us/seattle "
2017-02-06,74998364,"Seattle, WA",Seattle gay business owner goes public after targeted in hate crime post-election. Someone left this note on his wi…  https://twitter.com/i/web/status/828707548047904768 …
2017-02-01,74998364,"Seattle, WA","President Trump's Black History Month speech begins with, ""Well, the election, it came out really well""…  https://twitter.com/i/web/status/826934132177526785 …"
2017-01-29,14290242,Seattleborn&bred.,That’s the hope anyway RT @godtributes: IMMIGRATIONS FOR THE IMMIGRATION GOD! MIDTERM ELECTIONS FOR THE MIDTERM ELECTION LORD
2017-01-28,14574672,"Seattle, WA",Been wanting to start @jdickerson's #whistlestop for a while. For when my election fatigue was…  https://www.instagram.com/p/BP1ATSpjnm7/ 
2017-01-28,74998364,"Seattle, WA",3 Russians charged with treason linked to U.S. election hacking  http://st.news/2kd8C8q 
2017-01-25,2856031,"iPhone:47.827711, -122.275144",Dow - since election. <Emoji: Smiling face with smiling eyes> @ CN87UU  https://www.instagram.com/p/BPtfjDGlNJI/ 
2017-01-25,74998364,"Seattle, WA",We crunched the numbers for the Nov. General Election to see how the county’s six biggest cities voted:…  https://twitter.com/i/web/status/824378981965250564 …
2017-01-24,74998364,"Seattle, WA",Secretary of State Wyman proposes Presidential Primary date change to March & other election reforms in requests to…  http://toplocalnow.com/us/seattle 
2017-01-20,74998364,"Seattle, WA","On ""The Overcast"" we talk about the Womxn's March on Seattle and how Trump's election spurred women to activism.…  https://twitter.com/i/web/status/822450865600598021 …"
2017-01-19,74998364,"Seattle, WA","In case you hadn't heard, Edgar Martinez falls short of election to HOF (pic Steven Bisig)  http://kng5.tv/2k5khXp "
2017-01-17,2499195470,"Seattle, WA",Happy birthday to the best candidate for the 2020 United States <Emoji: Flag of United States> Presidential Election –…  https://www.instagram.com/p/BPXvJIaBVo9/ 
2017-01-12,18519541,"Tacoma, WA",He was right about EVERYTHING during the election. A POC and a voice for all the hustle bustle…  https://www.instagram.com/p/BPMQiO4FiBP/ 
2017-01-10,74998364,"Seattle, WA",Planned Parenthood: IUD requests have gone up 900 percent since election  http://trib.al/G3fTiV7 
2017-01-06,74998364,"Seattle, WA","New declassified report: Russian President Vladimir Putin 'ordered' effort to influence U.S. presidential election,…  http://toplocalnow.com/us/seattle "
2017-01-05,74998364,"Seattle, WA","Russia undoubtedly interfered in America's 2016 presidential election, the top U.S. intelligence official said toda…  https://twitter.com/i/web/status/817079099214745601 …"
2017-01-05,82697233,"Kent, WA",Do we hold election debriefs to figure out why people don't vote? Seems like there should be a local and federal program to accomplish this.
2016-12-30,84428059,Seattle|Redmond|NYC,Sounds vaguely familiar to a recent presidential election. Oh Alabama why must you be so red. https://twitter.com/ralphDrussoAP/status/814935039557275648 …
2016-12-29,74998364,"Seattle, WA",Russia should be sanctioned for election hacks say US senators. http://st.news/2ilzdiM 
2016-12-21,267812051,Seattle,I have a strange feelng of foreboding. I think it's more thn post election pre holiday ennui. Anybody else feelng unsettled? #spideysense
2016-12-20,74998364,"Seattle, WA",Sixth graders launch anti-bullying campaign after divisive election season. Natalie Brand shares their story - http://kng5.tv/2h8mgaH 
2016-12-20,916596266,ThePast,"""Election Day 2013: Races to Watch""  http://feedly.com/k/1b2rc6Z "
2016-12-20,74998364,"Seattle, WA","Morning! Congrats to Pearl Jam on election to RockHall2017! Let's just breathe, mind your manners & celebrate with…  https://twitter.com/i/web/status/811229047761973248 …"
2016-12-16,74998364,"Seattle, WA",President Obama urges Trump to take foreign election impact seriously.  http://st.news/2hsXbYN 
2016-12-16,15567438,"Seattle, WA",FBI backs CIA view that Russia intervened to help Trump win election - The Washington Post  https://www.washingtonpost.com/world/national-security/fbi-backs-cia-view-that-russia-intervened-to-help-trump-win-election/2016/12/16/05b42c0e-c3bf-11e6-9a51-cd56ea1c2bb7_story.html …
2016-12-13,2546490403,"Seattle, WA",Russia Hacked out Election. Tell Obama to do the right thing. Take a photo and post your…  https://www.instagram.com/p/BN9-cu1D55B/ 
2016-12-11,619641237,seattle,#ImStillNotOver Obama doing nothing about election fraud in the democratic primary and never will be
